,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,1.0,1.0,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,6.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,0.5,1.0,0.6666666666666666,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,1.0,1.0,2.0
Serhal Ounaissy,1.0,1.0,1.0,2.0
Elias Abdallah,1.0,0.6666666666666666,0.8,3.0
Your son George,0.9545454545454546,1.0,0.9767441860465116,21.0
Amin Farhat,0.9,0.9,0.9,10.0
Patriarch Elias Hoayek,0.8,0.8,0.8,10.0
Bishop Boulos Akl,0.6363636363636364,1.0,0.7777777777777778,7.0
Ameen Rihani,1.0,0.958041958041958,0.9785714285714285,143.0
Shibli N. Damus,1.0,0.9,0.9473684210526315,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,0.8823529411764706,0.7894736842105263,0.8333333333333334,19.0
Girgi Dimitri Sursock,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Felix Faris,0.8536585365853658,0.9722222222222222,0.9090909090909091,72.0
Muhammad Hussain Najafi,1.0,0.4,0.5714285714285714,5.0
May Ziadeh,0.9642857142857143,0.8709677419354839,0.9152542372881356,31.0
Victor Shemil,0.5,1.0,0.6666666666666666,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8461538461538461,0.8048780487804879,0.825,41.0
Mohammed Amin al-Husseini ,0.8,0.5,0.6153846153846154,8.0
Prof. Ign. Kratchkovsky,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
Jirjis alKsus,1.0,1.0,1.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.8333333333333334,1.0,0.9090909090909091,10.0
Daoud Mujaes,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Bechara El Khoury,0.8888888888888888,1.0,0.9411764705882353,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.9090909090909091,0.9523809523809523,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,0.95,0.95,0.95,20.0
Habib,1.0,0.5,0.6666666666666666,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,1.0,1.0,8.0
Elie Maroun Khalil,1.0,1.0,1.0,11.0
