,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,0.6666666666666666,1.0,0.8,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,6.0
Father Youssef Nassar,0.6666666666666666,1.0,0.8,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,1.0,1.0,2.0
Serhal Ounaissy,0.6666666666666666,1.0,0.8,2.0
Elias Abdallah,1.0,0.6666666666666666,0.8,3.0
Your son George,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Amin Farhat,0.8888888888888888,0.8,0.8421052631578947,10.0
Patriarch Elias Hoayek,0.8571428571428571,0.6,0.7058823529411765,10.0
Bishop Boulos Akl,0.5833333333333334,1.0,0.7368421052631579,7.0
Ameen Rihani,0.9927536231884058,0.958041958041958,0.9750889679715302,143.0
Shibli N. Damus,1.0,0.9,0.9473684210526315,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Girgi Dimitri Sursock,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Felix Faris,0.8860759493670886,0.9722222222222222,0.9271523178807947,72.0
Muhammad Hussain Najafi,1.0,0.8,0.8888888888888888,5.0
May Ziadeh,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,1.0,0.8333333333333334,0.9090909090909091,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9230769230769231,0.8780487804878049,0.9,41.0
Mohammed Amin al-Husseini ,1.0,0.75,0.8571428571428571,8.0
Prof. Ign. Kratchkovsky,0.75,0.6428571428571429,0.6923076923076923,14.0
Jirjis alKsus,1.0,1.0,1.0,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,1.0,1.0,10.0
Daoud Mujaes,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Bechara El Khoury,0.8888888888888888,1.0,0.9411764705882353,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.95,0.9743589743589743,20.0
Habib,1.0,1.0,1.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,1.0,1.0,8.0
Elie Maroun Khalil,1.0,1.0,1.0,11.0
Habib Abi Rached,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
