,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,0.9090909090909091,1.0,0.9523809523809523,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,1.0,1.0,2.0
Serhal Ounaissy,0.5,1.0,0.6666666666666666,2.0
Elias Abdallah,1.0,0.6666666666666666,0.8,3.0
Your son George,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
Amin Farhat,0.8,0.8,0.8,10.0
Patriarch Elias Hoayek,0.7,0.7,0.7,10.0
Bishop Boulos Akl,1.0,0.7142857142857143,0.8333333333333334,7.0
Ameen Rihani,0.9779411764705882,0.9300699300699301,0.953405017921147,143.0
Shibli N. Damus,0.9722222222222222,0.875,0.9210526315789473,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
Girgi Dimitri Sursock,0.7647058823529411,0.8666666666666667,0.8125,15.0
Felix Faris,0.9459459459459459,0.9722222222222222,0.958904109589041,72.0
Muhammad Hussain Najafi,1.0,0.6,0.75,5.0
May Ziadeh,0.8285714285714286,0.9354838709677419,0.8787878787878788,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,1.0,0.8333333333333334,0.9090909090909091,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.82,1.0,0.9010989010989011,41.0
Mohammed Amin al-Husseini ,0.8571428571428571,0.75,0.8,8.0
Prof. Ign. Kratchkovsky,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
Jirjis alKsus,0.8,1.0,0.8888888888888888,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,1.0,1.0,10.0
Daoud Mujaes,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Bechara El Khoury,0.8333333333333334,0.9375,0.8823529411764706,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.9090909090909091,0.9523809523809523,11.0
Margaret El Haddad,0.8571428571428571,1.0,0.9230769230769231,6.0
