,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,0.8571428571428571,0.6,0.7058823529411765,10.0
Sister Victor N. Khoury,0.8181818181818182,1.0,0.9,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.5,0.6666666666666666,6.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,1.0,0.5,0.6666666666666666,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.7692307692307693,0.9523809523809523,0.851063829787234,21.0
Amin Farhat,0.6153846153846154,0.8,0.6956521739130435,10.0
Patriarch Elias Hoayek,0.4,0.4,0.4,10.0
Bishop Boulos Akl,0.4444444444444444,0.5714285714285714,0.5,7.0
Ameen Rihani,0.9850746268656716,0.9230769230769231,0.9530685920577617,143.0
Shibli N. Damus,0.8,0.8,0.8,40.0
Naoum Mokarzel,0.8571428571428571,0.6666666666666666,0.75,9.0
Eissa alKhouri,0.8333333333333334,0.5263157894736842,0.6451612903225806,19.0
Girgi Dimitri Sursock,0.55,0.7333333333333333,0.6285714285714286,15.0
Felix Faris,0.7613636363636364,0.9305555555555556,0.8375,72.0
Muhammad Hussain Najafi,1.0,0.4,0.5714285714285714,5.0
May Ziadeh,0.7333333333333333,0.7096774193548387,0.7213114754098361,31.0
Victor Shemil,1.0,0.5,0.6666666666666666,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.8,0.6666666666666666,0.7272727272727273,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8918918918918919,0.8048780487804879,0.8461538461538461,41.0
Mohammed Amin al-Husseini ,0.7142857142857143,0.625,0.6666666666666666,8.0
Prof. Ign. Kratchkovsky,0.4117647058823529,0.5,0.45161290322580644,14.0
Jirjis alKsus,0.3333333333333333,0.75,0.46153846153846156,4.0
Ibrahim Mejahid Al-Jaza'eri,0.9,0.9,0.9,10.0
Daoud Mujaes,0.7692307692307693,0.8333333333333334,0.8,12.0
Bechara El Khoury,0.8125,0.8125,0.8125,16.0
Tawfiq,1.0,0.5,0.6666666666666666,2.0
Youssef Ibrahim Yazbek,0.8888888888888888,0.7272727272727273,0.8,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.95,0.9743589743589743,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,0.8888888888888888,1.0,0.9411764705882353,8.0
Elie Maroun Khalil,0.9166666666666666,1.0,0.9565217391304348,11.0
Habib Abi Rached,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Aziz Khoury,1.0,0.8571428571428571,0.9230769230769231,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
Abdallah Sfeir,1.0,0.3333333333333333,0.5,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,0.5,0.3333333333333333,0.4,3.0
Serhal Maroun 'Tiyyeh,1.0,1.0,1.0,3.0
Hanna Estphan,0.8333333333333334,1.0,0.9090909090909091,5.0
Slayman al-Farkh,1.0,0.5,0.6666666666666666,2.0
Habib Boulos Nasr,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Botros Feghaly,0.8,0.4,0.5333333333333333,10.0
Toufiq Wehbeh,0.6666666666666666,0.9166666666666666,0.7719298245614035,24.0
Maronite Bishop of Sidon,0.5555555555555556,1.0,0.7142857142857143,5.0
Halim Khoury Saadeh,1.0,0.5714285714285714,0.7272727272727273,7.0
Jebrayel Sa'd al 'Alam,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Najib Ayoub,1.0,0.8333333333333334,0.9090909090909091,6.0
Youhanna Sfeir,1.0,0.6666666666666666,0.8,6.0
Bishop Mkhayel Akhrass,0.6086956521739131,1.0,0.7567567567567568,14.0
George Saad,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
Bishop Youseef El Khazen,1.0,1.0,1.0,3.0
Father Elias Najm,0.6363636363636364,0.875,0.7368421052631579,8.0
Bishop Aghnathios Mbarak,0.8823529411764706,0.6,0.7142857142857143,25.0
Dr. Abdo Harb,0.5,0.3333333333333333,0.4,3.0
Fathallah Khoury,0.9,0.8181818181818182,0.8571428571428571,11.0
Antonios Elias,0.42857142857142855,1.0,0.6,3.0
Francis Hcheme,1.0,0.3333333333333333,0.5,3.0
