,precision,recall,f1-score,support
Malvina Choieree,0.75,1.0,0.8571428571428571,3.0
Your nephew Maroun,0.8888888888888888,0.8,0.8421052631578947,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,5.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,1.0,1.0,1.0,2.0
Nassar Tanios Al Samarani,0.6666666666666666,1.0,0.8,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.6666666666666666,1.0,0.8,2.0
Elias Abdallah,0.75,1.0,0.8571428571428571,3.0
Your son George,0.9545454545454546,1.0,0.9767441860465116,21.0
Amin Farhat,0.75,0.6,0.6666666666666666,10.0
Patriarch Elias Hoayek,0.8,0.4,0.5333333333333333,10.0
Bishop Boulos Akl,0.75,0.42857142857142855,0.5454545454545454,7.0
Ameen Rihani,0.9852941176470589,0.9370629370629371,0.9605734767025089,143.0
Shibli N. Damus,0.9459459459459459,0.875,0.9090909090909091,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.7894736842105263,0.8823529411764706,19.0
Girgi Dimitri Sursock,0.6521739130434783,1.0,0.7894736842105263,15.0
Felix Faris,0.8571428571428571,0.9166666666666666,0.8859060402684564,72.0
Muhammad Hussain Najafi,1.0,0.6,0.75,5.0
May Ziadeh,0.8235294117647058,0.9032258064516129,0.8615384615384616,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.375,0.6,0.46153846153846156,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8222222222222222,0.9024390243902439,0.8604651162790697,41.0
Mohammed Amin al-Husseini ,0.8333333333333334,0.625,0.7142857142857143,8.0
Prof. Ign. Kratchkovsky,0.75,0.8571428571428571,0.8,14.0
Jirjis alKsus,0.4,0.5,0.4444444444444444,4.0
Ibrahim Mejahid Al-Jaza'eri,0.9,0.9,0.9,10.0
Daoud Mujaes,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Bechara El Khoury,0.8235294117647058,0.875,0.8484848484848485,16.0
Tawfiq,0.6666666666666666,1.0,0.8,2.0
Youssef Ibrahim Yazbek,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Margaret El Haddad,0.8571428571428571,1.0,0.9230769230769231,6.0
Elias Abu Shabaki,1.0,0.95,0.9743589743589743,20.0
Habib,1.0,1.0,1.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.875,0.9333333333333333,8.0
Elie Maroun Khalil,0.9166666666666666,1.0,0.9565217391304348,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,1.0,0.8571428571428571,0.9230769230769231,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,1.0,0.3333333333333333,0.5,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,1.0,0.3333333333333333,0.5,3.0
Serhal Maroun 'Tiyyeh,1.0,1.0,1.0,3.0
Hanna Estphan,0.8333333333333334,1.0,0.9090909090909091,5.0
Slayman al-Farkh,1.0,0.5,0.6666666666666666,2.0
Habib Boulos Nasr,0.75,1.0,0.8571428571428571,3.0
Botros Feghaly,0.5833333333333334,0.7,0.6363636363636364,10.0
Toufiq Wehbeh,0.9230769230769231,1.0,0.96,24.0
Maronite Bishop of Sidon,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Halim Khoury Saadeh,0.7777777777777778,1.0,0.875,7.0
Jebrayel Sa'd al 'Alam,0.5,0.6666666666666666,0.5714285714285714,3.0
Najib Ayoub,1.0,1.0,1.0,6.0
Youhanna Sfeir,1.0,0.3333333333333333,0.5,6.0
Bishop Mkhayel Akhrass,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
George Saad,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
Bishop Youseef El Khazen,1.0,1.0,1.0,3.0
Father Elias Najm,0.7272727272727273,1.0,0.8421052631578947,8.0
Bishop Aghnathios Mbarak,0.8181818181818182,0.72,0.7659574468085106,25.0
Dr. Abdo Harb,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Fathallah Khoury,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Antonios Elias,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.5,1.0,0.6666666666666666,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.6666666666666666,1.0,0.8,2.0
Father Yaacoub Awad,0.0,0.0,0.0,3.0
Wadih Salim Karam,0.6,1.0,0.75,3.0
Father Youhanna El Khoury,1.0,1.0,1.0,5.0
Georges Jarjoura,0.0,0.0,0.0,2.0
Father Jerjes El Alam,1.0,0.6666666666666666,0.8,3.0
Father Botros Dib,0.42857142857142855,1.0,0.6,3.0
Elias Sarkis,0.9607843137254902,1.0,0.98,49.0
Fouad Chehab,0.975609756097561,1.0,0.9876543209876543,40.0
Hanna Moussa,1.0,0.9924242424242424,0.9961977186311787,132.0
Zaghloul ad-Damour,0.5,0.6666666666666666,0.5714285714285714,3.0
Habib Massoud,1.0,0.9333333333333333,0.9655172413793104,15.0
Zaghloul,1.0,0.9736842105263158,0.9866666666666667,76.0
Father Youhanna Habib Baysari,1.0,0.8666666666666667,0.9285714285714286,30.0
Mkhayel Daher,0.875,0.6363636363636364,0.7368421052631579,11.0
Father Youssef Hanna,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Father Youssef Iskandar,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.7,0.7,0.7,10.0
Father Botros Hasan,0.8,0.8421052631578947,0.8205128205128205,19.0
Youssef Ibrahim,1.0,0.8,0.8888888888888888,5.0
Father Youssef Hajj,0.8181818181818182,0.9,0.8571428571428571,10.0
Abdallah Daher,0.6666666666666666,1.0,0.8,2.0
Mkhayel & Ibrahim Daher,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
Tannous Semaan,1.0,0.5,0.6666666666666666,2.0
Father Mkhayel Zreiby,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
People of Rablah,0.0,0.0,0.0,2.0
Father Boutros Chidiac,0.3333333333333333,0.5,0.4,2.0
Bishop Antoun Jbeir,1.0,0.6666666666666666,0.8,3.0
Father Yousef,1.0,0.5,0.6666666666666666,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,1.0,1.0,1.0,8.0
Muhawwel Harouh,1.0,1.0,1.0,2.0
