,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,0.8333333333333334,0.5,0.625,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.8333333333333334,0.9090909090909091,6.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,0.5,0.6666666666666666,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.84,1.0,0.9130434782608695,21.0
Amin Farhat,0.6153846153846154,0.8,0.6956521739130435,10.0
Patriarch Elias Hoayek,0.4,0.2,0.26666666666666666,10.0
Bishop Boulos Akl,0.5,0.14285714285714285,0.2222222222222222,7.0
Ameen Rihani,0.9701492537313433,0.9090909090909091,0.9386281588447654,143.0
Shibli N. Damus,0.9705882352941176,0.825,0.8918918918918919,40.0
Naoum Mokarzel,0.75,0.6666666666666666,0.7058823529411765,9.0
Eissa alKhouri,1.0,0.5263157894736842,0.6896551724137931,19.0
Girgi Dimitri Sursock,0.75,0.8,0.7741935483870968,15.0
Felix Faris,0.723404255319149,0.9444444444444444,0.8192771084337349,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.8846153846153846,0.7419354838709677,0.8070175438596491,31.0
Victor Shemil,1.0,0.5,0.6666666666666666,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,1.0,0.5,0.6666666666666666,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7391304347826086,0.8292682926829268,0.7816091954022989,41.0
Mohammed Amin al-Husseini ,0.38461538461538464,0.625,0.47619047619047616,8.0
Prof. Ign. Kratchkovsky,0.6153846153846154,0.5714285714285714,0.5925925925925926,14.0
Jirjis alKsus,0.6,0.75,0.6666666666666666,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.9,0.9473684210526315,10.0
Daoud Mujaes,0.7692307692307693,0.8333333333333334,0.8,12.0
Bechara El Khoury,0.7058823529411765,0.75,0.7272727272727273,16.0
Tawfiq,1.0,0.5,0.6666666666666666,2.0
Youssef Ibrahim Yazbek,1.0,0.7272727272727273,0.8421052631578947,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,0.9047619047619048,0.95,0.926829268292683,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,0.8571428571428571,0.75,0.8,8.0
Elie Maroun Khalil,0.7857142857142857,1.0,0.88,11.0
Habib Abi Rached,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.5454545454545454,0.4,0.46153846153846156,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,1.0,0.3333333333333333,0.5,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,0.5,0.3333333333333333,0.4,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.8333333333333334,1.0,0.9090909090909091,5.0
Slayman al-Farkh,1.0,1.0,1.0,2.0
Habib Boulos Nasr,0.5,0.3333333333333333,0.4,3.0
Botros Feghaly,0.6666666666666666,0.4,0.5,10.0
Toufiq Wehbeh,0.7419354838709677,0.9583333333333334,0.8363636363636363,24.0
Maronite Bishop of Sidon,0.5,0.8,0.6153846153846154,5.0
Halim Khoury Saadeh,0.8,0.5714285714285714,0.6666666666666666,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.625,0.8333333333333334,0.7142857142857143,6.0
Youhanna Sfeir,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Bishop Mkhayel Akhrass,0.4827586206896552,1.0,0.6511627906976745,14.0
George Saad,0.8125,0.7647058823529411,0.7878787878787878,17.0
Bishop Youseef El Khazen,1.0,0.3333333333333333,0.5,3.0
Father Elias Najm,0.5,0.75,0.6,8.0
Bishop Aghnathios Mbarak,0.8333333333333334,0.8,0.8163265306122449,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Antonios Elias,1.0,0.6666666666666666,0.8,3.0
Francis Hcheme,0.0,0.0,0.0,3.0
Antoine Richa,0.0,0.0,0.0,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.0,0.0,0.0,2.0
Father Yaacoub Awad,1.0,0.3333333333333333,0.5,3.0
Wadih Salim Karam,0.75,1.0,0.8571428571428571,3.0
Father Youhanna El Khoury,0.8333333333333334,1.0,0.9090909090909091,5.0
Georges Jarjoura,0.0,0.0,0.0,2.0
Father Jerjes El Alam,0.0,0.0,0.0,3.0
Father Botros Dib,0.42857142857142855,1.0,0.6,3.0
Elias Sarkis,0.9423076923076923,1.0,0.9702970297029703,49.0
Fouad Chehab,1.0,1.0,1.0,40.0
Hanna Moussa,0.9776119402985075,0.9924242424242424,0.9849624060150376,132.0
Zaghloul ad-Damour,1.0,0.3333333333333333,0.5,3.0
Habib Massoud,0.7894736842105263,1.0,0.8823529411764706,15.0
Zaghloul,0.9620253164556962,1.0,0.9806451612903225,76.0
Father Youhanna Habib Baysari,1.0,0.8,0.8888888888888888,30.0
Mkhayel Daher,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0
Father Youssef Hanna,0.8,0.5714285714285714,0.6666666666666666,7.0
Father Youssef Iskandar,1.0,0.6666666666666666,0.8,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.5714285714285714,0.8,0.6666666666666666,10.0
Father Botros Hasan,0.6,0.7894736842105263,0.6818181818181818,19.0
Youssef Ibrahim,0.5714285714285714,0.8,0.6666666666666666,5.0
Father Youssef Hajj,0.5,0.2,0.2857142857142857,10.0
Abdallah Daher,0.6666666666666666,1.0,0.8,2.0
Mkhayel & Ibrahim Daher,0.6,0.6,0.6,5.0
Tannous Semaan,1.0,1.0,1.0,2.0
Father Mkhayel Zreiby,0.92,0.7666666666666667,0.8363636363636363,30.0
People of Rablah,1.0,0.5,0.6666666666666666,2.0
Father Boutros Chidiac,0.0,0.0,0.0,2.0
Bishop Antoun Jbeir,1.0,0.3333333333333333,0.5,3.0
Father Yousef,0.0,0.0,0.0,2.0
Maronite children of Akkar district,1.0,0.5,0.6666666666666666,2.0
Elias Asaf,0.8888888888888888,1.0,0.9411764705882353,8.0
Muhawwel Harouh,1.0,0.5,0.6666666666666666,2.0
Father Mikhael Hanna,0.6,0.2727272727272727,0.375,11.0
Warda El Khoury,0.0,0.0,0.0,2.0
Jean Philipp Kmeid,0.975609756097561,1.0,0.9876543209876543,80.0
Jerji Nicola Khattar al-Chuayri,1.0,1.0,1.0,4.0
Abd al-Hajj,0.75,0.75,0.75,4.0
Michel Saykali,0.9291338582677166,0.9915966386554622,0.959349593495935,119.0
Hanna Ghayth (Juan Gait),0.965034965034965,0.9857142857142858,0.9752650176678446,140.0
Yousef Hobeiche,0.9154929577464789,1.0,0.9558823529411765,65.0
Angele Ellis,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Yousef Hobeiche & Angele Ellis,0.0,0.0,0.0,2.0
Khalil Yossuf Nader Raad,0.7948717948717948,0.9117647058823529,0.8493150684931506,68.0
Mansour Eid,0.926829268292683,0.926829268292683,0.926829268292683,41.0
Nassif Mansour,0.0,0.0,0.0,2.0
Peter the Patriarch of Antioch,1.0,1.0,1.0,3.0
Youssef,0.5,0.3333333333333333,0.4,3.0
Mkhayel Meneem,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Constantine Elias,0.5217391304347826,0.9230769230769231,0.6666666666666666,13.0
Maurice Gemayel,0.625,0.5,0.5555555555555556,10.0
Murshid Habashi,0.8235294117647058,0.9333333333333333,0.875,15.0
Father Elias Abi Khair,1.0,0.5,0.6666666666666666,4.0
Hassan Khalil,1.0,1.0,1.0,6.0
Michel Kahwaji,0.8970588235294118,0.9838709677419355,0.9384615384615385,62.0
Mayor of Kfarshima,0.8125,0.8125,0.8125,64.0
Sohayl Tohmeh,0.984375,0.9921259842519685,0.9882352941176471,127.0
