,precision,recall,f1-score,support
Malvina Choieree,0.6,1.0,0.75,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.8571428571428571,1.0,0.9230769230769231,6.0
Father Youssef Nassar,0.6666666666666666,1.0,0.8,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.5,0.5,0.5,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Your son George,0.8076923076923077,1.0,0.8936170212765957,21.0
Amin Farhat,0.625,0.5,0.5555555555555556,10.0
Patriarch Elias Hoayek,0.5454545454545454,0.6,0.5714285714285714,10.0
Bishop Boulos Akl,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Ameen Rihani,0.9770992366412213,0.8951048951048951,0.9343065693430657,143.0
Shibli N. Damus,0.9354838709677419,0.725,0.8169014084507042,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.6842105263157895,0.8125,19.0
Girgi Dimitri Sursock,0.5384615384615384,0.9333333333333333,0.6829268292682927,15.0
Felix Faris,0.8452380952380952,0.9861111111111112,0.9102564102564102,72.0
Muhammad Hussain Najafi,1.0,1.0,1.0,5.0
May Ziadeh,1.0,0.8064516129032258,0.8928571428571429,31.0
Victor Shemil,1.0,0.5,0.6666666666666666,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,1.0,0.5,0.6666666666666666,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.875,0.8536585365853658,0.8641975308641975,41.0
Mohammed Amin al-Husseini ,0.5714285714285714,0.5,0.5333333333333333,8.0
Prof. Ign. Kratchkovsky,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0
Jirjis alKsus,0.6666666666666666,0.5,0.5714285714285714,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.9,0.9473684210526315,10.0
Daoud Mujaes,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Bechara El Khoury,0.9375,0.9375,0.9375,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Margaret El Haddad,0.8571428571428571,1.0,0.9230769230769231,6.0
Elias Abu Shabaki,1.0,0.9,0.9473684210526315,20.0
Habib,1.0,1.0,1.0,2.0
Adham Al Jundi,1.0,0.5,0.6666666666666666,2.0
Abd al-Khaliq Farid,1.0,0.75,0.8571428571428571,8.0
Elie Maroun Khalil,1.0,0.8181818181818182,0.9,11.0
Habib Abi Rached,1.0,0.3333333333333333,0.5,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,1.0,1.0,1.0,2.0
Ghnatyos Mbarak,0.7058823529411765,0.8,0.75,15.0
Abdallah Sfeir,1.0,0.3333333333333333,0.5,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.75,1.0,0.8571428571428571,3.0
JerJi Ass'ad Nader,1.0,0.5,0.6666666666666666,2.0
