,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.8571428571428571,1.0,0.9230769230769231,6.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.2,0.5,0.2857142857142857,2.0
Keserwan Finance Officer,0.5,0.5,0.5,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.7407407407407407,0.9523809523809523,0.8333333333333334,21.0
Amin Farhat,0.6,0.6,0.6,10.0
Patriarch Elias Hoayek,0.6,0.6,0.6,10.0
Bishop Boulos Akl,0.5,0.42857142857142855,0.46153846153846156,7.0
Ameen Rihani,0.9477611940298507,0.8881118881118881,0.9169675090252708,143.0
Shibli N. Damus,0.9705882352941176,0.825,0.8918918918918919,40.0
Naoum Mokarzel,1.0,0.6666666666666666,0.8,9.0
Eissa alKhouri,0.8461538461538461,0.5789473684210527,0.6875,19.0
Girgi Dimitri Sursock,0.5416666666666666,0.8666666666666667,0.6666666666666666,15.0
Felix Faris,0.8313253012048193,0.9583333333333334,0.8903225806451613,72.0
Muhammad Hussain Najafi,0.4,0.4,0.4,5.0
May Ziadeh,0.8636363636363636,0.6129032258064516,0.7169811320754716,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.625,0.8333333333333334,0.7142857142857143,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9210526315789473,0.8536585365853658,0.8860759493670886,41.0
Mohammed Amin al-Husseini ,0.5,0.25,0.3333333333333333,8.0
Prof. Ign. Kratchkovsky,0.6875,0.7857142857142857,0.7333333333333333,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,1.0,1.0,10.0
Daoud Mujaes,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Bechara El Khoury,0.7692307692307693,0.625,0.6896551724137931,16.0
Tawfiq,1.0,0.5,0.6666666666666666,2.0
Youssef Ibrahim Yazbek,1.0,0.5454545454545454,0.7058823529411765,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.9,0.9473684210526315,20.0
Habib,0.5,0.5,0.5,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.75,0.8571428571428571,8.0
Elie Maroun Khalil,0.9166666666666666,1.0,0.9565217391304348,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,0.875,1.0,0.9333333333333333,7.0
Mary Khoury,1.0,1.0,1.0,2.0
Ghnatyos Mbarak,0.6,0.8,0.6857142857142857,15.0
Abdallah Sfeir,1.0,0.3333333333333333,0.5,3.0
Youssef Nakad,1.0,0.3333333333333333,0.5,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.5,0.5,0.5,2.0
Habib Abdallah al-Khoury,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Serhal Maroun 'Tiyyeh,0.5,0.3333333333333333,0.4,3.0
Hanna Estphan,0.5,1.0,0.6666666666666666,5.0
Slayman al-Farkh,1.0,0.5,0.6666666666666666,2.0
Habib Boulos Nasr,1.0,0.3333333333333333,0.5,3.0
Botros Feghaly,0.6363636363636364,0.7,0.6666666666666666,10.0
Toufiq Wehbeh,0.7096774193548387,0.9166666666666666,0.8,24.0
Maronite Bishop of Sidon,0.6666666666666666,0.8,0.7272727272727273,5.0
Halim Khoury Saadeh,1.0,1.0,1.0,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,1.0,1.0,1.0,6.0
Youhanna Sfeir,1.0,0.3333333333333333,0.5,6.0
Bishop Mkhayel Akhrass,0.7,1.0,0.8235294117647058,14.0
George Saad,1.0,0.7058823529411765,0.8275862068965517,17.0
Bishop Youseef El Khazen,1.0,0.6666666666666666,0.8,3.0
Father Elias Najm,0.7142857142857143,0.625,0.6666666666666666,8.0
Bishop Aghnathios Mbarak,0.8518518518518519,0.92,0.8846153846153846,25.0
Dr. Abdo Harb,1.0,0.3333333333333333,0.5,3.0
Fathallah Khoury,0.6428571428571429,0.8181818181818182,0.72,11.0
Antonios Elias,0.42857142857142855,1.0,0.6,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,1.0,1.0,1.0,2.0
Father Yaacoub Awad,1.0,0.6666666666666666,0.8,3.0
Wadih Salim Karam,0.375,1.0,0.5454545454545454,3.0
Father Youhanna El Khoury,1.0,1.0,1.0,5.0
Georges Jarjoura,1.0,0.5,0.6666666666666666,2.0
Father Jerjes El Alam,1.0,0.6666666666666666,0.8,3.0
Father Botros Dib,0.5,0.3333333333333333,0.4,3.0
Elias Sarkis,0.9375,0.9183673469387755,0.9278350515463918,49.0
Fouad Chehab,1.0,1.0,1.0,40.0
Hanna Moussa,0.9921875,0.9621212121212122,0.9769230769230769,132.0
Zaghloul ad-Damour,0.5,0.3333333333333333,0.4,3.0
Habib Massoud,0.8,0.8,0.8,15.0
Zaghloul,1.0,1.0,1.0,76.0
Father Youhanna Habib Baysari,1.0,0.9,0.9473684210526315,30.0
Mkhayel Daher,1.0,0.9090909090909091,0.9523809523809523,11.0
Father Youssef Hanna,1.0,0.7142857142857143,0.8333333333333334,7.0
Father Youssef Iskandar,1.0,0.6666666666666666,0.8,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.75,0.6,0.6666666666666666,10.0
Father Botros Hasan,0.8571428571428571,0.631578947368421,0.7272727272727273,19.0
Youssef Ibrahim,1.0,0.8,0.8888888888888888,5.0
Father Youssef Hajj,0.8888888888888888,0.8,0.8421052631578947,10.0
Abdallah Daher,1.0,1.0,1.0,2.0
Mkhayel & Ibrahim Daher,1.0,0.6,0.75,5.0
Tannous Semaan,0.6666666666666666,1.0,0.8,2.0
Father Mkhayel Zreiby,0.9130434782608695,0.7,0.7924528301886793,30.0
People of Rablah,1.0,0.5,0.6666666666666666,2.0
Father Boutros Chidiac,0.0,0.0,0.0,2.0
Bishop Antoun Jbeir,0.5,0.6666666666666666,0.5714285714285714,3.0
Father Yousef,1.0,0.5,0.6666666666666666,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,0.7,0.875,0.7777777777777778,8.0
Muhawwel Harouh,1.0,0.5,0.6666666666666666,2.0
