,precision,recall,f1-score,support
Malvina Choieree,0.0,0.0,0.0,3.0
Your nephew Maroun,0.7777777777777778,0.7,0.7368421052631579,10.0
Sister Victor N. Khoury,0.6,1.0,0.75,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.6,0.75,5.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.59375,0.9047619047619048,0.7169811320754716,21.0
Amin Farhat,0.21428571428571427,0.3,0.25,10.0
Patriarch Elias Hoayek,0.0,0.0,0.0,10.0
Bishop Boulos Akl,0.0,0.0,0.0,7.0
Ameen Rihani,0.9797979797979798,0.6783216783216783,0.8016528925619835,143.0
Shibli N. Damus,0.9333333333333333,0.7,0.8,40.0
Naoum Mokarzel,1.0,0.1111111111111111,0.2,9.0
Eissa alKhouri,0.8333333333333334,0.2631578947368421,0.4,19.0
Girgi Dimitri Sursock,0.3548387096774194,0.7333333333333333,0.4782608695652174,15.0
Felix Faris,0.6571428571428571,0.9583333333333334,0.7796610169491526,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.5714285714285714,0.5161290322580645,0.5423728813559322,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.5,0.5,0.5,2.0
Elia Abu Madi,0.0,0.0,0.0,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5208333333333334,0.6097560975609756,0.5617977528089888,41.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,8.0
Prof. Ign. Kratchkovsky,0.6,0.21428571428571427,0.3157894736842105,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.8333333333333334,0.5,0.625,10.0
Daoud Mujaes,0.625,0.8333333333333334,0.7142857142857143,12.0
Bechara El Khoury,0.75,0.5625,0.6428571428571429,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.375,0.2727272727272727,0.3157894736842105,11.0
Margaret El Haddad,1.0,0.8333333333333334,0.9090909090909091,6.0
Elias Abu Shabaki,1.0,0.9,0.9473684210526315,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.25,0.4,8.0
Elie Maroun Khalil,1.0,0.45454545454545453,0.625,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.16666666666666666,0.13333333333333333,0.14814814814814814,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,1.0,0.6666666666666666,0.8,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,0.0,0.0,0.0,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.5,0.4,0.4444444444444444,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,0.0,0.0,0.0,3.0
Botros Feghaly,0.25,0.1,0.14285714285714285,10.0
Toufiq Wehbeh,0.84,0.875,0.8571428571428571,24.0
Maronite Bishop of Sidon,0.0,0.0,0.0,6.0
Halim Khoury Saadeh,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.5,0.16666666666666666,0.25,6.0
Youhanna Sfeir,1.0,0.3333333333333333,0.5,6.0
Bishop Mkhayel Akhrass,0.35135135135135137,0.9285714285714286,0.5098039215686274,14.0
George Saad,0.8,0.47058823529411764,0.5925925925925926,17.0
Bishop Youseef El Khazen,0.0,0.0,0.0,3.0
Father Elias Najm,1.0,0.5,0.6666666666666666,8.0
Bishop Aghnathios Mbarak,0.75,0.6,0.6666666666666666,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.6,0.2727272727272727,0.375,11.0
Antonios Elias,0.5,0.3333333333333333,0.4,3.0
Francis Hcheme,1.0,0.6666666666666666,0.8,3.0
Antoine Richa,0.0,0.0,0.0,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.0,0.0,0.0,2.0
