,precision,recall,f1-score,support
Malvina Choieree,0.5,0.6666666666666666,0.5714285714285714,3.0
Your nephew Maroun,0.7692307692307693,1.0,0.8695652173913043,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.8,0.8,0.8,5.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.5,0.5,0.5,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.6551724137931034,0.9047619047619048,0.76,21.0
Amin Farhat,0.3076923076923077,0.4,0.34782608695652173,10.0
Patriarch Elias Hoayek,0.0,0.0,0.0,10.0
Bishop Boulos Akl,0.3333333333333333,0.14285714285714285,0.2,7.0
Ameen Rihani,0.9801980198019802,0.6923076923076923,0.8114754098360656,143.0
Shibli N. Damus,1.0,0.75,0.8571428571428571,40.0
Naoum Mokarzel,1.0,0.3333333333333333,0.5,9.0
Eissa alKhouri,1.0,0.3684210526315789,0.5384615384615384,19.0
Girgi Dimitri Sursock,0.3076923076923077,0.8,0.4444444444444444,15.0
Felix Faris,0.7777777777777778,0.875,0.8235294117647058,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.625,0.4838709677419355,0.5454545454545454,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.5,0.6,0.5454545454545454,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7380952380952381,0.7560975609756098,0.7469879518072289,41.0
Mohammed Amin al-Husseini ,0.5,0.125,0.2,8.0
Prof. Ign. Kratchkovsky,0.5625,0.6428571428571429,0.6,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.75,0.6,0.6666666666666666,10.0
Daoud Mujaes,0.8,1.0,0.8888888888888888,12.0
Bechara El Khoury,0.5882352941176471,0.625,0.6060606060606061,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.625,0.45454545454545453,0.5263157894736842,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.85,0.918918918918919,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
