,precision,recall,f1-score,support
Malvina Choieree,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
Your nephew Maroun,0.75,0.9,0.8181818181818182,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,6.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.1111111111111111,0.5,0.18181818181818182,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.5,0.3333333333333333,0.4,3.0
Your son George,0.7307692307692307,0.9047619047619048,0.8085106382978723,21.0
Amin Farhat,0.3,0.3,0.3,10.0
Patriarch Elias Hoayek,0.1111111111111111,0.1,0.10526315789473684,10.0
Bishop Boulos Akl,0.0,0.0,0.0,7.0
Ameen Rihani,0.9578947368421052,0.6363636363636364,0.7647058823529411,143.0
Shibli N. Damus,0.9285714285714286,0.65,0.7647058823529411,40.0
Naoum Mokarzel,1.0,0.3333333333333333,0.5,9.0
Eissa alKhouri,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0
Girgi Dimitri Sursock,0.3793103448275862,0.7333333333333333,0.5,15.0
Felix Faris,0.6504854368932039,0.9305555555555556,0.7657142857142857,72.0
Muhammad Hussain Najafi,0.6666666666666666,0.4,0.5,5.0
May Ziadeh,0.7727272727272727,0.5483870967741935,0.6415094339622641,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.5,0.5,0.5,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7948717948717948,0.7560975609756098,0.775,41.0
Mohammed Amin al-Husseini ,0.6666666666666666,0.25,0.36363636363636365,8.0
Prof. Ign. Kratchkovsky,0.7,0.5,0.5833333333333334,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.6,0.6,0.6,10.0
Daoud Mujaes,0.7692307692307693,0.8333333333333334,0.8,12.0
Bechara El Khoury,0.75,0.5625,0.6428571428571429,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.8,0.36363636363636365,0.5,11.0
Margaret El Haddad,1.0,0.6666666666666666,0.8,6.0
Elias Abu Shabaki,1.0,0.9,0.9473684210526315,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,0.6666666666666666,1.0,0.8,2.0
Abd al-Khaliq Farid,0.5,0.125,0.2,8.0
Elie Maroun Khalil,1.0,0.36363636363636365,0.5333333333333333,11.0
Habib Abi Rached,1.0,0.3333333333333333,0.5,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.21428571428571427,0.2,0.20689655172413793,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.5,0.5,0.5,2.0
Habib Abdallah al-Khoury,0.0,0.0,0.0,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.25,0.2,0.2222222222222222,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,0.0,0.0,0.0,3.0
Botros Feghaly,0.6666666666666666,0.2,0.3076923076923077,10.0
Toufiq Wehbeh,0.6666666666666666,0.9166666666666666,0.7719298245614035,24.0
Maronite Bishop of Sidon,0.3333333333333333,0.2,0.25,5.0
Halim Khoury Saadeh,0.6363636363636364,1.0,0.7777777777777778,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,1.0,0.6666666666666666,0.8,6.0
Youhanna Sfeir,1.0,0.16666666666666666,0.2857142857142857,6.0
Bishop Mkhayel Akhrass,0.5652173913043478,0.9285714285714286,0.7027027027027027,14.0
George Saad,1.0,0.7058823529411765,0.8275862068965517,17.0
