,precision,recall,f1-score,support
Malvina Choieree,0.0,0.0,0.0,3.0
Your nephew Maroun,0.8333333333333334,0.5,0.625,10.0
Sister Victor N. Khoury,0.6428571428571429,1.0,0.782608695652174,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.6666666666666666,0.8,6.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.5128205128205128,0.9523809523809523,0.6666666666666666,21.0
Amin Farhat,0.3888888888888889,0.7,0.5,10.0
Patriarch Elias Hoayek,0.0,0.0,0.0,10.0
Bishop Boulos Akl,0.0,0.0,0.0,7.0
Ameen Rihani,0.9560439560439561,0.6083916083916084,0.7435897435897436,143.0
Shibli N. Damus,0.9565217391304348,0.55,0.6984126984126984,40.0
Naoum Mokarzel,0.5,0.1111111111111111,0.18181818181818182,9.0
Eissa alKhouri,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
Girgi Dimitri Sursock,0.38095238095238093,0.5333333333333333,0.4444444444444444,15.0
Felix Faris,0.5,0.9583333333333334,0.6571428571428571,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.5333333333333333,0.5161290322580645,0.5245901639344263,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.0,0.0,0.0,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5434782608695652,0.6097560975609756,0.5747126436781609,41.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,8.0
Prof. Ign. Kratchkovsky,1.0,0.21428571428571427,0.35294117647058826,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,10.0
Daoud Mujaes,0.4090909090909091,0.75,0.5294117647058824,12.0
Bechara El Khoury,0.8571428571428571,0.75,0.8,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.42857142857142855,0.2727272727272727,0.3333333333333333,11.0
Margaret El Haddad,0.8571428571428571,1.0,0.9230769230769231,6.0
Elias Abu Shabaki,1.0,0.85,0.918918918918919,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,0.0,0.0,0.0,2.0
Abd al-Khaliq Farid,1.0,0.125,0.2222222222222222,8.0
Elie Maroun Khalil,1.0,0.45454545454545453,0.625,11.0
Habib Abi Rached,1.0,0.3333333333333333,0.5,3.0
Aziz Khoury,0.6666666666666666,0.2857142857142857,0.4,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,0.0,0.0,0.0,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.8,0.8,0.8,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,0.0,0.0,0.0,3.0
Botros Feghaly,0.6666666666666666,0.2,0.3076923076923077,10.0
Toufiq Wehbeh,0.8461538461538461,0.9166666666666666,0.88,24.0
Maronite Bishop of Sidon,0.0,0.0,0.0,6.0
Halim Khoury Saadeh,0.6,0.8571428571428571,0.7058823529411765,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
Youhanna Sfeir,0.6666666666666666,0.4,0.5,5.0
Bishop Mkhayel Akhrass,0.3023255813953488,0.9285714285714286,0.45614035087719296,14.0
George Saad,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
Bishop Youseef El Khazen,0.0,0.0,0.0,3.0
Father Elias Najm,1.0,0.5,0.6666666666666666,8.0
Bishop Aghnathios Mbarak,0.7272727272727273,0.64,0.6808510638297872,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.16666666666666666,0.09090909090909091,0.11764705882352941,11.0
Antonios Elias,0.0,0.0,0.0,3.0
Francis Hcheme,1.0,0.3333333333333333,0.5,3.0
Antoine Richa,0.0,0.0,0.0,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.0,0.0,0.0,2.0
Father Yaacoub Awad,0.0,0.0,0.0,3.0
Wadih Salim Karam,0.0,0.0,0.0,3.0
Father Youhanna El Khoury,0.3333333333333333,0.2,0.25,5.0
Georges Jarjoura,1.0,0.5,0.6666666666666666,2.0
Father Jerjes El Alam,0.0,0.0,0.0,3.0
Father Botros Dib,1.0,0.3333333333333333,0.5,3.0
Elias Sarkis,0.7777777777777778,0.7142857142857143,0.7446808510638298,49.0
Fouad Chehab,1.0,0.95,0.9743589743589743,40.0
Hanna Moussa,0.9057971014492754,0.946969696969697,0.9259259259259259,132.0
Zaghloul ad-Damour,0.0,0.0,0.0,3.0
Habib Massoud,0.5714285714285714,0.8,0.6666666666666666,15.0
Zaghloul,0.925,0.9736842105263158,0.9487179487179487,76.0
Father Youhanna Habib Baysari,1.0,0.7,0.8235294117647058,30.0
Mkhayel Daher,1.0,0.45454545454545453,0.625,11.0
Father Youssef Hanna,0.8,0.5714285714285714,0.6666666666666666,7.0
