,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,5.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,0.5,1.0,0.6666666666666666,1.0
Mousssa Farhat Farah,1.0,1.0,1.0,2.0
Nassar Tanios Al Samarani,1.0,1.0,1.0,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,0.6666666666666666,1.0,0.8,2.0
Elias Abdallah,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Your son George,0.9545454545454546,1.0,0.9767441860465116,21.0
Amin Farhat,0.8888888888888888,0.8,0.8421052631578947,10.0
Patriarch Elias Hoayek,0.6,0.6,0.6,10.0
Bishop Boulos Akl,0.8,0.5714285714285714,0.6666666666666666,7.0
Ameen Rihani,0.9776119402985075,0.916083916083916,0.9458483754512635,143.0
Shibli N. Damus,0.972972972972973,0.9,0.935064935064935,40.0
Naoum Mokarzel,1.0,1.0,1.0,9.0
Eissa alKhouri,1.0,0.9473684210526315,0.972972972972973,19.0
Girgi Dimitri Sursock,0.6363636363636364,0.9333333333333333,0.7567567567567568,15.0
Felix Faris,0.9594594594594594,0.9861111111111112,0.9726027397260274,72.0
Muhammad Hussain Najafi,1.0,1.0,1.0,5.0
May Ziadeh,0.7222222222222222,0.8387096774193549,0.7761194029850746,31.0
Victor Shemil,0.6666666666666666,1.0,0.8,2.0
Ahmed Shakir alKarmi,1.0,0.5,0.6666666666666666,2.0
Elia Abu Madi,0.8,0.8,0.8,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0
Mohammed Amin al-Husseini ,1.0,0.375,0.5454545454545454,8.0
Prof. Ign. Kratchkovsky,1.0,0.9285714285714286,0.9629629629629629,14.0
Jirjis alKsus,0.5714285714285714,1.0,0.7272727272727273,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,1.0,1.0,10.0
Daoud Mujaes,1.0,1.0,1.0,12.0
Bechara El Khoury,0.8421052631578947,1.0,0.9142857142857143,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,0.9166666666666666,1.0,0.9565217391304348,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,1.0,1.0,20.0
Habib,1.0,0.5,0.6666666666666666,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.875,0.9333333333333333,8.0
Elie Maroun Khalil,1.0,0.9090909090909091,0.9523809523809523,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.6521739130434783,1.0,0.7894736842105263,15.0
Abdallah Sfeir,1.0,0.3333333333333333,0.5,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
JerJi Ass'ad Nader,1.0,0.5,0.6666666666666666,2.0
Habib Abdallah al-Khoury,1.0,1.0,1.0,3.0
Serhal Maroun 'Tiyyeh,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Hanna Estphan,1.0,1.0,1.0,5.0
Slayman al-Farkh,0.5,1.0,0.6666666666666666,2.0
Habib Boulos Nasr,1.0,1.0,1.0,3.0
Botros Feghaly,0.8888888888888888,0.8,0.8421052631578947,10.0
Toufiq Wehbeh,0.8275862068965517,1.0,0.9056603773584906,24.0
Maronite Bishop of Sidon,0.625,0.8333333333333334,0.7142857142857143,6.0
Halim Khoury Saadeh,1.0,1.0,1.0,7.0
Jebrayel Sa'd al 'Alam,1.0,0.3333333333333333,0.5,3.0
Najib Ayoub,1.0,1.0,1.0,6.0
Youhanna Sfeir,1.0,0.8333333333333334,0.9090909090909091,6.0
Bishop Mkhayel Akhrass,0.875,1.0,0.9333333333333333,14.0
George Saad,1.0,0.7647058823529411,0.8666666666666667,17.0
Bishop Youseef El Khazen,0.75,1.0,0.8571428571428571,3.0
Father Elias Najm,1.0,1.0,1.0,8.0
Bishop Aghnathios Mbarak,0.9166666666666666,0.88,0.8979591836734694,25.0
Dr. Abdo Harb,0.4,0.6666666666666666,0.5,3.0
Fathallah Khoury,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Antonios Elias,1.0,0.3333333333333333,0.5,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.75,1.0,0.8571428571428571,3.0
Botros El Kfouny,0.5,1.0,0.6666666666666666,2.0
Salim Maalouf,1.0,1.0,1.0,2.0
Father Yaacoub Awad,0.75,1.0,0.8571428571428571,3.0
Wadih Salim Karam,1.0,1.0,1.0,3.0
Father Youhanna El Khoury,1.0,1.0,1.0,5.0
Georges Jarjoura,0.6666666666666666,1.0,0.8,2.0
Father Jerjes El Alam,1.0,0.6666666666666666,0.8,3.0
Father Botros Dib,1.0,1.0,1.0,3.0
Elias Sarkis,0.98,1.0,0.98989898989899,49.0
Fouad Chehab,1.0,1.0,1.0,40.0
Hanna Moussa,0.9848484848484849,0.9848484848484849,0.9848484848484849,132.0
Zaghloul ad-Damour,1.0,1.0,1.0,3.0
Habib Massoud,1.0,0.9333333333333333,0.9655172413793104,15.0
Zaghloul,1.0,1.0,1.0,76.0
Father Youhanna Habib Baysari,1.0,0.9666666666666667,0.9830508474576272,30.0
Mkhayel Daher,1.0,0.7272727272727273,0.8421052631578947,11.0
Father Youssef Hanna,1.0,0.8571428571428571,0.9230769230769231,7.0
Father Youssef Iskandar,1.0,1.0,1.0,3.0
Adib Shiha,0.75,1.0,0.8571428571428571,3.0
Father Youssef Hanna & Father Botros Hasan,0.8181818181818182,0.9,0.8571428571428571,10.0
Father Botros Hasan,1.0,0.8947368421052632,0.9444444444444444,19.0
Youssef Ibrahim,1.0,1.0,1.0,5.0
Father Youssef Hajj,0.6923076923076923,0.9,0.782608695652174,10.0
Abdallah Daher,1.0,1.0,1.0,2.0
Mkhayel & Ibrahim Daher,1.0,0.6666666666666666,0.8,6.0
Tannous Semaan,1.0,0.5,0.6666666666666666,2.0
Father Mkhayel Zreiby,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
People of Rablah,1.0,1.0,1.0,2.0
Father Boutros Chidiac,1.0,1.0,1.0,2.0
Bishop Antoun Jbeir,1.0,1.0,1.0,3.0
Father Yousef,0.6666666666666666,1.0,0.8,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,1.0,1.0,1.0,8.0
Muhawwel Harouh,1.0,1.0,1.0,2.0
