,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,1.0,1.0,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,5.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,0.6666666666666666,1.0,0.8,2.0
Nassar Tanios Al Samarani,1.0,1.0,1.0,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,1.0,1.0,2.0
Elias Abdallah,0.75,1.0,0.8571428571428571,3.0
Your son George,0.9545454545454546,1.0,0.9767441860465116,21.0
Amin Farhat,1.0,0.7,0.8235294117647058,10.0
Patriarch Elias Hoayek,0.8,0.8,0.8,10.0
Bishop Boulos Akl,1.0,0.7142857142857143,0.8333333333333334,7.0
Ameen Rihani,0.9925925925925926,0.9370629370629371,0.9640287769784173,143.0
Shibli N. Damus,0.9487179487179487,0.925,0.9367088607594937,40.0
Naoum Mokarzel,1.0,1.0,1.0,9.0
Eissa alKhouri,1.0,0.9473684210526315,0.972972972972973,19.0
Girgi Dimitri Sursock,0.7142857142857143,1.0,0.8333333333333334,15.0
Felix Faris,0.9113924050632911,1.0,0.9536423841059603,72.0
Muhammad Hussain Najafi,1.0,0.8,0.8888888888888888,5.0
May Ziadeh,0.8709677419354839,0.8709677419354839,0.8709677419354839,31.0
Victor Shemil,0.6666666666666666,1.0,0.8,2.0
Ahmed Shakir alKarmi,1.0,0.5,0.6666666666666666,2.0
Elia Abu Madi,0.5714285714285714,0.8,0.6666666666666666,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.926829268292683,0.926829268292683,0.926829268292683,41.0
Mohammed Amin al-Husseini ,1.0,0.625,0.7692307692307693,8.0
Prof. Ign. Kratchkovsky,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
Jirjis alKsus,1.0,1.0,1.0,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,1.0,1.0,10.0
Daoud Mujaes,1.0,0.9166666666666666,0.9565217391304348,12.0
Bechara El Khoury,0.8823529411764706,0.9375,0.9090909090909091,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,1.0,1.0,20.0
Habib,1.0,0.5,0.6666666666666666,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.875,0.9333333333333333,8.0
Elie Maroun Khalil,1.0,1.0,1.0,11.0
