,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,0.9,0.9,0.9,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.8,0.8888888888888888,5.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,1.0,1.0,1.0,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.84,1.0,0.9130434782608695,21.0
Amin Farhat,0.4444444444444444,0.4,0.42105263157894735,10.0
Patriarch Elias Hoayek,0.3333333333333333,0.2,0.25,10.0
Bishop Boulos Akl,0.6666666666666666,0.2857142857142857,0.4,7.0
Ameen Rihani,1.0,0.7832167832167832,0.8784313725490196,143.0
Shibli N. Damus,0.9411764705882353,0.8,0.8648648648648649,40.0
Naoum Mokarzel,0.8,0.8888888888888888,0.8421052631578947,9.0
Eissa alKhouri,0.8823529411764706,0.7894736842105263,0.8333333333333334,19.0
Girgi Dimitri Sursock,0.43478260869565216,0.6666666666666666,0.5263157894736842,15.0
Felix Faris,0.9078947368421053,0.9583333333333334,0.9324324324324325,72.0
Muhammad Hussain Najafi,1.0,0.6,0.75,5.0
May Ziadeh,0.7142857142857143,0.8064516129032258,0.7575757575757576,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,0.5,0.6666666666666666,2.0
Elia Abu Madi,0.8,0.8,0.8,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8333333333333334,0.8536585365853658,0.8433734939759037,41.0
Mohammed Amin al-Husseini ,1.0,0.375,0.5454545454545454,8.0
Prof. Ign. Kratchkovsky,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
Jirjis alKsus,0.5,0.5,0.5,4.0
Ibrahim Mejahid Al-Jaza'eri,0.8333333333333334,1.0,0.9090909090909091,10.0
Daoud Mujaes,1.0,0.9166666666666666,0.9565217391304348,12.0
Bechara El Khoury,0.8125,0.8125,0.8125,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.9090909090909091,0.9523809523809523,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.85,0.918918918918919,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.75,0.8571428571428571,8.0
Elie Maroun Khalil,0.8888888888888888,0.7272727272727273,0.8,11.0
Habib Abi Rached,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Aziz Khoury,0.875,1.0,0.9333333333333333,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.5,0.5333333333333333,0.5161290322580645,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.5,0.3333333333333333,0.4,3.0
JerJi Ass'ad Nader,1.0,0.5,0.6666666666666666,2.0
Habib Abdallah al-Khoury,1.0,0.6666666666666666,0.8,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,1.0,1.0,1.0,5.0
Slayman al-Farkh,1.0,0.5,0.6666666666666666,2.0
Habib Boulos Nasr,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Botros Feghaly,0.8571428571428571,0.6,0.7058823529411765,10.0
Toufiq Wehbeh,0.7741935483870968,1.0,0.8727272727272727,24.0
Maronite Bishop of Sidon,0.4,0.3333333333333333,0.36363636363636365,6.0
Halim Khoury Saadeh,0.6,0.8571428571428571,0.7058823529411765,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.8571428571428571,1.0,0.9230769230769231,6.0
Youhanna Sfeir,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
Bishop Mkhayel Akhrass,0.65,0.9285714285714286,0.7647058823529411,14.0
George Saad,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
Bishop Youseef El Khazen,0.5,0.3333333333333333,0.4,3.0
Father Elias Najm,1.0,1.0,1.0,8.0
Bishop Aghnathios Mbarak,0.6857142857142857,0.96,0.8,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
Antonios Elias,1.0,0.3333333333333333,0.5,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.5,0.3333333333333333,0.4,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.6666666666666666,1.0,0.8,2.0
Father Yaacoub Awad,0.0,0.0,0.0,3.0
Wadih Salim Karam,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
Father Youhanna El Khoury,1.0,0.8,0.8888888888888888,5.0
Georges Jarjoura,0.0,0.0,0.0,2.0
Father Jerjes El Alam,1.0,0.3333333333333333,0.5,3.0
Father Botros Dib,0.75,1.0,0.8571428571428571,3.0
Elias Sarkis,1.0,1.0,1.0,49.0
Fouad Chehab,0.975609756097561,1.0,0.9876543209876543,40.0
Hanna Moussa,0.9922480620155039,0.9696969696969697,0.9808429118773946,132.0
Zaghloul ad-Damour,1.0,1.0,1.0,3.0
Habib Massoud,1.0,0.9333333333333333,0.9655172413793104,15.0
Zaghloul,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0
Father Youhanna Habib Baysari,1.0,1.0,1.0,30.0
Mkhayel Daher,0.5,0.8181818181818182,0.6206896551724138,11.0
Father Youssef Hanna,1.0,0.8571428571428571,0.9230769230769231,7.0
Father Youssef Iskandar,1.0,0.3333333333333333,0.5,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.6,0.6,0.6,10.0
Father Botros Hasan,0.8,0.8421052631578947,0.8205128205128205,19.0
Youssef Ibrahim,1.0,0.8,0.8888888888888888,5.0
Father Youssef Hajj,0.6666666666666666,0.4,0.5,10.0
Abdallah Daher,1.0,0.5,0.6666666666666666,2.0
Mkhayel & Ibrahim Daher,0.8,0.6666666666666666,0.7272727272727273,6.0
Tannous Semaan,1.0,0.5,0.6666666666666666,2.0
Father Mkhayel Zreiby,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
People of Rablah,0.0,0.0,0.0,2.0
Father Boutros Chidiac,0.0,0.0,0.0,2.0
Bishop Antoun Jbeir,1.0,0.6666666666666666,0.8,3.0
Father Yousef,1.0,0.5,0.6666666666666666,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,0.8888888888888888,1.0,0.9411764705882353,8.0
Muhawwel Harouh,0.6666666666666666,1.0,0.8,2.0
Father Mikhael Hanna,0.42857142857142855,0.2727272727272727,0.3333333333333333,11.0
Warda El Khoury,1.0,0.5,0.6666666666666666,2.0
Jean Philipp Kmeid,0.9876543209876543,1.0,0.9937888198757764,80.0
Jerji Nicola Khattar al-Chuayri,1.0,0.75,0.8571428571428571,4.0
Abd al-Hajj,1.0,0.75,0.8571428571428571,4.0
Michel Saykali,0.9076923076923077,0.9915966386554622,0.9477911646586346,119.0
Hanna Ghayth (Juan Gait),0.9925373134328358,0.95,0.9708029197080292,140.0
Yousef Hobeiche,0.8732394366197183,0.9538461538461539,0.9117647058823529,65.0
Angele Ellis,0.6111111111111112,0.9166666666666666,0.7333333333333333,12.0
Yousef Hobeiche & Angele Ellis,0.0,0.0,0.0,2.0
Khalil Yossuf Nader Raad,0.759493670886076,0.8823529411764706,0.8163265306122449,68.0
Mansour Eid,0.8863636363636364,0.9512195121951219,0.9176470588235294,41.0
Nassif Mansour,0.0,0.0,0.0,2.0
Peter the Patriarch of Antioch,0.5,0.6666666666666666,0.5714285714285714,3.0
Youssef,0.5,0.6666666666666666,0.5714285714285714,3.0
Mkhayel Meneem,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
Constantine Elias,0.8666666666666667,1.0,0.9285714285714286,13.0
Maurice Gemayel,0.375,0.3,0.3333333333333333,10.0
Murshid Habashi,1.0,0.8,0.8888888888888888,15.0
Father Elias Abi Khair,1.0,0.5,0.6666666666666666,4.0
Hassan Khalil,1.0,1.0,1.0,6.0
Michel Kahwaji,0.9393939393939394,1.0,0.96875,62.0
Mayor of Kfarshima,0.8666666666666667,0.8125,0.8387096774193549,64.0
Sohayl Tohmeh,0.9621212121212122,1.0,0.9806949806949807,127.0
Shukri Kanaan,0.5483870967741935,0.85,0.6666666666666666,20.0
Emily Nasrallah,0.9578947368421052,1.0,0.978494623655914,91.0
Thomas & John Oussani,0.0,0.0,0.0,2.0
Brother of Joseph Oussani,1.0,1.0,1.0,4.0
Joseph Oussani,0.967741935483871,1.0,0.9836065573770492,60.0
Shukri Kordahi,1.0,0.6,0.75,5.0
Negib Aboussouan,1.0,0.6666666666666666,0.8,3.0
Toubia Hanna Rizk & Touma Chidiac,1.0,1.0,1.0,2.0
Hanna Younes Abboud,1.0,0.6666666666666666,0.8,3.0
Youssef Bey Al-Helou,0.0,0.0,0.0,2.0
Father Elias,1.0,1.0,1.0,1.0
Magistrate of Batroun,0.0,0.0,0.0,2.0
Jirjis Yuhanna Basil ,1.0,1.0,1.0,2.0
Estephan Adib Salloum,1.0,1.0,1.0,8.0
Father Boulos El-Mender,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0
Joseph,0.8333333333333334,1.0,0.9090909090909091,5.0
Salah Tizani,1.0,0.9924242424242424,0.9961977186311787,132.0
Father Elias Bassil,0.4444444444444444,0.5,0.47058823529411764,8.0
Yahia Mansour & Asaad Koury,0.0,0.0,0.0,2.0
