,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,5.0
Father Youssef Nassar,0.6666666666666666,1.0,0.8,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.4,1.0,0.5714285714285714,2.0
Nassar Tanios Al Samarani,0.6666666666666666,1.0,0.8,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,0.5,0.6666666666666666,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,1.0,1.0,1.0,21.0
Amin Farhat,0.7,0.7,0.7,10.0
Patriarch Elias Hoayek,0.45454545454545453,0.5,0.47619047619047616,10.0
Bishop Boulos Akl,1.0,0.42857142857142855,0.6,7.0
Ameen Rihani,0.984251968503937,0.8741258741258742,0.9259259259259259,143.0
Shibli N. Damus,0.918918918918919,0.85,0.8831168831168831,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.8421052631578947,0.9142857142857143,19.0
Girgi Dimitri Sursock,0.4117647058823529,0.9333333333333333,0.5714285714285714,15.0
Felix Faris,0.9113924050632911,1.0,0.9536423841059603,72.0
Muhammad Hussain Najafi,0.8,0.8,0.8,5.0
May Ziadeh,0.8461538461538461,0.7096774193548387,0.7719298245614035,31.0
Victor Shemil,0.6666666666666666,1.0,0.8,2.0
Ahmed Shakir alKarmi,1.0,0.5,0.6666666666666666,2.0
Elia Abu Madi,0.8,0.8,0.8,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9230769230769231,0.8780487804878049,0.9,41.0
Mohammed Amin al-Husseini ,1.0,0.5,0.6666666666666666,8.0
Prof. Ign. Kratchkovsky,0.9090909090909091,0.7142857142857143,0.8,14.0
Jirjis alKsus,0.8,1.0,0.8888888888888888,4.0
Ibrahim Mejahid Al-Jaza'eri,0.9090909090909091,1.0,0.9523809523809523,10.0
Daoud Mujaes,1.0,0.9166666666666666,0.9565217391304348,12.0
Bechara El Khoury,0.8666666666666667,0.8125,0.8387096774193549,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.9090909090909091,0.9523809523809523,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.95,0.9743589743589743,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,1.0,1.0,8.0
Elie Maroun Khalil,1.0,0.9090909090909091,0.9523809523809523,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
JerJi Ass'ad Nader,1.0,0.5,0.6666666666666666,2.0
Habib Abdallah al-Khoury,1.0,0.6666666666666666,0.8,3.0
Serhal Maroun 'Tiyyeh,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Hanna Estphan,0.7142857142857143,1.0,0.8333333333333334,5.0
Slayman al-Farkh,0.6666666666666666,1.0,0.8,2.0
Habib Boulos Nasr,1.0,1.0,1.0,3.0
Botros Feghaly,0.8571428571428571,0.6,0.7058823529411765,10.0
Toufiq Wehbeh,0.8518518518518519,0.9583333333333334,0.9019607843137255,24.0
Maronite Bishop of Sidon,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
Halim Khoury Saadeh,0.875,1.0,0.9333333333333333,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,1.0,1.0,1.0,6.0
Youhanna Sfeir,0.75,0.5,0.6,6.0
Bishop Mkhayel Akhrass,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0
George Saad,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
Bishop Youseef El Khazen,1.0,0.6666666666666666,0.8,3.0
Father Elias Najm,1.0,0.875,0.9333333333333333,8.0
Bishop Aghnathios Mbarak,0.76,0.76,0.76,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Antonios Elias,0.2,0.3333333333333333,0.25,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.6,1.0,0.75,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.2857142857142857,1.0,0.4444444444444444,2.0
Father Yaacoub Awad,1.0,0.3333333333333333,0.5,3.0
Wadih Salim Karam,0.75,1.0,0.8571428571428571,3.0
Father Youhanna El Khoury,1.0,0.4,0.5714285714285714,5.0
Georges Jarjoura,1.0,0.5,0.6666666666666666,2.0
Father Jerjes El Alam,1.0,0.3333333333333333,0.5,3.0
Father Botros Dib,0.3,1.0,0.46153846153846156,3.0
Elias Sarkis,0.9607843137254902,1.0,0.98,49.0
Fouad Chehab,1.0,1.0,1.0,40.0
Hanna Moussa,1.0,0.9772727272727273,0.9885057471264368,132.0
Zaghloul ad-Damour,1.0,0.6666666666666666,0.8,3.0
Habib Massoud,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Zaghloul,1.0,0.9868421052631579,0.9933774834437086,76.0
Father Youhanna Habib Baysari,1.0,0.8333333333333334,0.9090909090909091,30.0
Mkhayel Daher,1.0,0.7272727272727273,0.8421052631578947,11.0
Father Youssef Hanna,1.0,1.0,1.0,7.0
Father Youssef Iskandar,1.0,1.0,1.0,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.6666666666666666,1.0,0.8,10.0
Father Botros Hasan,1.0,0.9473684210526315,0.972972972972973,19.0
Youssef Ibrahim,1.0,1.0,1.0,5.0
Father Youssef Hajj,0.6,0.6,0.6,10.0
Abdallah Daher,0.6666666666666666,1.0,0.8,2.0
Mkhayel & Ibrahim Daher,1.0,0.6666666666666666,0.8,6.0
Tannous Semaan,0.3333333333333333,0.5,0.4,2.0
Father Mkhayel Zreiby,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
People of Rablah,1.0,0.5,0.6666666666666666,2.0
Father Boutros Chidiac,1.0,1.0,1.0,2.0
Bishop Antoun Jbeir,1.0,1.0,1.0,3.0
Father Yousef,0.5,0.5,0.5,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,1.0,1.0,1.0,8.0
Muhawwel Harouh,1.0,1.0,1.0,2.0
