,precision,recall,f1-score,support
Malvina Choieree,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.8333333333333334,0.9090909090909091,6.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.875,1.0,0.9333333333333333,21.0
Amin Farhat,0.6666666666666666,0.6,0.631578947368421,10.0
Patriarch Elias Hoayek,0.5,0.5,0.5,10.0
Bishop Boulos Akl,1.0,0.5714285714285714,0.7272727272727273,7.0
Ameen Rihani,0.976,0.8531468531468531,0.9104477611940298,143.0
Shibli N. Damus,1.0,0.8,0.8888888888888888,40.0
Naoum Mokarzel,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Eissa alKhouri,1.0,0.7368421052631579,0.8484848484848485,19.0
Girgi Dimitri Sursock,0.6428571428571429,0.6,0.6206896551724138,15.0
Felix Faris,0.7171717171717171,0.9861111111111112,0.8304093567251462,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.7297297297297297,0.8709677419354839,0.7941176470588235,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.6,0.5,0.5454545454545454,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9210526315789473,0.8536585365853658,0.8860759493670886,41.0
Mohammed Amin al-Husseini ,0.8,0.5,0.6153846153846154,8.0
Prof. Ign. Kratchkovsky,0.8,0.2857142857142857,0.42105263157894735,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.7142857142857143,1.0,0.8333333333333334,10.0
