,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,6.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,1.0,0.5,0.6666666666666666,2.0
Nassar Tanios Al Samarani,0.6666666666666666,1.0,0.8,2.0
Keserwan Finance Officer,1.0,1.0,1.0,2.0
Serhal Ounaissy,1.0,1.0,1.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.9473684210526315,0.8571428571428571,0.9,21.0
Amin Farhat,0.6153846153846154,0.8,0.6956521739130435,10.0
Patriarch Elias Hoayek,0.5,0.8,0.6153846153846154,10.0
Bishop Boulos Akl,1.0,0.5714285714285714,0.7272727272727273,7.0
Ameen Rihani,0.9847328244274809,0.9020979020979021,0.9416058394160584,143.0
Shibli N. Damus,1.0,0.8,0.8888888888888888,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.7368421052631579,0.8484848484848485,19.0
Girgi Dimitri Sursock,0.5909090909090909,0.8666666666666667,0.7027027027027027,15.0
Felix Faris,0.8192771084337349,0.9444444444444444,0.8774193548387097,72.0
Muhammad Hussain Najafi,0.6666666666666666,0.4,0.5,5.0
May Ziadeh,0.6842105263157895,0.8387096774193549,0.7536231884057971,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.6666666666666666,1.0,0.8,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9473684210526315,0.8780487804878049,0.9113924050632911,41.0
Mohammed Amin al-Husseini ,0.7777777777777778,0.875,0.8235294117647058,8.0
Prof. Ign. Kratchkovsky,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
Jirjis alKsus,1.0,0.5,0.6666666666666666,4.0
Ibrahim Mejahid Al-Jaza'eri,0.9090909090909091,1.0,0.9523809523809523,10.0
Daoud Mujaes,1.0,0.8333333333333334,0.9090909090909091,12.0
Bechara El Khoury,0.7368421052631579,0.875,0.8,16.0
Tawfiq,0.6666666666666666,1.0,0.8,2.0
Youssef Ibrahim Yazbek,1.0,0.9090909090909091,0.9523809523809523,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,1.0,1.0,20.0
Habib,1.0,1.0,1.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.75,0.8571428571428571,8.0
Elie Maroun Khalil,1.0,0.9090909090909091,0.9523809523809523,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,0.875,1.0,0.9333333333333333,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,1.0,0.6666666666666666,0.8,3.0
JerJi Ass'ad Nader,0.3333333333333333,0.5,0.4,2.0
Habib Abdallah al-Khoury,0.0,0.0,0.0,3.0
Serhal Maroun 'Tiyyeh,1.0,0.3333333333333333,0.5,3.0
Hanna Estphan,1.0,1.0,1.0,5.0
Slayman al-Farkh,1.0,1.0,1.0,2.0
Habib Boulos Nasr,1.0,0.3333333333333333,0.5,3.0
Botros Feghaly,0.8888888888888888,0.8,0.8421052631578947,10.0
Toufiq Wehbeh,0.8888888888888888,1.0,0.9411764705882353,24.0
Maronite Bishop of Sidon,0.7142857142857143,1.0,0.8333333333333334,5.0
Halim Khoury Saadeh,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Jebrayel Sa'd al 'Alam,1.0,0.6666666666666666,0.8,3.0
Najib Ayoub,1.0,0.6666666666666666,0.8,6.0
Youhanna Sfeir,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Bishop Mkhayel Akhrass,0.7368421052631579,1.0,0.8484848484848485,14.0
George Saad,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
Bishop Youseef El Khazen,0.4,0.6666666666666666,0.5,3.0
Father Elias Najm,1.0,0.875,0.9333333333333333,8.0
Bishop Aghnathios Mbarak,0.7692307692307693,0.8,0.7843137254901961,25.0
Dr. Abdo Harb,1.0,0.3333333333333333,0.5,3.0
Fathallah Khoury,0.7333333333333333,1.0,0.8461538461538461,11.0
Antonios Elias,1.0,0.3333333333333333,0.5,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.5,0.3333333333333333,0.4,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,1.0,1.0,1.0,2.0
Father Yaacoub Awad,1.0,0.3333333333333333,0.5,3.0
Wadih Salim Karam,0.5,1.0,0.6666666666666666,3.0
Father Youhanna El Khoury,0.8,0.8,0.8,5.0
Georges Jarjoura,1.0,1.0,1.0,2.0
Father Jerjes El Alam,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Father Botros Dib,0.75,1.0,0.8571428571428571,3.0
Elias Sarkis,0.9423076923076923,1.0,0.9702970297029703,49.0
Fouad Chehab,1.0,1.0,1.0,40.0
Hanna Moussa,0.9923664122137404,0.9848484848484849,0.9885931558935361,132.0
Zaghloul ad-Damour,0.75,1.0,0.8571428571428571,3.0
Habib Massoud,0.9375,1.0,0.967741935483871,15.0
Zaghloul,1.0,1.0,1.0,76.0
Father Youhanna Habib Baysari,1.0,0.9333333333333333,0.9655172413793104,30.0
Mkhayel Daher,0.8888888888888888,0.7272727272727273,0.8,11.0
Father Youssef Hanna,1.0,1.0,1.0,7.0
Father Youssef Iskandar,1.0,0.6666666666666666,0.8,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,1.0,0.7,0.8235294117647058,10.0
Father Botros Hasan,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
Youssef Ibrahim,1.0,1.0,1.0,5.0
Father Youssef Hajj,0.7777777777777778,0.7,0.7368421052631579,10.0
Abdallah Daher,1.0,1.0,1.0,2.0
Mkhayel & Ibrahim Daher,1.0,0.6,0.75,5.0
Tannous Semaan,0.4,1.0,0.5714285714285714,2.0
Father Mkhayel Zreiby,1.0,0.8,0.8888888888888888,30.0
People of Rablah,0.0,0.0,0.0,2.0
Father Boutros Chidiac,1.0,0.5,0.6666666666666666,2.0
Bishop Antoun Jbeir,1.0,1.0,1.0,3.0
Father Yousef,0.0,0.0,0.0,2.0
Maronite children of Akkar district,0.6666666666666666,1.0,0.8,2.0
Elias Asaf,0.8888888888888888,1.0,0.9411764705882353,8.0
