,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,0.9,0.9473684210526315,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,5.0
Father Youssef Nassar,0.5,1.0,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.5,0.5,0.5,2.0
Nassar Tanios Al Samarani,0.6666666666666666,1.0,0.8,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,1.0,1.0,2.0
Elias Abdallah,0.5,0.3333333333333333,0.4,3.0
Your son George,1.0,1.0,1.0,21.0
Amin Farhat,0.625,0.5,0.5555555555555556,10.0
Patriarch Elias Hoayek,0.36363636363636365,0.4,0.38095238095238093,10.0
Bishop Boulos Akl,1.0,0.42857142857142855,0.6,7.0
Ameen Rihani,0.9917355371900827,0.8391608391608392,0.9090909090909091,143.0
Shibli N. Damus,0.9166666666666666,0.825,0.868421052631579,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.8421052631578947,0.9142857142857143,19.0
Girgi Dimitri Sursock,0.4375,0.9333333333333333,0.5957446808510638,15.0
Felix Faris,0.8433734939759037,0.9722222222222222,0.9032258064516129,72.0
Muhammad Hussain Najafi,1.0,0.8,0.8888888888888888,5.0
May Ziadeh,0.8846153846153846,0.7419354838709677,0.8070175438596491,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,0.5,0.6666666666666666,2.0
Elia Abu Madi,0.8,0.8,0.8,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9722222222222222,0.8536585365853658,0.9090909090909091,41.0
Mohammed Amin al-Husseini ,1.0,0.625,0.7692307692307693,8.0
Prof. Ign. Kratchkovsky,0.75,0.6428571428571429,0.6923076923076923,14.0
Jirjis alKsus,0.75,0.75,0.75,4.0
Ibrahim Mejahid Al-Jaza'eri,0.8333333333333334,1.0,0.9090909090909091,10.0
Daoud Mujaes,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Bechara El Khoury,0.8125,0.8125,0.8125,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.9090909090909091,0.9523809523809523,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.85,0.918918918918919,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,1.0,1.0,8.0
Elie Maroun Khalil,1.0,0.9090909090909091,0.9523809523809523,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
JerJi Ass'ad Nader,1.0,0.5,0.6666666666666666,2.0
Habib Abdallah al-Khoury,1.0,0.3333333333333333,0.5,3.0
Serhal Maroun 'Tiyyeh,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Hanna Estphan,0.625,1.0,0.7692307692307693,5.0
Slayman al-Farkh,1.0,1.0,1.0,2.0
Habib Boulos Nasr,0.75,1.0,0.8571428571428571,3.0
Botros Feghaly,1.0,0.6,0.75,10.0
Toufiq Wehbeh,0.92,0.9583333333333334,0.9387755102040817,24.0
Maronite Bishop of Sidon,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
Halim Khoury Saadeh,0.875,1.0,0.9333333333333333,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Youhanna Sfeir,0.6,0.5,0.5454545454545454,6.0
Bishop Mkhayel Akhrass,0.7,1.0,0.8235294117647058,14.0
George Saad,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
Bishop Youseef El Khazen,0.5,0.6666666666666666,0.5714285714285714,3.0
Father Elias Najm,1.0,1.0,1.0,8.0
Bishop Aghnathios Mbarak,0.7777777777777778,0.84,0.8076923076923077,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Antonios Elias,0.25,0.3333333333333333,0.2857142857142857,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,0.75,1.0,0.8571428571428571,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.6666666666666666,1.0,0.8,2.0
Father Yaacoub Awad,1.0,0.6666666666666666,0.8,3.0
Wadih Salim Karam,0.75,1.0,0.8571428571428571,3.0
Father Youhanna El Khoury,1.0,0.6,0.75,5.0
Georges Jarjoura,1.0,0.5,0.6666666666666666,2.0
Father Jerjes El Alam,1.0,0.6666666666666666,0.8,3.0
Father Botros Dib,0.3333333333333333,1.0,0.5,3.0
Elias Sarkis,0.98,1.0,0.98989898989899,49.0
Fouad Chehab,1.0,1.0,1.0,40.0
Hanna Moussa,1.0,0.9621212121212122,0.9806949806949807,132.0
Zaghloul ad-Damour,1.0,1.0,1.0,3.0
Habib Massoud,1.0,0.8666666666666667,0.9285714285714286,15.0
Zaghloul,1.0,0.9736842105263158,0.9866666666666667,76.0
Father Youhanna Habib Baysari,0.9642857142857143,0.9,0.9310344827586207,30.0
Mkhayel Daher,1.0,0.7272727272727273,0.8421052631578947,11.0
Father Youssef Hanna,1.0,1.0,1.0,7.0
Father Youssef Iskandar,1.0,0.6666666666666666,0.8,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.46153846153846156,0.6,0.5217391304347826,10.0
Father Botros Hasan,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
Youssef Ibrahim,1.0,0.8,0.8888888888888888,5.0
Father Youssef Hajj,0.6,0.6,0.6,10.0
Abdallah Daher,1.0,0.5,0.6666666666666666,2.0
Mkhayel & Ibrahim Daher,1.0,0.6666666666666666,0.8,6.0
Tannous Semaan,1.0,0.5,0.6666666666666666,2.0
Father Mkhayel Zreiby,0.8888888888888888,0.8,0.8421052631578947,30.0
People of Rablah,1.0,0.5,0.6666666666666666,2.0
Father Boutros Chidiac,0.5,0.5,0.5,2.0
Bishop Antoun Jbeir,1.0,0.6666666666666666,0.8,3.0
Father Yousef,0.6666666666666666,1.0,0.8,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,1.0,1.0,1.0,8.0
Muhawwel Harouh,1.0,1.0,1.0,2.0
