,precision,recall,f1-score,support
Malvina Choieree,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Your nephew Maroun,0.6923076923076923,0.9,0.782608695652174,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.5,0.6666666666666666,6.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.7777777777777778,1.0,0.875,21.0
Amin Farhat,0.5,0.6,0.5454545454545454,10.0
Patriarch Elias Hoayek,0.5454545454545454,0.6,0.5714285714285714,10.0
Bishop Boulos Akl,1.0,0.5714285714285714,0.7272727272727273,7.0
Ameen Rihani,0.9838709677419355,0.8531468531468531,0.9138576779026217,143.0
Shibli N. Damus,1.0,0.825,0.9041095890410958,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.8421052631578947,0.9142857142857143,19.0
Girgi Dimitri Sursock,0.625,0.6666666666666666,0.6451612903225806,15.0
Felix Faris,0.782608695652174,1.0,0.8780487804878049,72.0
Muhammad Hussain Najafi,1.0,0.4,0.5714285714285714,5.0
May Ziadeh,0.7575757575757576,0.8064516129032258,0.78125,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.8,0.6666666666666666,0.7272727272727273,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9090909090909091,0.7317073170731707,0.8108108108108109,41.0
Mohammed Amin al-Husseini ,1.0,0.75,0.8571428571428571,8.0
Prof. Ign. Kratchkovsky,0.5833333333333334,0.5,0.5384615384615384,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.6923076923076923,0.9,0.782608695652174,10.0
Daoud Mujaes,0.75,0.75,0.75,12.0
Bechara El Khoury,0.8571428571428571,0.75,0.8,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,0.9,0.8181818181818182,0.8571428571428571,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,1.0,1.0,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.875,0.9333333333333333,8.0
Elie Maroun Khalil,1.0,0.9090909090909091,0.9523809523809523,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,1.0,0.8571428571428571,0.9230769230769231,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.8571428571428571,0.8,0.8275862068965517,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.5,0.3333333333333333,0.4,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,1.0,0.6666666666666666,0.8,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,1.0,0.8,0.8888888888888888,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,1.0,0.3333333333333333,0.5,3.0
Botros Feghaly,0.8,0.4,0.5333333333333333,10.0
Toufiq Wehbeh,0.7058823529411765,1.0,0.8275862068965517,24.0
Maronite Bishop of Sidon,0.5,0.5,0.5,6.0
Halim Khoury Saadeh,0.6363636363636364,1.0,0.7777777777777778,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.8571428571428571,1.0,0.9230769230769231,6.0
Youhanna Sfeir,0.75,0.6,0.6666666666666666,5.0
Bishop Mkhayel Akhrass,0.48148148148148145,0.9285714285714286,0.6341463414634146,14.0
George Saad,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
Bishop Youseef El Khazen,1.0,0.6666666666666666,0.8,3.0
Father Elias Najm,0.875,0.875,0.875,8.0
Bishop Aghnathios Mbarak,0.8695652173913043,0.8,0.8333333333333334,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.7777777777777778,0.6363636363636364,0.7,11.0
Antonios Elias,0.0,0.0,0.0,3.0
Francis Hcheme,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Antoine Richa,1.0,0.3333333333333333,0.5,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.0,0.0,0.0,2.0
Father Yaacoub Awad,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Wadih Salim Karam,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Father Youhanna El Khoury,0.8,0.8,0.8,5.0
Georges Jarjoura,1.0,0.5,0.6666666666666666,2.0
Father Jerjes El Alam,1.0,0.3333333333333333,0.5,3.0
Father Botros Dib,0.0,0.0,0.0,3.0
Elias Sarkis,0.8518518518518519,0.9387755102040817,0.8932038834951457,49.0
Fouad Chehab,1.0,0.95,0.9743589743589743,40.0
Hanna Moussa,0.9774436090225563,0.9848484848484849,0.9811320754716981,132.0
Zaghloul ad-Damour,0.0,0.0,0.0,3.0
Habib Massoud,0.7894736842105263,1.0,0.8823529411764706,15.0
Zaghloul,0.987012987012987,1.0,0.9934640522875817,76.0
Father Youhanna Habib Baysari,1.0,0.9666666666666667,0.9830508474576272,30.0
Mkhayel Daher,1.0,0.5454545454545454,0.7058823529411765,11.0
Father Youssef Hanna,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Father Youssef Iskandar,1.0,0.6666666666666666,0.8,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.7,0.7,0.7,10.0
Father Botros Hasan,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
Youssef Ibrahim,0.8,0.8,0.8,5.0
Father Youssef Hajj,0.7,0.7,0.7,10.0
Abdallah Daher,1.0,0.5,0.6666666666666666,2.0
Mkhayel & Ibrahim Daher,1.0,0.8,0.8888888888888888,5.0
Tannous Semaan,1.0,1.0,1.0,2.0
