,precision,recall,f1-score,support
Malvina Choieree,0.5,0.6666666666666666,0.5714285714285714,3.0
Your nephew Maroun,0.8333333333333334,1.0,0.9090909090909091,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.8333333333333334,0.9090909090909091,6.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.5,0.5,0.5,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,0.5,0.6666666666666666,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Amin Farhat,0.6666666666666666,0.8,0.7272727272727273,10.0
Patriarch Elias Hoayek,0.8888888888888888,0.8,0.8421052631578947,10.0
Bishop Boulos Akl,1.0,0.8571428571428571,0.9230769230769231,7.0
Ameen Rihani,1.0,0.8601398601398601,0.924812030075188,143.0
Shibli N. Damus,0.972972972972973,0.9,0.935064935064935,40.0
Naoum Mokarzel,1.0,0.8888888888888888,0.9411764705882353,9.0
Eissa alKhouri,1.0,0.8421052631578947,0.9142857142857143,19.0
Girgi Dimitri Sursock,0.5652173913043478,0.8666666666666667,0.6842105263157895,15.0
Felix Faris,0.8452380952380952,0.9861111111111112,0.9102564102564102,72.0
Muhammad Hussain Najafi,0.8,0.8,0.8,5.0
May Ziadeh,0.8148148148148148,0.7096774193548387,0.7586206896551724,31.0
Victor Shemil,0.6666666666666666,1.0,0.8,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9473684210526315,0.8780487804878049,0.9113924050632911,41.0
Mohammed Amin al-Husseini ,1.0,0.75,0.8571428571428571,8.0
Prof. Ign. Kratchkovsky,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
Jirjis alKsus,1.0,1.0,1.0,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.9,0.9473684210526315,10.0
Daoud Mujaes,1.0,0.8333333333333334,0.9090909090909091,12.0
Bechara El Khoury,0.8125,0.8125,0.8125,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.7272727272727273,0.8421052631578947,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,1.0,1.0,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.875,0.9333333333333333,8.0
Elie Maroun Khalil,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Habib Abi Rached,1.0,0.3333333333333333,0.5,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,1.0,1.0,1.0,2.0
Ghnatyos Mbarak,0.9230769230769231,0.8,0.8571428571428571,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,1.0,0.3333333333333333,0.5,3.0
Tanos Youssef Harfouche,0.75,1.0,0.8571428571428571,3.0
JerJi Ass'ad Nader,0.5,0.5,0.5,2.0
Habib Abdallah al-Khoury,1.0,0.3333333333333333,0.5,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,1.0,1.0,1.0,5.0
Slayman al-Farkh,1.0,0.5,0.6666666666666666,2.0
Habib Boulos Nasr,1.0,0.6666666666666666,0.8,3.0
Botros Feghaly,1.0,0.7,0.8235294117647058,10.0
Toufiq Wehbeh,0.7272727272727273,1.0,0.8421052631578947,24.0
Maronite Bishop of Sidon,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Halim Khoury Saadeh,1.0,0.8571428571428571,0.9230769230769231,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
