,precision,recall,f1-score,support
Malvina Choieree,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Your nephew Maroun,0.7142857142857143,1.0,0.8333333333333334,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.6666666666666666,0.8,6.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,0.5,0.6666666666666666,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.7,1.0,0.8235294117647058,21.0
Amin Farhat,0.5,0.3,0.375,10.0
Patriarch Elias Hoayek,0.6,0.6,0.6,10.0
Bishop Boulos Akl,1.0,0.42857142857142855,0.6,7.0
Ameen Rihani,0.9666666666666667,0.8111888111888111,0.8821292775665399,143.0
Shibli N. Damus,1.0,0.675,0.8059701492537313,40.0
Naoum Mokarzel,1.0,0.5555555555555556,0.7142857142857143,9.0
Eissa alKhouri,0.8,0.8421052631578947,0.8205128205128205,19.0
Girgi Dimitri Sursock,0.45454545454545453,0.6666666666666666,0.5405405405405406,15.0
Felix Faris,0.8089887640449438,1.0,0.8944099378881988,72.0
Muhammad Hussain Najafi,1.0,0.4,0.5714285714285714,5.0
May Ziadeh,0.8461538461538461,0.7096774193548387,0.7719298245614035,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8648648648648649,0.7804878048780488,0.8205128205128205,41.0
Mohammed Amin al-Husseini ,1.0,0.625,0.7692307692307693,8.0
Prof. Ign. Kratchkovsky,0.625,0.35714285714285715,0.45454545454545453,14.0
Jirjis alKsus,0.6666666666666666,0.5,0.5714285714285714,4.0
Ibrahim Mejahid Al-Jaza'eri,0.9,0.9,0.9,10.0
Daoud Mujaes,0.6923076923076923,0.75,0.72,12.0
Bechara El Khoury,0.9230769230769231,0.75,0.8275862068965517,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.8181818181818182,0.9,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.95,0.9743589743589743,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.875,0.9333333333333333,8.0
Elie Maroun Khalil,0.9166666666666666,1.0,0.9565217391304348,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,1.0,1.0,1.0,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.8571428571428571,0.8,0.8275862068965517,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
JerJi Ass'ad Nader,0.5,0.5,0.5,2.0
Habib Abdallah al-Khoury,1.0,0.3333333333333333,0.5,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.5555555555555556,1.0,0.7142857142857143,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,1.0,0.3333333333333333,0.5,3.0
Botros Feghaly,0.6666666666666666,0.4,0.5,10.0
Toufiq Wehbeh,0.6486486486486487,1.0,0.7868852459016393,24.0
Maronite Bishop of Sidon,0.3,0.5,0.375,6.0
Halim Khoury Saadeh,0.4117647058823529,1.0,0.5833333333333334,7.0
Jebrayel Sa'd al 'Alam,1.0,0.3333333333333333,0.5,3.0
Najib Ayoub,1.0,1.0,1.0,6.0
Youhanna Sfeir,0.0,0.0,0.0,5.0
Bishop Mkhayel Akhrass,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0
George Saad,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
Bishop Youseef El Khazen,1.0,0.6666666666666666,0.8,3.0
Father Elias Najm,1.0,0.625,0.7692307692307693,8.0
Bishop Aghnathios Mbarak,0.88,0.88,0.88,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.8,0.7272727272727273,0.7619047619047619,11.0
Antonios Elias,0.0,0.0,0.0,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,1.0,0.3333333333333333,0.5,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.3333333333333333,0.5,0.4,2.0
Father Yaacoub Awad,1.0,0.6666666666666666,0.8,3.0
Wadih Salim Karam,0.5,0.6666666666666666,0.5714285714285714,3.0
Father Youhanna El Khoury,1.0,0.8,0.8888888888888888,5.0
Georges Jarjoura,0.6666666666666666,1.0,0.8,2.0
Father Jerjes El Alam,1.0,0.6666666666666666,0.8,3.0
Father Botros Dib,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Elias Sarkis,0.9387755102040817,0.9387755102040817,0.9387755102040817,49.0
Fouad Chehab,1.0,0.95,0.9743589743589743,40.0
Hanna Moussa,0.9923664122137404,0.9848484848484849,0.9885931558935361,132.0
Zaghloul ad-Damour,1.0,0.6666666666666666,0.8,3.0
Habib Massoud,0.8235294117647058,0.9333333333333333,0.875,15.0
Zaghloul,0.9743589743589743,1.0,0.987012987012987,76.0
Father Youhanna Habib Baysari,1.0,0.9666666666666667,0.9830508474576272,30.0
Mkhayel Daher,0.7777777777777778,0.6363636363636364,0.7,11.0
Father Youssef Hanna,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Father Youssef Iskandar,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Adib Shiha,1.0,1.0,1.0,3.0
Father Youssef Hanna & Father Botros Hasan,0.6,0.6,0.6,10.0
Father Botros Hasan,0.8095238095238095,0.8947368421052632,0.85,19.0
Youssef Ibrahim,0.8,0.8,0.8,5.0
Father Youssef Hajj,0.6666666666666666,0.6,0.631578947368421,10.0
Abdallah Daher,1.0,0.5,0.6666666666666666,2.0
Mkhayel & Ibrahim Daher,1.0,1.0,1.0,5.0
Tannous Semaan,1.0,1.0,1.0,2.0
Father Mkhayel Zreiby,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
People of Rablah,1.0,0.5,0.6666666666666666,2.0
Father Boutros Chidiac,0.0,0.0,0.0,2.0
Bishop Antoun Jbeir,1.0,0.6666666666666666,0.8,3.0
Father Yousef,0.6666666666666666,1.0,0.8,2.0
Maronite children of Akkar district,1.0,1.0,1.0,2.0
Elias Asaf,0.875,0.875,0.875,8.0
Muhawwel Harouh,1.0,0.5,0.6666666666666666,2.0
Father Mikhael Hanna,0.75,0.5454545454545454,0.631578947368421,11.0
Warda El Khoury,0.6666666666666666,1.0,0.8,2.0
Jean Philipp Kmeid,0.975609756097561,1.0,0.9876543209876543,80.0
Jerji Nicola Khattar al-Chuayri,0.8,1.0,0.8888888888888888,4.0
Abd al-Hajj,1.0,1.0,1.0,4.0
Michel Saykali,0.944,0.9915966386554622,0.9672131147540983,119.0
Hanna Ghayth (Juan Gait),0.9565217391304348,0.9428571428571428,0.9496402877697842,140.0
Yousef Hobeiche,0.8333333333333334,0.8461538461538461,0.8396946564885496,65.0
Angele Ellis,0.6111111111111112,0.9166666666666666,0.7333333333333333,12.0
Yousef Hobeiche & Angele Ellis,0.0,0.0,0.0,2.0
Khalil Yossuf Nader Raad,0.7763157894736842,0.8676470588235294,0.8194444444444444,68.0
Mansour Eid,0.9761904761904762,1.0,0.9879518072289156,41.0
Nassif Mansour,0.0,0.0,0.0,2.0
Peter the Patriarch of Antioch,1.0,1.0,1.0,3.0
Youssef,0.4,0.6666666666666666,0.5,3.0
Mkhayel Meneem,0.9047619047619048,1.0,0.95,19.0
Constantine Elias,0.7647058823529411,1.0,0.8666666666666667,13.0
Maurice Gemayel,0.75,0.9,0.8181818181818182,10.0
Murshid Habashi,1.0,0.8666666666666667,0.9285714285714286,15.0
Father Elias Abi Khair,1.0,0.75,0.8571428571428571,4.0
Hassan Khalil,1.0,1.0,1.0,6.0
Michel Kahwaji,0.9117647058823529,1.0,0.9538461538461539,62.0
Mayor of Kfarshima,0.8208955223880597,0.859375,0.8396946564885496,64.0
Sohayl Tohmeh,0.9545454545454546,0.9921259842519685,0.972972972972973,127.0
Shukri Kanaan,0.48,0.6,0.5333333333333333,20.0
Emily Nasrallah,0.9574468085106383,0.989010989010989,0.972972972972973,91.0
Thomas & John Oussani,1.0,1.0,1.0,2.0
Brother of Joseph Oussani,1.0,1.0,1.0,4.0
Joseph Oussani,0.967741935483871,1.0,0.9836065573770492,60.0
Shukri Kordahi,1.0,0.4,0.5714285714285714,5.0
Negib Aboussouan,0.75,1.0,0.8571428571428571,3.0
Toubia Hanna Rizk & Touma Chidiac,1.0,1.0,1.0,2.0
Hanna Younes Abboud,1.0,1.0,1.0,3.0
Youssef Bey Al-Helou,0.0,0.0,0.0,2.0
Father Elias,0.0,0.0,0.0,1.0
Magistrate of Batroun,0.0,0.0,0.0,2.0
Jirjis Yuhanna Basil ,1.0,1.0,1.0,2.0
Estephan Adib Salloum,1.0,1.0,1.0,8.0
Father Boulos El-Mender,0.8,0.7692307692307693,0.7843137254901961,26.0
Joseph,0.8,0.8,0.8,5.0
Salah Tizani,0.9850746268656716,1.0,0.9924812030075187,132.0
Father Elias Bassil,0.38461538461538464,0.625,0.47619047619047616,8.0
Yahia Mansour & Asaad Koury,0.0,0.0,0.0,2.0
Father Tobia al-Issa,0.2,0.16666666666666666,0.18181818181818182,6.0
Assad Darouich Zacharias,0.30434782608695654,1.0,0.4666666666666667,14.0
Asaad Koury Tobia Attallah,1.0,0.42857142857142855,0.6,7.0
Krouger Tobia Attallah,0.9193548387096774,0.95,0.9344262295081968,60.0
Nadim Attallah,1.0,0.25,0.4,4.0
Toufic El Bacha,0.8181818181818182,1.0,0.9,18.0
Rahma Raad,0.0,0.0,0.0,2.0
Youssef Abdullah Maroun,1.0,0.75,0.8571428571428571,4.0
Youssef Moussa Sadaqa,1.0,1.0,1.0,2.0
Catherine Yazbek Al-Badawi,0.8888888888888888,0.8,0.8421052631578947,10.0
Nehme Elias Mikhail,1.0,0.5,0.6666666666666666,2.0
Assad Al-Khoury,1.0,0.3333333333333333,0.5,3.0
Tanios Zakhia Elias Basil,0.0,0.0,0.0,2.0
Bishara Mar'i Mansour,1.0,0.2857142857142857,0.4444444444444444,7.0
Francis Lahoud,0.5,0.6666666666666666,0.5714285714285714,3.0
K. John,1.0,0.5,0.6666666666666666,2.0
Brother Ibrahim,1.0,1.0,1.0,2.0
Youssef Fadlallah Salemeh,0.6304347826086957,0.9666666666666667,0.7631578947368421,30.0
Nehad,0.0,0.0,0.0,2.0
Lebanese immigrants,1.0,1.0,1.0,5.0
Dani Al-Sibaqa,1.0,1.0,1.0,3.0
Abdo Fares,1.0,1.0,1.0,2.0
Jamil Youssef Noah,1.0,0.5,0.6666666666666666,4.0
Elias Karbaj,1.0,1.0,1.0,5.0
Jarhas Hanna Al-Shabtini,1.0,1.0,1.0,2.0
Bishop Youssef Darian,0.95,0.76,0.8444444444444444,25.0
Youssef Hanna El-Sawda,0.8135593220338984,0.9411764705882353,0.8727272727272727,51.0
Sally Aad,1.0,0.6666666666666666,0.8,3.0
Daud Barkaat,1.0,0.6666666666666666,0.8,3.0
Talaat,1.0,1.0,1.0,4.0
Maurice Paul Sarrail,0.0,0.0,0.0,6.0
accuracy,0.868023868023868,0.868023868023868,0.868023868023868,0.868023868023868
macro avg,0.73955679704112,0.677939604831935,0.6862136103928392,2849.0
weighted avg,0.8702779161809076,0.868023868023868,0.8596412574222404,2849.0
