,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,1.0,1.0,1.0,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,1.0,1.0,6.0
Father Youssef Nassar,0.6666666666666666,1.0,0.8,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,1.0,0.5,0.6666666666666666,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,0.5,0.6666666666666666,2.0
Serhal Ounaissy,1.0,0.5,0.6666666666666666,2.0
Elias Abdallah,1.0,1.0,1.0,3.0
Your son George,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Amin Farhat,1.0,0.7,0.8235294117647058,10.0
Patriarch Elias Hoayek,0.7777777777777778,0.7,0.7368421052631579,10.0
Bishop Boulos Akl,0.875,1.0,0.9333333333333333,7.0
Ameen Rihani,1.0,0.9370629370629371,0.9675090252707581,143.0
Shibli N. Damus,1.0,0.875,0.9333333333333333,40.0
Naoum Mokarzel,0.9,1.0,0.9473684210526315,9.0
Eissa alKhouri,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
Girgi Dimitri Sursock,0.9230769230769231,0.8,0.8571428571428571,15.0
Felix Faris,0.9342105263157895,0.9861111111111112,0.9594594594594594,72.0
Muhammad Hussain Najafi,0.8,0.8,0.8,5.0
May Ziadeh,0.8484848484848485,0.9032258064516129,0.875,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9090909090909091,0.975609756097561,0.9411764705882353,41.0
Mohammed Amin al-Husseini ,0.875,0.875,0.875,8.0
Prof. Ign. Kratchkovsky,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
Jirjis alKsus,1.0,1.0,1.0,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.9,0.9473684210526315,10.0
Daoud Mujaes,0.9,0.75,0.8181818181818182,12.0
Bechara El Khoury,0.8235294117647058,0.875,0.8484848484848485,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,0.8181818181818182,0.9,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.9,0.9473684210526315,20.0
Habib,0.6666666666666666,1.0,0.8,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.75,0.8571428571428571,8.0
