,precision,recall,f1-score,support
Malvina Choieree,1.0,1.0,1.0,3.0
Your nephew Maroun,0.8,0.8,0.8,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.8333333333333334,0.9090909090909091,6.0
Father Youssef Nassar,1.0,1.0,1.0,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.25,0.5,0.3333333333333333,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.76,0.9047619047619048,0.8260869565217391,21.0
Amin Farhat,0.7142857142857143,0.5,0.5882352941176471,10.0
Patriarch Elias Hoayek,0.30434782608695654,0.7,0.42424242424242425,10.0
Bishop Boulos Akl,0.5555555555555556,0.7142857142857143,0.625,7.0
Ameen Rihani,0.937007874015748,0.8321678321678322,0.8814814814814815,143.0
Shibli N. Damus,0.9117647058823529,0.775,0.8378378378378378,40.0
Naoum Mokarzel,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Eissa alKhouri,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
Girgi Dimitri Sursock,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Felix Faris,0.7727272727272727,0.9444444444444444,0.85,72.0
Muhammad Hussain Najafi,0.25,0.2,0.2222222222222222,5.0
May Ziadeh,0.6285714285714286,0.7096774193548387,0.6666666666666666,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,0.5,0.6666666666666666,2.0
Elia Abu Madi,1.0,0.6666666666666666,0.8,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8055555555555556,0.7073170731707317,0.7532467532467533,41.0
Mohammed Amin al-Husseini ,0.5,0.375,0.42857142857142855,8.0
Prof. Ign. Kratchkovsky,0.5,0.5,0.5,14.0
Jirjis alKsus,0.2,0.25,0.2222222222222222,4.0
Ibrahim Mejahid Al-Jaza'eri,0.9090909090909091,1.0,0.9523809523809523,10.0
Daoud Mujaes,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
Bechara El Khoury,0.9090909090909091,0.625,0.7407407407407407,16.0
Tawfiq,1.0,0.5,0.6666666666666666,2.0
Youssef Ibrahim Yazbek,0.5,0.6363636363636364,0.56,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,0.95,0.9743589743589743,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,0.5,0.6666666666666666,8.0
Elie Maroun Khalil,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Habib Abi Rached,1.0,0.6666666666666666,0.8,3.0
Aziz Khoury,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.5625,0.6,0.5806451612903226,15.0
Abdallah Sfeir,1.0,0.3333333333333333,0.5,3.0
Youssef Nakad,1.0,0.3333333333333333,0.5,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,1.0,0.3333333333333333,0.5,3.0
Serhal Maroun 'Tiyyeh,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Hanna Estphan,0.625,1.0,0.7692307692307693,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,0.5,0.3333333333333333,0.4,3.0
Botros Feghaly,0.6,0.6,0.6,10.0
Toufiq Wehbeh,0.875,0.875,0.875,24.0
Maronite Bishop of Sidon,1.0,0.8,0.8888888888888888,5.0
Halim Khoury Saadeh,0.875,1.0,0.9333333333333333,7.0
Jebrayel Sa'd al 'Alam,0.5,0.3333333333333333,0.4,3.0
Najib Ayoub,0.8,0.6666666666666666,0.7272727272727273,6.0
Youhanna Sfeir,0.3333333333333333,0.6666666666666666,0.4444444444444444,6.0
Bishop Mkhayel Akhrass,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
George Saad,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
Bishop Youseef El Khazen,0.0,0.0,0.0,3.0
Father Elias Najm,0.7777777777777778,0.875,0.8235294117647058,8.0
Bishop Aghnathios Mbarak,0.6666666666666666,0.8,0.7272727272727273,25.0
Dr. Abdo Harb,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Fathallah Khoury,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
Antonios Elias,0.0,0.0,0.0,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,1.0,0.3333333333333333,0.5,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,0.5,0.5,0.5,2.0
Father Yaacoub Awad,1.0,0.3333333333333333,0.5,3.0
Wadih Salim Karam,0.6,1.0,0.75,3.0
Father Youhanna El Khoury,0.8333333333333334,1.0,0.9090909090909091,5.0
Georges Jarjoura,0.0,0.0,0.0,2.0
