,precision,recall,f1-score,support
Malvina Choieree,1.0,0.3333333333333333,0.5,3.0
Your nephew Maroun,0.7,0.7,0.7,10.0
Sister Victor N. Khoury,0.8181818181818182,1.0,0.9,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.6,0.75,5.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.7,1.0,0.8235294117647058,21.0
Amin Farhat,0.3333333333333333,0.4,0.36363636363636365,10.0
Patriarch Elias Hoayek,0.2222222222222222,0.2,0.21052631578947367,10.0
Bishop Boulos Akl,0.5,0.2857142857142857,0.36363636363636365,7.0
Ameen Rihani,0.9333333333333333,0.7832167832167832,0.8517110266159695,143.0
Shibli N. Damus,0.9,0.675,0.7714285714285715,40.0
Naoum Mokarzel,1.0,0.4444444444444444,0.6153846153846154,9.0
Eissa alKhouri,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
Girgi Dimitri Sursock,0.38461538461538464,0.6666666666666666,0.4878048780487805,15.0
Felix Faris,0.7875,0.875,0.8289473684210527,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.6206896551724138,0.5806451612903226,0.6,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.0,0.0,0.0,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7428571428571429,0.6341463414634146,0.6842105263157895,41.0
Mohammed Amin al-Husseini ,0.3333333333333333,0.125,0.18181818181818182,8.0
Prof. Ign. Kratchkovsky,0.6363636363636364,0.5,0.56,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.625,0.5,0.5555555555555556,10.0
