,precision,recall,f1-score,support
Malvina Choieree,0.0,0.0,0.0,3.0
Your nephew Maroun,0.7142857142857143,0.5,0.5882352941176471,10.0
Sister Victor N. Khoury,0.75,1.0,0.8571428571428571,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.5,0.4,0.4444444444444444,5.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.5,1.0,0.6666666666666666,21.0
Amin Farhat,0.2,0.2,0.2,10.0
Patriarch Elias Hoayek,0.2,0.1,0.13333333333333333,10.0
Bishop Boulos Akl,1.0,0.14285714285714285,0.25,7.0
Ameen Rihani,0.9464285714285714,0.7412587412587412,0.8313725490196079,143.0
Shibli N. Damus,0.9230769230769231,0.6,0.7272727272727273,40.0
Naoum Mokarzel,1.0,0.4444444444444444,0.6153846153846154,9.0
Eissa alKhouri,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
Girgi Dimitri Sursock,0.5,0.4666666666666667,0.4827586206896552,15.0
Felix Faris,0.7341772151898734,0.8055555555555556,0.7682119205298014,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.53125,0.5483870967741935,0.5396825396825397,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.0,0.0,0.0,5.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.64,0.3902439024390244,0.48484848484848486,41.0
Mohammed Amin al-Husseini ,0.5,0.125,0.2,8.0
Prof. Ign. Kratchkovsky,0.3333333333333333,0.14285714285714285,0.2,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.875,0.7,0.7777777777777778,10.0
Daoud Mujaes,0.8181818181818182,0.75,0.782608695652174,12.0
Bechara El Khoury,0.5555555555555556,0.625,0.5882352941176471,16.0
Tawfiq,1.0,0.5,0.6666666666666666,2.0
Youssef Ibrahim Yazbek,0.2608695652173913,0.5454545454545454,0.35294117647058826,11.0
Margaret El Haddad,0.8571428571428571,1.0,0.9230769230769231,6.0
Elias Abu Shabaki,0.95,0.95,0.95,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,0.5,0.6666666666666666,2.0
Abd al-Khaliq Farid,0.8,0.5,0.6153846153846154,8.0
Elie Maroun Khalil,0.6923076923076923,0.8181818181818182,0.75,11.0
Habib Abi Rached,0.5,0.3333333333333333,0.4,3.0
Aziz Khoury,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Abdallah Sfeir,1.0,0.3333333333333333,0.5,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,0.0,0.0,0.0,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.5,0.4,0.4444444444444444,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,1.0,0.6666666666666666,0.8,3.0
Botros Feghaly,0.0,0.0,0.0,10.0
Toufiq Wehbeh,0.75,0.75,0.75,24.0
Maronite Bishop of Sidon,0.5,0.5,0.5,6.0
Halim Khoury Saadeh,0.8,0.5714285714285714,0.6666666666666666,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
Youhanna Sfeir,0.125,0.16666666666666666,0.14285714285714285,6.0
Bishop Mkhayel Akhrass,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
George Saad,0.8888888888888888,0.47058823529411764,0.6153846153846154,17.0
Bishop Youseef El Khazen,0.0,0.0,0.0,3.0
Father Elias Najm,0.6666666666666666,0.75,0.7058823529411765,8.0
Bishop Aghnathios Mbarak,0.4864864864864865,0.72,0.5806451612903226,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.47058823529411764,0.7272727272727273,0.5714285714285714,11.0
Antonios Elias,1.0,0.3333333333333333,0.5,3.0
Francis Hcheme,0.0,0.0,0.0,3.0
Antoine Richa,0.0,0.0,0.0,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,1.0,1.0,1.0,2.0
Father Yaacoub Awad,0.0,0.0,0.0,3.0
Wadih Salim Karam,0.0,0.0,0.0,3.0
Father Youhanna El Khoury,0.6666666666666666,0.8,0.7272727272727273,5.0
Georges Jarjoura,0.0,0.0,0.0,2.0
Father Jerjes El Alam,0.0,0.0,0.0,3.0
Father Botros Dib,0.0,0.0,0.0,3.0
Elias Sarkis,0.8235294117647058,0.8571428571428571,0.84,49.0
Fouad Chehab,0.975,0.975,0.975,40.0
Hanna Moussa,0.851063829787234,0.9090909090909091,0.8791208791208791,132.0
Zaghloul ad-Damour,0.0,0.0,0.0,3.0
