,precision,recall,f1-score,support
Malvina Choieree,1.0,0.6666666666666666,0.8,3.0
Your nephew Maroun,0.75,0.6,0.6666666666666666,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.8571428571428571,1.0,0.9230769230769231,6.0
Father Youssef Nassar,1.0,0.5,0.6666666666666666,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,1.0,0.3333333333333333,0.5,3.0
Your son George,0.5357142857142857,0.7142857142857143,0.6122448979591837,21.0
Amin Farhat,0.6666666666666666,0.6,0.631578947368421,10.0
Patriarch Elias Hoayek,0.2,0.2,0.2,10.0
Bishop Boulos Akl,0.4444444444444444,0.5714285714285714,0.5,7.0
Ameen Rihani,0.9285714285714286,0.7272727272727273,0.8156862745098039,143.0
Shibli N. Damus,0.8571428571428571,0.75,0.8,40.0
Naoum Mokarzel,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
Eissa alKhouri,1.0,0.631578947368421,0.7741935483870968,19.0
Girgi Dimitri Sursock,0.2857142857142857,0.4,0.3333333333333333,15.0
Felix Faris,0.7792207792207793,0.8333333333333334,0.8053691275167785,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.48717948717948717,0.6129032258064516,0.5428571428571428,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,0.0,0.0,0.0,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5957446808510638,0.6829268292682927,0.6363636363636364,41.0
Mohammed Amin al-Husseini ,0.25,0.125,0.16666666666666666,8.0
Prof. Ign. Kratchkovsky,0.3157894736842105,0.42857142857142855,0.36363636363636365,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,0.8571428571428571,0.6,0.7058823529411765,10.0
Daoud Mujaes,0.6153846153846154,0.6666666666666666,0.64,12.0
Bechara El Khoury,0.6470588235294118,0.6875,0.6666666666666666,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.3888888888888889,0.6363636363636364,0.4827586206896552,11.0
Margaret El Haddad,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Elias Abu Shabaki,0.8636363636363636,0.95,0.9047619047619048,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,0.0,0.0,0.0,2.0
Abd al-Khaliq Farid,0.5,0.5,0.5,8.0
Elie Maroun Khalil,0.6428571428571429,0.8181818181818182,0.72,11.0
Habib Abi Rached,1.0,0.3333333333333333,0.5,3.0
Aziz Khoury,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Mary Khoury,1.0,0.5,0.6666666666666666,2.0
Ghnatyos Mbarak,0.35714285714285715,0.3333333333333333,0.3448275862068966,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
