,precision,recall,f1-score,support
Malvina Choieree,0.0,0.0,0.0,3.0
Your nephew Maroun,0.7777777777777778,0.7,0.7368421052631579,10.0
Sister Victor N. Khoury,0.9,1.0,0.9473684210526315,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),0.75,0.5,0.6,6.0
Father Youssef Nassar,0.0,0.0,0.0,2.0
Shibli Barakat witnesses,0.0,0.0,0.0,1.0
Mousssa Farhat Farah,0.0,0.0,0.0,2.0
Nassar Tanios Al Samarani,0.0,0.0,0.0,2.0
Keserwan Finance Officer,0.0,0.0,0.0,2.0
Serhal Ounaissy,0.0,0.0,0.0,2.0
Elias Abdallah,0.0,0.0,0.0,3.0
Your son George,0.48484848484848486,0.7619047619047619,0.5925925925925926,21.0
Amin Farhat,0.6,0.3,0.4,10.0
Patriarch Elias Hoayek,0.0,0.0,0.0,10.0
Bishop Boulos Akl,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
Ameen Rihani,0.9357798165137615,0.7132867132867133,0.8095238095238095,143.0
Shibli N. Damus,0.8571428571428571,0.6,0.7058823529411765,40.0
Naoum Mokarzel,0.8,0.4444444444444444,0.5714285714285714,9.0
Eissa alKhouri,0.8333333333333334,0.7894736842105263,0.8108108108108109,19.0
Girgi Dimitri Sursock,0.35,0.4666666666666667,0.4,15.0
Felix Faris,0.6530612244897959,0.8888888888888888,0.7529411764705882,72.0
Muhammad Hussain Najafi,0.0,0.0,0.0,5.0
May Ziadeh,0.3695652173913043,0.5483870967741935,0.44155844155844154,31.0
Victor Shemil,0.0,0.0,0.0,2.0
Ahmed Shakir alKarmi,0.0,0.0,0.0,2.0
Elia Abu Madi,1.0,0.16666666666666666,0.2857142857142857,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4117647058823529,0.34146341463414637,0.37333333333333335,41.0
Mohammed Amin al-Husseini ,0.6666666666666666,0.25,0.36363636363636365,8.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,14.0
Jirjis alKsus,0.0,0.0,0.0,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.5,0.6666666666666666,10.0
Daoud Mujaes,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Bechara El Khoury,0.8333333333333334,0.625,0.7142857142857143,16.0
Tawfiq,0.0,0.0,0.0,2.0
Youssef Ibrahim Yazbek,0.5,0.7272727272727273,0.5925925925925926,11.0
Margaret El Haddad,0.8571428571428571,1.0,0.9230769230769231,6.0
Elias Abu Shabaki,0.8888888888888888,0.8,0.8421052631578947,20.0
Habib,0.0,0.0,0.0,2.0
Adham Al Jundi,1.0,0.5,0.6666666666666666,2.0
Abd al-Khaliq Farid,1.0,0.375,0.5454545454545454,8.0
Elie Maroun Khalil,0.42857142857142855,0.5454545454545454,0.48,11.0
Habib Abi Rached,1.0,0.3333333333333333,0.5,3.0
Aziz Khoury,0.6666666666666666,0.8571428571428571,0.75,7.0
Mary Khoury,0.0,0.0,0.0,2.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Abdallah Sfeir,0.0,0.0,0.0,3.0
Youssef Nakad,0.0,0.0,0.0,3.0
Tanos Youssef Harfouche,0.0,0.0,0.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,0.0,0.0,0.0,3.0
Serhal Maroun 'Tiyyeh,0.0,0.0,0.0,3.0
Hanna Estphan,0.6666666666666666,0.4,0.5,5.0
Slayman al-Farkh,0.0,0.0,0.0,2.0
Habib Boulos Nasr,0.0,0.0,0.0,3.0
Botros Feghaly,0.5,0.2,0.2857142857142857,10.0
Toufiq Wehbeh,0.7407407407407407,0.8333333333333334,0.7843137254901961,24.0
Maronite Bishop of Sidon,0.25,0.16666666666666666,0.2,6.0
Halim Khoury Saadeh,0.6666666666666666,0.8571428571428571,0.75,7.0
Jebrayel Sa'd al 'Alam,0.0,0.0,0.0,3.0
Najib Ayoub,0.14285714285714285,0.16666666666666666,0.15384615384615385,6.0
Youhanna Sfeir,0.2857142857142857,0.4,0.3333333333333333,5.0
Bishop Mkhayel Akhrass,0.6363636363636364,0.5,0.56,14.0
George Saad,0.75,0.35294117647058826,0.48,17.0
Bishop Youseef El Khazen,1.0,0.3333333333333333,0.5,3.0
Father Elias Najm,0.375,0.375,0.375,8.0
Bishop Aghnathios Mbarak,0.5384615384615384,0.84,0.65625,25.0
Dr. Abdo Harb,0.0,0.0,0.0,3.0
Fathallah Khoury,0.5555555555555556,0.9090909090909091,0.6896551724137931,11.0
Antonios Elias,0.0,0.0,0.0,3.0
Francis Hcheme,0.0,0.0,0.0,3.0
Antoine Richa,0.0,0.0,0.0,3.0
