,precision,recall,f1-score,support
Your nephew Maroun,0.45454545454545453,0.2631578947368421,0.3333333333333333,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.9333333333333333,0.9032258064516129,0.9180327868852459,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
Bishop Boulos Akl,1.0,0.07692307692307693,0.14285714285714285,13.0
Ameen Rihani,0.9285714285714286,1.0,0.9629629629629629,26.0
Shibli N. Damus,0.6363636363636364,0.9333333333333333,0.7567567567567568,15.0
Naoum Mokarzel,0.9166666666666666,0.55,0.6875,20.0
Eissa alKhouri,0.9473684210526315,1.0,0.972972972972973,18.0
Girgi Dimitri Sursock,0.40540540540540543,1.0,0.5769230769230769,15.0
Felix Faris,0.7278481012658228,0.7419354838709677,0.7348242811501597,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5121951219512195,0.23333333333333334,0.32061068702290074,90.0
Mohammed Amin al-Husseini ,1.0,0.2631578947368421,0.4166666666666667,19.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.9130434782608695,0.84,0.875,25.0
Daoud Mujaes,0.5416666666666666,0.7222222222222222,0.6190476190476191,18.0
Bechara El Khoury,0.625,0.9375,0.75,16.0
Youssef Ibrahim Yazbek,1.0,0.6785714285714286,0.8085106382978723,28.0
Elias Abu Shabaki,1.0,1.0,1.0,13.0
Elie Maroun Khalil,0.8947368421052632,1.0,0.9444444444444444,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,0.7647058823529411,0.6190476190476191,0.6842105263157895,21.0
Toufiq Wehbeh,0.8461538461538461,1.0,0.9166666666666666,22.0
Bishop Mkhayel Akhrass,0.5882352941176471,0.9090909090909091,0.7142857142857143,22.0
George Saad,0.6862745098039216,0.7291666666666666,0.7070707070707071,48.0
Bishop Aghnathios Mbarak,0.42,0.3684210526315789,0.3925233644859813,57.0
Fathallah Khoury,0.8888888888888888,0.8,0.8421052631578947,20.0
Elias Sarkis,1.0,0.9090909090909091,0.9523809523809523,22.0
Fouad Chehab,1.0,0.9894736842105263,0.9947089947089947,95.0
Hanna Moussa,0.9933110367892977,0.9834437086092715,0.9883527454242929,302.0
Habib Massoud,0.6666666666666666,1.0,0.8,20.0
Zaghloul,0.9444444444444444,1.0,0.9714285714285714,17.0
Father Youhanna Habib Baysari,1.0,0.6724137931034483,0.8041237113402062,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.5,0.6521739130434783,0.5660377358490566,23.0
Father Botros Hasan,0.3275862068965517,0.7916666666666666,0.4634146341463415,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.17391304347826086,0.3076923076923077,0.2222222222222222,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.8,1.0,0.8888888888888888,24.0
Hanna Ghayth (Juan Gait),0.8846153846153846,0.9583333333333334,0.92,24.0
Yousef Hobeiche,0.9552238805970149,0.920863309352518,0.9377289377289377,139.0
Angele Ellis,0.42857142857142855,0.1111111111111111,0.17647058823529413,27.0
Khalil Yossuf Nader Raad,0.5294117647058824,1.0,0.6923076923076923,18.0
Mansour Eid,0.5609756097560976,1.0,0.71875,23.0
Mkhayel Meneem,0.88,0.88,0.88,25.0
Constantine Elias,0.3448275862068966,1.0,0.5128205128205128,20.0
Maurice Gemayel,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0
Murshid Habashi,0.6129032258064516,0.8636363636363636,0.7169811320754716,22.0
Michel Kahwaji,0.35135135135135137,1.0,0.52,13.0
Mayor of Kfarshima,0.18181818181818182,0.125,0.14814814814814814,32.0
Sohayl Tohmeh,0.7857142857142857,1.0,0.88,33.0
Shukri Kanaan,0.425531914893617,0.6060606060606061,0.5,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.6216216216216216,1.0,0.7666666666666667,23.0
Father Boulos El-Mender,0.9318181818181818,0.5540540540540541,0.6949152542372882,74.0
Salah Tizani,1.0,1.0,1.0,20.0
Father Elias Bassil,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
Father Tobia al-Issa,0.5,0.08333333333333333,0.14285714285714285,12.0
Assad Darouich Zacharias,0.48484848484848486,0.9411764705882353,0.64,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.5283018867924528,1.0,0.691358024691358,28.0
Toufic El Bacha,0.68,1.0,0.8095238095238095,17.0
Catherine Yazbek Al-Badawi,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
Youssef Fadlallah Salemeh,0.7794117647058824,0.726027397260274,0.75177304964539,73.0
Bishop Youssef Darian,0.8095238095238095,1.0,0.8947368421052632,17.0
Youssef Hanna El-Sawda,0.9702970297029703,0.8235294117647058,0.8909090909090909,119.0
accuracy,0.7140542729850142,0.7140542729850142,0.7140542729850142,0.7140542729850142
macro avg,0.6261849347228464,0.6685197059249488,0.6135479000948655,2469.0
weighted avg,0.7184795739568378,0.7140542729850142,0.6953028504049876,2469.0
