,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.2619047619047619,1.0,0.41509433962264153,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.8275862068965517,1.0,0.9056603773584906,24.0
Shibli N. Damus,0.9876543209876543,0.7766990291262136,0.8695652173913043,103.0
Naoum Mokarzel,0.9,0.5,0.6428571428571429,18.0
Eissa alKhouri,0.9142857142857143,0.7441860465116279,0.8205128205128205,43.0
Girgi Dimitri Sursock,0.2608695652173913,0.8571428571428571,0.4,7.0
Felix Faris,0.8630952380952381,0.9602649006622517,0.9090909090909091,151.0
May Ziadeh,0.4782608695652174,1.0,0.6470588235294118,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.775,0.7948717948717948,0.7848101265822784,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.09090909090909091,0.15384615384615385,0.11428571428571428,13.0
Ibrahim Mejahid Al-Jaza'eri,0.9565217391304348,0.88,0.9166666666666666,25.0
Daoud Mujaes,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
Bechara El Khoury,0.75,0.75,0.75,8.0
Youssef Ibrahim Yazbek,1.0,0.6,0.75,20.0
Elias Abu Shabaki,1.0,0.9387755102040817,0.968421052631579,49.0
Elie Maroun Khalil,1.0,0.9545454545454546,0.9767441860465116,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,1.0,0.09523809523809523,0.17391304347826086,21.0
Botros Feghaly,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
Toufiq Wehbeh,0.8,0.9523809523809523,0.8695652173913043,21.0
Bishop Mkhayel Akhrass,1.0,1.0,1.0,17.0
George Saad,1.0,0.8947368421052632,0.9444444444444444,38.0
Bishop Aghnathios Mbarak,0.8333333333333334,1.0,0.9090909090909091,15.0
Fathallah Khoury,0.0,0.0,0.0,14.0
Elias Sarkis,0.8333333333333334,1.0,0.9090909090909091,20.0
Fouad Chehab,0.9166666666666666,1.0,0.9565217391304348,11.0
Hanna Moussa,0.9615384615384616,1.0,0.9803921568627451,25.0
Habib Massoud,0.5652173913043478,1.0,0.7222222222222222,26.0
Zaghloul,0.9615384615384616,1.0,0.9803921568627451,25.0
Father Youhanna Habib Baysari,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.38,1.0,0.5507246376811594,19.0
Father Youssef Hajj,0.4,0.19047619047619047,0.25806451612903225,21.0
Father Mkhayel Zreiby,0.7254901960784313,0.9487179487179487,0.8222222222222222,39.0
Father Mikhael Hanna,0.7727272727272727,0.5151515151515151,0.6181818181818182,33.0
Jean Philipp Kmeid,0.9642857142857143,1.0,0.9818181818181818,27.0
Michel Saykali,0.7777777777777778,1.0,0.875,14.0
Hanna Ghayth (Juan Gait),0.40625,1.0,0.5777777777777777,13.0
Yousef Hobeiche,0.5151515151515151,1.0,0.68,17.0
Angele Ellis,0.8695652173913043,0.7407407407407407,0.8,27.0
Khalil Yossuf Nader Raad,0.6666666666666666,1.0,0.8,22.0
Mansour Eid,0.9782608695652174,0.4838709677419355,0.6474820143884892,93.0
Mkhayel Meneem,1.0,0.92,0.9583333333333334,25.0
Constantine Elias,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
Maurice Gemayel,0.6428571428571429,0.8181818181818182,0.72,11.0
Murshid Habashi,0.8928571428571429,0.9615384615384616,0.9259259259259259,26.0
Michel Kahwaji,0.8541666666666666,0.8723404255319149,0.8631578947368421,141.0
Mayor of Kfarshima,0.4090909090909091,0.5454545454545454,0.4675324675324675,33.0
Sohayl Tohmeh,0.8,0.7777777777777778,0.7887323943661971,36.0
Shukri Kanaan,0.53125,0.5151515151515151,0.5230769230769231,33.0
Emily Nasrallah,0.9166666666666666,1.0,0.9565217391304348,11.0
Joseph Oussani,0.9493670886075949,0.9803921568627451,0.9646302250803859,153.0
Father Boulos El-Mender,0.07692307692307693,0.1,0.08695652173913043,20.0
Salah Tizani,0.9932885906040269,0.9966329966329966,0.9949579831932773,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.4772727272727273,0.84,0.6086956521739131,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.07142857142857142,0.03225806451612903,0.044444444444444446,31.0
Toufic El Bacha,0.6896551724137931,1.0,0.8163265306122449,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.8484848484848485,0.4666666666666667,0.6021505376344086,60.0
Bishop Youssef Darian,0.7592592592592593,0.7735849056603774,0.7663551401869159,53.0
Youssef Hanna El-Sawda,0.4883720930232558,1.0,0.65625,21.0
accuracy,0.7602102709260008,0.7602102709260008,0.7602102709260008,0.7602102709260008
macro avg,0.6107236984605202,0.6626331745549048,0.6099892536514128,2473.0
weighted avg,0.757591680230163,0.7602102709260008,0.740656363182962,2473.0
