Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2222 (0.3143),0.2105 (0.2977),0.2162 (0.3058),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.3000 (0.3559),0.3569 (0.3834),20.0
Your son George,0.4474 (0.3526),0.9260 (0.0120),0.5280 (0.3044),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0185 (0.0262),0.0333 (0.0471),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.8461 (0.1384),0.9215 (0.0833),0.8706 (0.0686),24.0
Shibli N. Damus,0.6226 (0.2631),0.6578 (0.3133),0.5153 (0.1568),103.0
Naoum Mokarzel,0.5278 (0.3747),0.1426 (0.1135),0.2222 (0.1712),18.0
Eissa alKhouri,0.9070 (0.0675),0.5767 (0.3028),0.6379 (0.2525),43.0
Girgi Dimitri Sursock,0.2596 (0.1847),0.4556 (0.3252),0.1923 (0.1201),7.0
Felix Faris,0.5156 (0.3016),0.7698 (0.0975),0.5666 (0.2913),151.0
May Ziadeh,0.1406 (0.1111),0.4534 (0.3383),0.2111 (0.1685),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4232 (0.2814),0.4006 (0.0994),0.3692 (0.2234),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6032 (0.4283),0.5067 (0.3598),0.5507 (0.3910),25.0
Daoud Mujaes,0.5333 (0.3771),0.3704 (0.3777),0.3966 (0.3455),18.0
Bechara El Khoury,0.4290 (0.3053),0.4792 (0.2990),0.4204 (0.2916),8.0
Youssef Ibrahim Yazbek,0.8732 (0.1021),0.5381 (0.1311),0.6519 (0.0943),20.0
Elias Abu Shabaki,0.9090 (0.0904),0.7034 (0.1024),0.7815 (0.0241),49.0
Elie Maroun Khalil,0.8878 (0.0211),0.7628 (0.1944),0.8051 (0.1101),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.3667 (0.4497),0.0698 (0.0584),0.1100 (0.1042),21.0
Botros Feghaly,0.6190 (0.4416),0.2202 (0.1599),0.3247 (0.2345),24.0
Toufiq Wehbeh,0.7497 (0.1948),0.8482 (0.1834),0.7514 (0.0555),21.0
Bishop Mkhayel Akhrass,0.3817 (0.2704),0.6319 (0.4469),0.4758 (0.3366),17.0
George Saad,0.8289 (0.1211),0.2463 (0.0626),0.3759 (0.0823),38.0
Bishop Aghnathios Mbarak,0.6475 (0.1679),0.6897 (0.3222),0.6337 (0.2435),15.0
Fathallah Khoury,0.7556 (0.1812),0.6000 (0.1780),0.6280 (0.0398),14.0
Elias Sarkis,0.5446 (0.2129),0.9489 (0.0380),0.6674 (0.1942),20.0
Fouad Chehab,0.7180 (0.1871),0.9771 (0.0195),0.8144 (0.1178),11.0
Hanna Moussa,0.9359 (0.0907),0.9945 (0.0078),0.9618 (0.0483),25.0
Habib Massoud,0.4119 (0.3204),0.6538 (0.4626),0.4957 (0.3636),26.0
Zaghloul,0.9815 (0.0262),0.9326 (0.0954),0.9530 (0.0478),25.0
Father Youhanna Habib Baysari,0.8319 (0.1263),0.7114 (0.1232),0.7514 (0.0592),23.0
Mkhayel Daher,0.0417 (0.0589),0.0139 (0.0196),0.0208 (0.0295),24.0
Father Youssef Hanna & Father Botros Hasan,0.3333 (0.4714),0.0290 (0.0410),0.0533 (0.0754),23.0
Father Botros Hasan,0.2604 (0.2094),0.4708 (0.3487),0.3339 (0.2602),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4210 (0.2199),0.6852 (0.1079),0.5040 (0.1917),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0303 (0.0429),0.0556 (0.0786),33.0
Jean Philipp Kmeid,0.8775 (0.1332),0.9801 (0.0282),0.9195 (0.0757),27.0
Michel Saykali,0.6251 (0.0571),1.0000 (0.0000),0.7679 (0.0422),14.0
Hanna Ghayth (Juan Gait),0.4225 (0.0708),1.0000 (0.0000),0.5906 (0.0680),13.0
Yousef Hobeiche,0.5412 (0.2241),0.9647 (0.0251),0.6668 (0.1670),17.0
Angele Ellis,0.3556 (0.2998),0.1728 (0.1720),0.2302 (0.2185),27.0
Khalil Yossuf Nader Raad,0.2557 (0.0551),0.9848 (0.0214),0.4027 (0.0707),22.0
Mansour Eid,0.8488 (0.0818),0.7845 (0.2133),0.7909 (0.1191),93.0
Mkhayel Meneem,0.8506 (0.0549),0.7467 (0.2175),0.7823 (0.1560),25.0
Constantine Elias,0.6190 (0.1994),0.7637 (0.2225),0.6194 (0.0177),17.0
Maurice Gemayel,0.3291 (0.3621),0.2626 (0.1922),0.2663 (0.2434),11.0
Murshid Habashi,0.4660 (0.3365),0.5804 (0.4126),0.5128 (0.3635),26.0
Michel Kahwaji,0.5405 (0.2680),0.9267 (0.1036),0.6255 (0.1862),141.0
Mayor of Kfarshima,0.2910 (0.1667),0.5461 (0.3833),0.3598 (0.2076),33.0
Sohayl Tohmeh,0.8586 (0.0172),0.9192 (0.0610),0.8862 (0.0205),36.0
Shukri Kanaan,0.3650 (0.2799),0.3939 (0.2853),0.3659 (0.2605),33.0
Emily Nasrallah,0.9487 (0.0725),1.0000 (0.0000),0.9722 (0.0393),11.0
Joseph Oussani,0.8680 (0.1498),0.9779 (0.0268),0.9108 (0.0833),153.0
Father Boulos El-Mender,0.3771 (0.2297),0.3126 (0.1238),0.3254 (0.1558),20.0
Salah Tizani,0.9276 (0.0674),0.9977 (0.0033),0.9600 (0.0366),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.3685 (0.1049),0.4447 (0.3126),0.3682 (0.1782),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3505 (0.2020),0.5737 (0.3768),0.4271 (0.2704),31.0
Toufic El Bacha,0.4388 (0.1366),0.9750 (0.0204),0.5929 (0.1236),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.0980 (0.1386),0.1515 (0.2143),17.0
Youssef Fadlallah Salemeh,0.6197 (0.2649),0.7725 (0.1328),0.6320 (0.1775),60.0
Bishop Youssef Darian,0.5333 (0.3771),0.4898 (0.3852),0.5004 (0.3659),53.0
Youssef Hanna El-Sawda,0.6020 (0.2780),0.8244 (0.1277),0.6570 (0.1645),21.0
accuracy,0.6488 (0.0265),0.6488 (0.0265),0.6488 (0.0265),0.6692276587141124
macro avg,0.4895 (0.0994),0.5273 (0.0809),0.4580 (0.0896),2473.0
weighted avg,0.6756 (0.0400),0.6488 (0.0265),0.6267 (0.0288),2473.0
