Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),20.0
Your son George,0.5815 (0.2678),1.0000 (0.0000),0.6977 (0.2244),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.4714),0.0185 (0.0262),0.0351 (0.0496),16.0
Bishop Boulos Akl,0.3529 (0.4582),0.1747 (0.2044),0.2307 (0.2845),16.0
Ameen Rihani,0.8181 (0.1747),0.9167 (0.1179),0.8420 (0.0856),24.0
Shibli N. Damus,0.7065 (0.2602),0.9135 (0.0612),0.7691 (0.1849),103.0
Naoum Mokarzel,0.5926 (0.4215),0.3667 (0.3567),0.4265 (0.3665),18.0
Eissa alKhouri,0.7047 (0.2174),0.9427 (0.0475),0.7838 (0.1419),43.0
Girgi Dimitri Sursock,0.3841 (0.0215),0.8095 (0.1782),0.5160 (0.0509),7.0
Felix Faris,0.7429 (0.1867),0.8912 (0.1010),0.7875 (0.1129),151.0
May Ziadeh,0.3388 (0.2464),0.6002 (0.4267),0.4292 (0.3056),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6432 (0.2105),0.6604 (0.2912),0.5937 (0.1683),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.2105 (0.2977),0.2581 (0.3650),13.0
Prof. Ign. Kratchkovsky,0.0516 (0.0368),0.0513 (0.0363),0.0514 (0.0364),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9733 (0.0377),0.6133 (0.4057),0.6444 (0.4013),25.0
Daoud Mujaes,0.7764 (0.0763),0.8889 (0.1200),0.8189 (0.0419),18.0
Bechara El Khoury,0.8458 (0.1757),0.9583 (0.0295),0.8897 (0.1146),8.0
Youssef Ibrahim Yazbek,1.0000 (0.0000),0.9306 (0.0982),0.9612 (0.0548),20.0
Elias Abu Shabaki,0.9380 (0.0548),0.9864 (0.0192),0.9602 (0.0225),49.0
Elie Maroun Khalil,0.8000 (0.2828),0.7723 (0.0971),0.7422 (0.1482),22.0
Aziz Khoury,0.6667 (0.4714),0.3333 (0.4219),0.3654 (0.4260),14.0
Ghnatyos Mbarak,0.6111 (0.4374),0.1403 (0.1167),0.2257 (0.1815),21.0
Botros Feghaly,0.8027 (0.1493),0.9226 (0.0464),0.8469 (0.0639),24.0
Toufiq Wehbeh,0.9495 (0.0085),0.9945 (0.0077),0.9715 (0.0081),21.0
Bishop Mkhayel Akhrass,0.4950 (0.3869),0.6364 (0.4515),0.5498 (0.4068),17.0
George Saad,0.7385 (0.1861),0.9287 (0.0829),0.8135 (0.1287),38.0
Bishop Aghnathios Mbarak,0.7412 (0.2803),0.8225 (0.2108),0.7752 (0.2537),15.0
Fathallah Khoury,0.8627 (0.1941),0.7286 (0.3158),0.7109 (0.2064),14.0
Elias Sarkis,0.8000 (0.0471),0.9792 (0.0295),0.8792 (0.0258),20.0
Fouad Chehab,0.9898 (0.0144),1.0000 (0.0000),0.9948 (0.0073),11.0
Hanna Moussa,1.0000 (0.0000),0.9989 (0.0016),0.9994 (0.0008),25.0
Habib Massoud,0.9442 (0.0549),1.0000 (0.0000),0.9705 (0.0295),26.0
Zaghloul,1.0000 (0.0000),0.9961 (0.0054),0.9981 (0.0027),25.0
Father Youhanna Habib Baysari,0.9861 (0.0196),0.9368 (0.0894),0.9580 (0.0452),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1533 (0.2168),0.3333 (0.4714),0.2100 (0.2970),23.0
Father Botros Hasan,0.2086 (0.1623),0.6528 (0.4619),0.3127 (0.2352),19.0
Father Youssef Hajj,0.3333 (0.4714),0.0159 (0.0224),0.0303 (0.0429),21.0
Father Mkhayel Zreiby,0.5717 (0.2963),0.7678 (0.2712),0.6464 (0.2981),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.1616 (0.2286),0.2177 (0.3079),33.0
Jean Philipp Kmeid,0.9659 (0.0483),1.0000 (0.0000),0.9820 (0.0254),27.0
Michel Saykali,0.7901 (0.2444),1.0000 (0.0000),0.8594 (0.1713),14.0
Hanna Ghayth (Juan Gait),0.9297 (0.0059),1.0000 (0.0000),0.9636 (0.0032),13.0
