Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),20.0
Your son George,0.5874 (0.2778),1.0000 (0.0000),0.6947 (0.2596),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.4946 (0.3780),0.2628 (0.3003),0.2220 (0.1974),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.9157 (0.0732),0.9062 (0.1326),0.9012 (0.0622),24.0
Shibli N. Damus,0.6798 (0.2300),0.9158 (0.0372),0.7544 (0.1335),103.0
Naoum Mokarzel,0.6667 (0.4714),0.1833 (0.1929),0.2675 (0.2605),18.0
Eissa alKhouri,0.7532 (0.2867),0.7074 (0.2581),0.7254 (0.2640),43.0
Girgi Dimitri Sursock,0.5039 (0.1983),0.8095 (0.1782),0.5751 (0.1611),7.0
Felix Faris,0.7241 (0.2048),0.8802 (0.0937),0.7729 (0.1335),151.0
May Ziadeh,0.3118 (0.2211),0.6212 (0.4428),0.4140 (0.2927),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5422 (0.2256),0.5305 (0.2684),0.4781 (0.2116),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6133 (0.4386),0.4800 (0.3533),0.5300 (0.3766),25.0
Daoud Mujaes,0.7867 (0.3017),0.6852 (0.3020),0.6131 (0.1892),18.0
Bechara El Khoury,0.5862 (0.1115),0.9583 (0.0295),0.7229 (0.0940),8.0
Youssef Ibrahim Yazbek,0.9885 (0.0163),0.8611 (0.1964),0.9064 (0.1201),20.0
Elias Abu Shabaki,0.7739 (0.1457),0.9864 (0.0192),0.8594 (0.0940),49.0
Elie Maroun Khalil,0.7812 (0.2159),0.8326 (0.2040),0.7640 (0.1481),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.2059 (0.2134),0.1079 (0.0798),0.1336 (0.1128),21.0
Botros Feghaly,0.8722 (0.1468),0.7937 (0.0978),0.8294 (0.1158),24.0
Toufiq Wehbeh,0.9494 (0.0508),0.9841 (0.0224),0.9652 (0.0208),21.0
Bishop Mkhayel Akhrass,0.4583 (0.4125),0.6515 (0.4611),0.5128 (0.4087),17.0
George Saad,0.7234 (0.2194),0.9251 (0.0596),0.7886 (0.1333),38.0
Bishop Aghnathios Mbarak,0.6815 (0.2065),0.7695 (0.1862),0.7205 (0.1977),15.0
Fathallah Khoury,0.9278 (0.0698),0.6738 (0.4264),0.6641 (0.3757),14.0
Elias Sarkis,0.8804 (0.1298),0.9848 (0.0214),0.9258 (0.0844),20.0
Fouad Chehab,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Hanna Moussa,1.0000 (0.0000),0.9989 (0.0016),0.9994 (0.0008),25.0
Habib Massoud,0.6508 (0.4606),0.6667 (0.4714),0.6585 (0.4658),26.0
Zaghloul,0.9170 (0.0814),0.9981 (0.0027),0.9538 (0.0443),25.0
Father Youhanna Habib Baysari,0.8645 (0.1606),0.9538 (0.0357),0.8955 (0.0835),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2840 (0.4016),0.3333 (0.4714),0.3067 (0.4337),23.0
Father Botros Hasan,0.2647 (0.0862),0.8611 (0.1678),0.3857 (0.0888),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4749 (0.3361),0.5954 (0.4211),0.5284 (0.3737),39.0
Father Mikhael Hanna,0.3111 (0.4400),0.1414 (0.2000),0.1944 (0.2750),33.0
Jean Philipp Kmeid,0.9180 (0.1159),1.0000 (0.0000),0.9533 (0.0661),27.0
Michel Saykali,0.9028 (0.1375),1.0000 (0.0000),0.9431 (0.0805),14.0
Hanna Ghayth (Juan Gait),0.7682 (0.1439),1.0000 (0.0000),0.8609 (0.0983),13.0
Yousef Hobeiche,0.9561 (0.0144),0.9640 (0.0509),0.9589 (0.0188),17.0
Angele Ellis,0.0725 (0.1025),0.1235 (0.1746),0.0913 (0.1292),27.0
Khalil Yossuf Nader Raad,0.7022 (0.0815),1.0000 (0.0000),0.8224 (0.0549),22.0
Mansour Eid,0.8434 (0.1124),1.0000 (0.0000),0.9111 (0.0640),93.0
Mkhayel Meneem,0.9425 (0.0813),0.9600 (0.0327),0.9491 (0.0458),25.0
Constantine Elias,0.7057 (0.1412),1.0000 (0.0000),0.8196 (0.0950),17.0
Maurice Gemayel,0.7389 (0.1755),0.8182 (0.2571),0.7739 (0.2123),11.0
Murshid Habashi,0.7708 (0.1640),0.9569 (0.0373),0.8453 (0.1002),26.0
Michel Kahwaji,0.7313 (0.1953),0.9007 (0.1404),0.7724 (0.0514),141.0
Mayor of Kfarshima,0.3519 (0.1434),0.6389 (0.3068),0.4530 (0.1971),33.0
Sohayl Tohmeh,0.9667 (0.0289),1.0000 (0.0000),0.9829 (0.0150),36.0
Shukri Kanaan,0.3737 (0.4456),0.0808 (0.0571),0.1125 (0.0885),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9832 (0.0180),0.9921 (0.0070),0.9875 (0.0074),153.0
Father Boulos El-Mender,0.6872 (0.2669),0.8167 (0.2248),0.6894 (0.2093),20.0
Salah Tizani,0.9988 (0.0016),1.0000 (0.0000),0.9994 (0.0008),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.3333 (0.4714),0.2745 (0.3882),0.3011 (0.4258),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3129 (0.2664),0.6282 (0.4467),0.4076 (0.3225),31.0
Toufic El Bacha,0.8085 (0.1354),0.9333 (0.0943),0.8621 (0.1029),40.0
Catherine Yazbek Al-Badawi,0.6667 (0.4714),0.2353 (0.2541),0.3171 (0.3117),17.0
Youssef Fadlallah Salemeh,0.5887 (0.2288),0.9543 (0.0646),0.6934 (0.1956),60.0
Bishop Youssef Darian,0.4759 (0.3681),0.6604 (0.4670),0.5436 (0.3970),53.0
Youssef Hanna El-Sawda,0.6534 (0.2561),0.9692 (0.0436),0.7463 (0.1604),21.0
accuracy,0.7370 (0.0158),0.7370 (0.0158),0.7370 (0.0158),0.7525272947836635
macro avg,0.5694 (0.0432),0.6333 (0.0102),0.5699 (0.0273),2473.0
weighted avg,0.7182 (0.0211),0.7370 (0.0158),0.7069 (0.0194),2473.0
