,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,18.0
Your son George,0.75,1.0,0.8571428571428571,15.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.09090909090909091,0.045454545454545456,0.06060606060606061,22.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.9745762711864406,0.71875,0.8273381294964028,320.0
Shibli N. Damus,0.6129032258064516,0.95,0.7450980392156863,20.0
Naoum Mokarzel,1.0,0.45,0.6206896551724138,20.0
Eissa alKhouri,0.9642857142857143,0.75,0.84375,36.0
Girgi Dimitri Sursock,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
Felix Faris,0.46,0.9583333333333334,0.6216216216216216,24.0
May Ziadeh,0.4482758620689655,1.0,0.6190476190476191,13.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3225806451612903,0.7692307692307693,0.45454545454545453,13.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,17.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,1.0,0.7777777777777778,0.875,18.0
Bechara El Khoury,0.45454545454545453,0.9375,0.6122448979591837,16.0
Youssef Ibrahim Yazbek,1.0,0.5833333333333334,0.7368421052631579,24.0
Elias Abu Shabaki,0.9473684210526315,1.0,0.972972972972973,18.0
Elie Maroun Khalil,0.47619047619047616,0.9523809523809523,0.6349206349206349,21.0
Aziz Khoury,0.0,0.0,0.0,12.0
Ghnatyos Mbarak,0.0,0.0,0.0,37.0
Botros Feghaly,1.0,0.8095238095238095,0.8947368421052632,21.0
Toufiq Wehbeh,0.9682539682539683,1.0,0.9838709677419355,61.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,21.0
George Saad,0.4634146341463415,1.0,0.6333333333333333,19.0
Bishop Aghnathios Mbarak,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
Fathallah Khoury,0.95,0.95,0.95,20.0
Elias Sarkis,0.9411764705882353,1.0,0.9696969696969697,16.0
Fouad Chehab,1.0,1.0,1.0,21.0
Hanna Moussa,1.0,1.0,1.0,21.0
Habib Massoud,0.0,0.0,0.0,34.0
Zaghloul,1.0,0.9942196531791907,0.9971014492753624,173.0
Father Youhanna Habib Baysari,0.6388888888888888,1.0,0.7796610169491526,23.0
Mkhayel Daher,0.0,0.0,0.0,25.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.2875,0.9583333333333334,0.4423076923076923,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.6956521739130435,0.8888888888888888,0.7804878048780488,18.0
Father Mikhael Hanna,0.0,0.0,0.0,17.0
Jean Philipp Kmeid,0.7540983606557377,1.0,0.8598130841121495,184.0
Michel Saykali,0.7083333333333334,1.0,0.8292682926829268,17.0
Hanna Ghayth (Juan Gait),0.8823529411764706,1.0,0.9375,15.0
Yousef Hobeiche,0.9473684210526315,1.0,0.972972972972973,18.0
Angele Ellis,0.0,0.0,0.0,10.0
Khalil Yossuf Nader Raad,0.625,1.0,0.7692307692307693,20.0
Mansour Eid,0.7419354838709677,1.0,0.8518518518518519,23.0
Mkhayel Meneem,1.0,0.92,0.9583333333333334,25.0
Constantine Elias,0.6666666666666666,1.0,0.8,20.0
Maurice Gemayel,0.9166666666666666,1.0,0.9565217391304348,11.0
Murshid Habashi,0.6875,1.0,0.8148148148148148,22.0
Michel Kahwaji,0.6521739130434783,1.0,0.7894736842105263,15.0
Mayor of Kfarshima,0.5161290322580645,1.0,0.6808510638297872,32.0
Sohayl Tohmeh,0.9295774647887324,1.0,0.9635036496350365,66.0
Shukri Kanaan,1.0,0.12121212121212122,0.21621621621621623,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9913793103448276,0.9829059829059829,0.9871244635193133,117.0
Father Boulos El-Mender,0.3220338983050847,0.95,0.4810126582278481,20.0
Salah Tizani,0.9965156794425087,1.0,0.9982547993019197,286.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,20.0
Krouger Tobia Attallah,0.2875,0.8846153846153846,0.4339622641509434,26.0
Toufic El Bacha,0.7142857142857143,1.0,0.8333333333333334,20.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.2653061224489796,1.0,0.41935483870967744,13.0
Bishop Youssef Darian,0.0,0.0,0.0,15.0
Youssef Hanna El-Sawda,0.5714285714285714,1.0,0.7272727272727273,20.0
accuracy,0.7432268499797816,0.7432268499797816,0.7432268499797816,0.7432268499797816
macro avg,0.508357198761402,0.6193564595023271,0.5314448184722316,2473.0
weighted avg,0.7012994385120064,0.7432268499797816,0.698362028800086,2473.0
