,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.9,0.9473684210526315,20.0
Your son George,0.3125,0.9090909090909091,0.46511627906976744,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.6,1.0,0.75,24.0
Shibli N. Damus,1.0,0.5339805825242718,0.6962025316455697,103.0
Naoum Mokarzel,0.9090909090909091,0.5555555555555556,0.6896551724137931,18.0
Eissa alKhouri,0.9615384615384616,0.5813953488372093,0.7246376811594203,43.0
Girgi Dimitri Sursock,0.07547169811320754,0.5714285714285714,0.13333333333333333,7.0
Felix Faris,0.7295918367346939,0.9470198675496688,0.8242074927953891,151.0
May Ziadeh,0.4,0.7272727272727273,0.5161290322580645,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.775,0.7948717948717948,0.7848101265822784,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.875,0.84,0.8571428571428571,25.0
Daoud Mujaes,0.85,0.9444444444444444,0.8947368421052632,18.0
Bechara El Khoury,0.5833333333333334,0.875,0.7,8.0
Youssef Ibrahim Yazbek,1.0,0.65,0.7878787878787878,20.0
Elias Abu Shabaki,0.9787234042553191,0.9387755102040817,0.9583333333333334,49.0
Elie Maroun Khalil,1.0,0.9545454545454546,0.9767441860465116,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.6,0.14285714285714285,0.23076923076923078,21.0
Botros Feghaly,0.75,0.5,0.6,24.0
Toufiq Wehbeh,0.875,1.0,0.9333333333333333,21.0
Bishop Mkhayel Akhrass,0.8947368421052632,1.0,0.9444444444444444,17.0
George Saad,1.0,0.7631578947368421,0.8656716417910447,38.0
Bishop Aghnathios Mbarak,0.7647058823529411,0.8666666666666667,0.8125,15.0
Fathallah Khoury,0.6875,0.7857142857142857,0.7333333333333333,14.0
Elias Sarkis,0.7407407407407407,1.0,0.851063829787234,20.0
Fouad Chehab,0.9166666666666666,1.0,0.9565217391304348,11.0
Hanna Moussa,0.8928571428571429,1.0,0.9433962264150944,25.0
Habib Massoud,0.896551724137931,1.0,0.9454545454545454,26.0
Zaghloul,0.9259259259259259,1.0,0.9615384615384616,25.0
Father Youhanna Habib Baysari,0.7333333333333333,0.9565217391304348,0.8301886792452831,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.5925925925925926,0.8421052631578947,0.6956521739130435,19.0
Father Youssef Hajj,0.14285714285714285,0.047619047619047616,0.07142857142857142,21.0
Father Mkhayel Zreiby,0.5238095238095238,0.8461538461538461,0.6470588235294118,39.0
Father Mikhael Hanna,0.625,0.30303030303030304,0.40816326530612246,33.0
Jean Philipp Kmeid,0.75,1.0,0.8571428571428571,27.0
Michel Saykali,0.7,1.0,0.8235294117647058,14.0
Hanna Ghayth (Juan Gait),0.3023255813953488,1.0,0.4642857142857143,13.0
Yousef Hobeiche,0.2833333333333333,1.0,0.44155844155844154,17.0
Angele Ellis,0.9230769230769231,0.4444444444444444,0.6,27.0
Khalil Yossuf Nader Raad,0.6176470588235294,0.9545454545454546,0.75,22.0
Mansour Eid,1.0,0.4946236559139785,0.6618705035971223,93.0
Mkhayel Meneem,0.8888888888888888,0.96,0.9230769230769231,25.0
Constantine Elias,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
Maurice Gemayel,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
Murshid Habashi,0.9259259259259259,0.9615384615384616,0.9433962264150944,26.0
Michel Kahwaji,0.9225352112676056,0.9290780141843972,0.9257950530035336,141.0
Mayor of Kfarshima,0.64,0.48484848484848486,0.5517241379310345,33.0
Sohayl Tohmeh,0.8846153846153846,0.6388888888888888,0.7419354838709677,36.0
Shukri Kanaan,0.627906976744186,0.8181818181818182,0.7105263157894737,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9202453987730062,0.9803921568627451,0.9493670886075949,153.0
Father Boulos El-Mender,0.631578947368421,0.6,0.6153846153846154,20.0
Salah Tizani,0.9769736842105263,1.0,0.9883527454242929,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.2857142857142857,0.4,0.3333333333333333,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.0,0.0,0.0,31.0
Toufic El Bacha,0.8,1.0,0.8888888888888888,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.8043478260869565,0.6166666666666667,0.6981132075471698,60.0
Bishop Youssef Darian,0.6440677966101694,0.7169811320754716,0.6785714285714286,53.0
Youssef Hanna El-Sawda,0.3888888888888889,1.0,0.56,21.0
accuracy,0.7359482410028305,0.7359482410028305,0.7359482410028305,0.7359482410028305
macro avg,0.5944512375867568,0.636241099417967,0.5876167737385396,2473.0
weighted avg,0.7390131674205127,0.7359482410028305,0.7162622463110743,2473.0
