Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2444 (0.3457),0.1930 (0.2729),0.2157 (0.3050),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.2833 (0.2718),0.3737 (0.3229),20.0
Your son George,0.5661 (0.1955),0.9071 (0.0743),0.6806 (0.1621),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.4714),0.0185 (0.0262),0.0351 (0.0496),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7903 (0.1849),0.9143 (0.0954),0.8243 (0.0841),24.0
Shibli N. Damus,0.7300 (0.2304),0.6624 (0.2433),0.6157 (0.1347),103.0
Naoum Mokarzel,0.8750 (0.1768),0.1926 (0.1015),0.2933 (0.1402),18.0
Eissa alKhouri,0.6745 (0.2372),0.6130 (0.2817),0.5597 (0.1614),43.0
Girgi Dimitri Sursock,0.3266 (0.2333),0.6492 (0.0662),0.3889 (0.2011),7.0
Felix Faris,0.5208 (0.2533),0.8784 (0.0601),0.6097 (0.2157),151.0
May Ziadeh,0.1811 (0.1082),0.5828 (0.3799),0.2581 (0.1633),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4031 (0.3021),0.3425 (0.1686),0.3288 (0.2390),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5746 (0.4063),0.3333 (0.2363),0.4218 (0.2986),25.0
Daoud Mujaes,0.7137 (0.1608),0.4630 (0.3088),0.5346 (0.2771),18.0
Bechara El Khoury,0.4380 (0.1755),0.6042 (0.1640),0.4518 (0.0636),8.0
Youssef Ibrahim Yazbek,0.8056 (0.1383),0.5563 (0.2236),0.6249 (0.1529),20.0
Elias Abu Shabaki,0.9167 (0.1179),0.9082 (0.0372),0.9074 (0.0598),49.0
Elie Maroun Khalil,0.8358 (0.0860),0.8625 (0.0653),0.8426 (0.0230),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.2111 (0.1499),0.0825 (0.0853),0.1078 (0.0995),21.0
Botros Feghaly,0.6667 (0.4714),0.0992 (0.1084),0.1636 (0.1712),24.0
Toufiq Wehbeh,0.8414 (0.0894),0.9568 (0.0336),0.8912 (0.0355),21.0
Bishop Mkhayel Akhrass,0.8162 (0.1532),0.6252 (0.3428),0.6048 (0.2531),17.0
George Saad,0.6667 (0.4714),0.1228 (0.0895),0.2069 (0.1494),38.0
Bishop Aghnathios Mbarak,0.5450 (0.0324),0.7789 (0.2669),0.6136 (0.0995),15.0
Fathallah Khoury,0.7644 (0.1123),0.7500 (0.1780),0.7384 (0.1074),14.0
Elias Sarkis,0.6448 (0.0881),0.9489 (0.0380),0.7660 (0.0732),20.0
Fouad Chehab,0.9161 (0.0585),0.9895 (0.0149),0.9500 (0.0255),11.0
Hanna Moussa,0.9560 (0.0330),0.9934 (0.0094),0.9739 (0.0139),25.0
Habib Massoud,0.6293 (0.2749),0.7970 (0.1909),0.6255 (0.0854),26.0
Zaghloul,0.9649 (0.0496),0.9865 (0.0191),0.9746 (0.0229),25.0
Father Youhanna Habib Baysari,0.8125 (0.1350),0.7546 (0.1428),0.7631 (0.0464),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.3366 (0.0387),0.6023 (0.1367),0.4208 (0.0039),19.0
Father Youssef Hajj,0.2963 (0.4190),0.1270 (0.1796),0.1778 (0.2514),21.0
Father Mkhayel Zreiby,0.4612 (0.1835),0.7721 (0.0629),0.5638 (0.1606),39.0
Father Mikhael Hanna,0.1111 (0.1571),0.0101 (0.0143),0.0185 (0.0262),33.0
Jean Philipp Kmeid,0.8935 (0.0755),0.9764 (0.0333),0.9301 (0.0317),27.0
Michel Saykali,0.6274 (0.0551),1.0000 (0.0000),0.7696 (0.0412),14.0
Hanna Ghayth (Juan Gait),0.4991 (0.0152),0.9744 (0.0363),0.6597 (0.0156),13.0
Yousef Hobeiche,0.4710 (0.1611),0.9880 (0.0170),0.6209 (0.1344),17.0
