,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.2,0.3333333333333333,20.0
Your son George,0.32142857142857145,0.8181818181818182,0.46153846153846156,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.5454545454545454,1.0,0.7058823529411765,24.0
Shibli N. Damus,0.9705882352941176,0.32038834951456313,0.48175182481751827,103.0
Naoum Mokarzel,0.625,0.2777777777777778,0.38461538461538464,18.0
Eissa alKhouri,0.6875,0.2558139534883721,0.3728813559322034,43.0
Girgi Dimitri Sursock,0.08695652173913043,0.5714285714285714,0.1509433962264151,7.0
Felix Faris,0.5737051792828686,0.9536423841059603,0.7164179104477612,151.0
May Ziadeh,0.3269230769230769,0.7727272727272727,0.4594594594594595,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8,0.5641025641025641,0.6616541353383458,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.8571428571428571,0.48,0.6153846153846154,25.0
Daoud Mujaes,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
Bechara El Khoury,0.24,0.75,0.36363636363636365,8.0
Youssef Ibrahim Yazbek,1.0,0.55,0.7096774193548387,20.0
Elias Abu Shabaki,1.0,0.8571428571428571,0.9230769230769231,49.0
Elie Maroun Khalil,0.7241379310344828,0.9545454545454546,0.8235294117647058,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.3333333333333333,0.047619047619047616,0.08333333333333333,21.0
Botros Feghaly,1.0,0.25,0.4,24.0
Toufiq Wehbeh,0.8,0.9523809523809523,0.8695652173913043,21.0
Bishop Mkhayel Akhrass,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
George Saad,1.0,0.21052631578947367,0.34782608695652173,38.0
Bishop Aghnathios Mbarak,0.56,0.9333333333333333,0.7,15.0
Fathallah Khoury,0.7777777777777778,0.5,0.6086956521739131,14.0
Elias Sarkis,0.7692307692307693,1.0,0.8695652173913043,20.0
Fouad Chehab,0.8461538461538461,1.0,0.9166666666666666,11.0
Hanna Moussa,0.9615384615384616,1.0,0.9803921568627451,25.0
Habib Massoud,0.3424657534246575,0.9615384615384616,0.5050505050505051,26.0
Zaghloul,1.0,1.0,1.0,25.0
Father Youhanna Habib Baysari,0.6875,0.9565217391304348,0.8,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.375,0.47368421052631576,0.4186046511627907,19.0
Father Youssef Hajj,0.8888888888888888,0.38095238095238093,0.5333333333333333,21.0
Father Mkhayel Zreiby,0.7021276595744681,0.8461538461538461,0.7674418604651163,39.0
Father Mikhael Hanna,0.3333333333333333,0.030303030303030304,0.05555555555555555,33.0
Jean Philipp Kmeid,0.7941176470588235,1.0,0.8852459016393442,27.0
Michel Saykali,0.7,1.0,0.8235294117647058,14.0
Hanna Ghayth (Juan Gait),0.5,0.9230769230769231,0.6486486486486487,13.0
Yousef Hobeiche,0.34,1.0,0.5074626865671642,17.0
Angele Ellis,0.5,0.25925925925925924,0.34146341463414637,27.0
Khalil Yossuf Nader Raad,0.275,1.0,0.43137254901960786,22.0
Mansour Eid,0.9782608695652174,0.4838709677419355,0.6474820143884892,93.0
Mkhayel Meneem,0.9166666666666666,0.88,0.8979591836734694,25.0
Constantine Elias,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
Maurice Gemayel,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
Murshid Habashi,0.9545454545454546,0.8076923076923077,0.875,26.0
Michel Kahwaji,0.9323308270676691,0.8794326241134752,0.9051094890510949,141.0
Mayor of Kfarshima,0.391304347826087,0.5454545454545454,0.45569620253164556,33.0
Sohayl Tohmeh,0.7105263157894737,0.75,0.7297297297297297,36.0
Shukri Kanaan,0.7307692307692307,0.5757575757575758,0.6440677966101694,33.0
Emily Nasrallah,0.7857142857142857,1.0,0.88,11.0
Joseph Oussani,0.9320987654320988,0.9869281045751634,0.9587301587301588,153.0
Father Boulos El-Mender,0.4074074074074074,0.55,0.46808510638297873,20.0
Salah Tizani,0.9833887043189369,0.9966329966329966,0.9899665551839465,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.2,0.07692307692307693,0.1111111111111111,13.0
Assad Darouich Zacharias,0.21311475409836064,0.52,0.3023255813953488,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.5,0.25806451612903225,0.3404255319148936,31.0
Toufic El Bacha,0.6065573770491803,0.925,0.7326732673267327,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.7333333333333333,0.7333333333333333,0.7333333333333333,60.0
Bishop Youssef Darian,0.6904761904761905,0.5471698113207547,0.6105263157894737,53.0
Youssef Hanna El-Sawda,0.42857142857142855,1.0,0.6,21.0
accuracy,0.6720582288718157,0.6720582288718157,0.6720582288718157,0.6720582288718157
macro avg,0.553458484789777,0.5644587339050243,0.5097834139567808,2473.0
weighted avg,0.7052221024120544,0.6720582288718157,0.646538305236441,2473.0
