Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.3333 (0.4714),0.3333 (0.4714),0.3333 (0.4714),20.0
Your son George,0.4450 (0.2746),0.9892 (0.0152),0.5659 (0.2331),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.6081 (0.2443),0.9000 (0.1414),0.6729 (0.1341),24.0
Shibli N. Damus,0.4343 (0.3758),0.5681 (0.4017),0.4719 (0.3635),103.0
Naoum Mokarzel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Eissa alKhouri,0.3245 (0.2843),0.4729 (0.4100),0.3203 (0.2290),43.0
Girgi Dimitri Sursock,0.1047 (0.0355),0.3714 (0.1761),0.1571 (0.0519),7.0
Felix Faris,0.7140 (0.2077),0.8409 (0.1084),0.7384 (0.1070),151.0
May Ziadeh,0.2285 (0.2197),0.6515 (0.4611),0.3180 (0.2781),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3706 (0.3194),0.2641 (0.1495),0.2856 (0.2154),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0833 (0.1179),0.0513 (0.0725),0.0635 (0.0898),13.0
Ibrahim Mejahid Al-Jaza'eri,0.3333 (0.4714),0.0133 (0.0189),0.0256 (0.0363),25.0
Daoud Mujaes,0.2381 (0.3367),0.2778 (0.3928),0.2564 (0.3626),18.0
Bechara El Khoury,0.4526 (0.0128),0.8958 (0.0295),0.6014 (0.0175),8.0
Youssef Ibrahim Yazbek,0.3333 (0.4714),0.0500 (0.0707),0.0870 (0.1230),20.0
Elias Abu Shabaki,0.7278 (0.1925),0.8405 (0.1538),0.7430 (0.0261),49.0
Elie Maroun Khalil,0.1667 (0.2357),0.0196 (0.0277),0.0351 (0.0496),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.1098 (0.1350),0.0698 (0.0584),0.0781 (0.0833),21.0
Botros Feghaly,0.8323 (0.1258),0.3988 (0.3999),0.4019 (0.2998),24.0
Toufiq Wehbeh,0.8473 (0.0799),0.9732 (0.0199),0.9030 (0.0372),21.0
Bishop Mkhayel Akhrass,0.2063 (0.2918),0.2549 (0.3605),0.2281 (0.3225),17.0
