Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.3500 (0.4601),0.3651 (0.4506),20.0
Your son George,0.3536 (0.2092),0.9570 (0.0608),0.4749 (0.1968),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7069 (0.2127),0.9031 (0.1370),0.7565 (0.1275),24.0
Shibli N. Damus,0.3992 (0.4174),0.4223 (0.3179),0.3888 (0.3552),103.0
Naoum Mokarzel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Eissa alKhouri,0.3801 (0.2801),0.3519 (0.4589),0.2485 (0.2820),43.0
Girgi Dimitri Sursock,0.2433 (0.1738),0.4635 (0.1267),0.3004 (0.1767),7.0
Felix Faris,0.8066 (0.0838),0.8648 (0.0944),0.8252 (0.0085),151.0
May Ziadeh,0.1474 (0.1160),0.6212 (0.4428),0.2336 (0.1766),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3611 (0.2878),0.2789 (0.1339),0.2861 (0.2051),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0606 (0.0857),0.0513 (0.0725),0.0556 (0.0786),13.0
Ibrahim Mejahid Al-Jaza'eri,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Daoud Mujaes,0.3333 (0.4714),0.2593 (0.3666),0.2917 (0.4125),18.0
Bechara El Khoury,0.3865 (0.0681),0.9375 (0.0510),0.5424 (0.0659),8.0
Youssef Ibrahim Yazbek,0.6667 (0.4714),0.1111 (0.1039),0.1846 (0.1647),20.0
Elias Abu Shabaki,0.6559 (0.2031),0.9562 (0.0483),0.7634 (0.1424),49.0
Elie Maroun Khalil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.0988 (0.1233),0.0698 (0.0584),0.0742 (0.0814),21.0
Botros Feghaly,0.8829 (0.1656),0.6032 (0.3528),0.6123 (0.2562),24.0
Toufiq Wehbeh,0.8762 (0.1751),0.9945 (0.0077),0.9212 (0.1056),21.0
