,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,18.0
Your son George,0.2631578947368421,1.0,0.4166666666666667,15.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,22.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.908,0.709375,0.7964912280701755,320.0
Shibli N. Damus,0.2222222222222222,0.5,0.3076923076923077,20.0
Naoum Mokarzel,0.0,0.0,0.0,20.0
Eissa alKhouri,0.6666666666666666,0.05555555555555555,0.10256410256410256,36.0
Girgi Dimitri Sursock,0.47058823529411764,0.5714285714285714,0.5161290322580645,14.0
Felix Faris,0.71875,0.9583333333333334,0.8214285714285714,24.0
May Ziadeh,0.15853658536585366,1.0,0.2736842105263158,13.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.0625,0.23076923076923078,0.09836065573770492,13.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,17.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.46875,0.9375,0.625,16.0
Youssef Ibrahim Yazbek,1.0,0.08333333333333333,0.15384615384615385,24.0
Elias Abu Shabaki,0.48484848484848486,0.8888888888888888,0.6274509803921569,18.0
Elie Maroun Khalil,0.0,0.0,0.0,21.0
Aziz Khoury,0.0,0.0,0.0,12.0
Ghnatyos Mbarak,0.0,0.0,0.0,37.0
Botros Feghaly,1.0,0.14285714285714285,0.25,21.0
Toufiq Wehbeh,1.0,0.9836065573770492,0.9917355371900827,61.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,21.0
George Saad,0.40540540540540543,0.7894736842105263,0.5357142857142857,19.0
Bishop Aghnathios Mbarak,0.7692307692307693,0.5882352941176471,0.6666666666666666,17.0
Fathallah Khoury,0.75,0.75,0.75,20.0
Elias Sarkis,0.7894736842105263,0.9375,0.8571428571428571,16.0
Fouad Chehab,1.0,1.0,1.0,21.0
Hanna Moussa,1.0,1.0,1.0,21.0
Habib Massoud,0.0,0.0,0.0,34.0
Zaghloul,1.0,0.953757225433526,0.9763313609467456,173.0
Father Youhanna Habib Baysari,0.5348837209302325,1.0,0.696969696969697,23.0
Mkhayel Daher,0.0,0.0,0.0,25.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.22666666666666666,0.7083333333333334,0.3434343434343434,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.45,1.0,0.6206896551724138,18.0
Father Mikhael Hanna,0.0,0.0,0.0,17.0
Jean Philipp Kmeid,1.0,1.0,1.0,184.0
Michel Saykali,0.5666666666666667,1.0,0.723404255319149,17.0
Hanna Ghayth (Juan Gait),0.39473684210526316,1.0,0.5660377358490566,15.0
Yousef Hobeiche,0.32142857142857145,1.0,0.4864864864864865,18.0
Angele Ellis,1.0,0.5,0.6666666666666666,10.0
Khalil Yossuf Nader Raad,0.29411764705882354,1.0,0.45454545454545453,20.0
Mansour Eid,0.8214285714285714,1.0,0.9019607843137255,23.0
Mkhayel Meneem,1.0,0.88,0.9361702127659575,25.0
Constantine Elias,0.7307692307692307,0.95,0.8260869565217391,20.0
Maurice Gemayel,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Murshid Habashi,0.8076923076923077,0.9545454545454546,0.875,22.0
Michel Kahwaji,0.5,1.0,0.6666666666666666,15.0
Mayor of Kfarshima,0.48484848484848486,1.0,0.6530612244897959,32.0
Sohayl Tohmeh,0.75,1.0,0.8571428571428571,66.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,0.9401709401709402,0.9691629955947136,117.0
Father Boulos El-Mender,0.19642857142857142,0.55,0.2894736842105263,20.0
Salah Tizani,1.0,1.0,1.0,286.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,20.0
Krouger Tobia Attallah,0.0,0.0,0.0,26.0
Toufic El Bacha,0.6896551724137931,1.0,0.8163265306122449,20.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.26,1.0,0.4126984126984127,13.0
Bishop Youssef Darian,0.0,0.0,0.0,15.0
Youssef Hanna El-Sawda,0.7142857142857143,1.0,0.8333333333333334,20.0
accuracy,0.6688232915487262,0.6688232915487262,0.6688232915487262,0.6688232915487262
macro avg,0.40422422442092404,0.5124203572329064,0.41099161109602694,2473.0
weighted avg,0.6427605310157791,0.6688232915487262,0.6268871994738734,2473.0
