Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2773 (0.3127),0.2982 (0.3500),0.2870 (0.3305),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.7037 (0.4190),0.7333 (0.3771),20.0
Your son George,0.4684 (0.2405),0.8419 (0.0671),0.5608 (0.1728),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0667 (0.0943),0.0185 (0.0262),0.0290 (0.0410),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.8059 (0.1553),0.9038 (0.1099),0.8316 (0.0500),24.0
Shibli N. Damus,0.8687 (0.0943),0.8085 (0.1535),0.8187 (0.0551),103.0
Naoum Mokarzel,0.5556 (0.3928),0.2593 (0.2045),0.3472 (0.2598),18.0
Eissa alKhouri,0.6972 (0.0537),0.4496 (0.3698),0.4690 (0.3053),43.0
Girgi Dimitri Sursock,0.2448 (0.1054),0.8810 (0.1214),0.3764 (0.1463),7.0
Felix Faris,0.6032 (0.2431),0.8668 (0.0810),0.6680 (0.1856),151.0
May Ziadeh,0.1378 (0.0849),0.3019 (0.2012),0.1715 (0.1253),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5599 (0.3226),0.5234 (0.1506),0.4929 (0.2488),78.0
Mohammed Amin al-Husseini ,0.0833 (0.1179),0.0175 (0.0248),0.0290 (0.0410),13.0
Prof. Ign. Kratchkovsky,0.0417 (0.0589),0.0513 (0.0725),0.0460 (0.0650),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5952 (0.4299),0.5333 (0.3827),0.5558 (0.3930),25.0
Daoud Mujaes,0.6667 (0.4714),0.5556 (0.4157),0.6000 (0.4320),18.0
Bechara El Khoury,0.2387 (0.0467),0.7083 (0.2125),0.3562 (0.0782),8.0
Youssef Ibrahim Yazbek,0.6190 (0.4416),0.2762 (0.1956),0.3810 (0.2694),20.0
Elias Abu Shabaki,0.9583 (0.0589),0.8338 (0.0417),0.8917 (0.0487),49.0
Elie Maroun Khalil,0.8787 (0.0859),0.5032 (0.3037),0.5606 (0.2792),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.1333 (0.1886),0.0635 (0.0898),0.0860 (0.1217),21.0
Botros Feghaly,0.3905 (0.2764),0.1032 (0.0736),0.1629 (0.1158),24.0
Toufiq Wehbeh,0.7786 (0.0210),0.8197 (0.2550),0.7735 (0.1348),21.0
Bishop Mkhayel Akhrass,0.3562 (0.2662),0.6319 (0.4469),0.4512 (0.3265),17.0
George Saad,0.8111 (0.2217),0.1751 (0.1383),0.2707 (0.1861),38.0
Bishop Aghnathios Mbarak,0.4949 (0.0706),0.5981 (0.2417),0.5220 (0.1435),15.0
Fathallah Khoury,0.2978 (0.2708),0.4357 (0.3918),0.3537 (0.3202),14.0
Elias Sarkis,0.4619 (0.0221),0.8905 (0.0576),0.6082 (0.0326),20.0
Fouad Chehab,1.0000 (0.0000),0.9736 (0.0198),0.9865 (0.0101),11.0
Hanna Moussa,0.8353 (0.1195),0.9845 (0.0219),0.8979 (0.0653),25.0
Habib Massoud,0.5159 (0.3680),0.6538 (0.4626),0.5763 (0.4091),26.0
Zaghloul,0.9666 (0.0204),0.9730 (0.0381),0.9689 (0.0105),25.0
Father Youhanna Habib Baysari,1.0000 (0.0000),0.6157 (0.0912),0.7583 (0.0684),23.0
Mkhayel Daher,0.0222 (0.0314),0.0139 (0.0196),0.0171 (0.0242),24.0
Father Youssef Hanna & Father Botros Hasan,0.1333 (0.1886),0.1449 (0.2050),0.1389 (0.1964),23.0
Father Botros Hasan,0.5319 (0.1482),0.6974 (0.1079),0.6012 (0.1359),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4862 (0.2659),0.5570 (0.1794),0.4852 (0.1819),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0404 (0.0571),0.0721 (0.1019),33.0
Jean Philipp Kmeid,0.7391 (0.1691),0.9671 (0.0266),0.8237 (0.1111),27.0
Michel Saykali,0.4648 (0.1150),1.0000 (0.0000),0.6261 (0.1080),14.0
Hanna Ghayth (Juan Gait),0.7420 (0.0617),1.0000 (0.0000),0.8505 (0.0399),13.0
Yousef Hobeiche,0.5096 (0.2354),0.9174 (0.0593),0.6203 (0.1737),17.0
Angele Ellis,0.1667 (0.1361),0.0494 (0.0462),0.0758 (0.0689),27.0
Khalil Yossuf Nader Raad,0.2469 (0.0426),0.9663 (0.0242),0.3917 (0.0564),22.0
Mansour Eid,0.7756 (0.1280),0.7664 (0.2104),0.7380 (0.1056),93.0
Mkhayel Meneem,0.9506 (0.0698),0.8800 (0.0864),0.9093 (0.0504),25.0
Constantine Elias,0.5635 (0.3986),0.5686 (0.4196),0.5611 (0.4006),17.0
Maurice Gemayel,0.2496 (0.1882),0.2904 (0.2059),0.2665 (0.1937),11.0
Murshid Habashi,0.6769 (0.2314),0.6026 (0.1829),0.6332 (0.1991),26.0
Michel Kahwaji,0.5195 (0.2651),0.9787 (0.0301),0.6357 (0.2086),141.0
Mayor of Kfarshima,0.2803 (0.0271),0.6297 (0.2249),0.3784 (0.0498),33.0
Sohayl Tohmeh,0.5183 (0.1326),0.8418 (0.1012),0.6388 (0.1300),36.0
Shukri Kanaan,0.4634 (0.0517),0.3838 (0.2575),0.3499 (0.2134),33.0
Emily Nasrallah,0.9722 (0.0393),1.0000 (0.0000),0.9855 (0.0205),11.0
Joseph Oussani,0.9092 (0.0821),0.9906 (0.0080),0.9458 (0.0433),153.0
Father Boulos El-Mender,0.2470 (0.2605),0.2748 (0.1274),0.2044 (0.1567),20.0
Salah Tizani,0.8985 (0.0721),0.9965 (0.0029),0.9434 (0.0399),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.2000 (0.2828),0.0833 (0.1179),0.1176 (0.1664),13.0
Assad Darouich Zacharias,0.2355 (0.0705),0.4871 (0.3679),0.2873 (0.1692),25.0
Asaad Koury Tobia Attallah,0.0556 (0.0786),0.0333 (0.0471),0.0417 (0.0589),10.0
Krouger Tobia Attallah,0.3237 (0.2132),0.6390 (0.4316),0.4287 (0.2843),31.0
Toufic El Bacha,0.7898 (0.0895),0.9917 (0.0118),0.8760 (0.0505),40.0
Catherine Yazbek Al-Badawi,0.2941 (0.4159),0.2941 (0.4159),0.2941 (0.4159),17.0
Youssef Fadlallah Salemeh,0.5428 (0.2584),0.6644 (0.2373),0.4943 (0.1335),60.0
Bishop Youssef Darian,0.4297 (0.3307),0.5464 (0.3989),0.4625 (0.3300),53.0
Youssef Hanna El-Sawda,0.7918 (0.1531),0.8744 (0.0942),0.8135 (0.0417),21.0
accuracy,0.6550 (0.0285),0.6550 (0.0285),0.6550 (0.0285),0.6829761423372422
macro avg,0.4855 (0.0924),0.5412 (0.0829),0.4694 (0.0940),2473.0
weighted avg,0.6644 (0.0425),0.6550 (0.0285),0.6280 (0.0388),2473.0
