Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.5714 (0.4206),0.2807 (0.2367),0.3726 (0.2995),19.0
Sister Victor N. Khoury,0.9792 (0.0295),0.9444 (0.0786),0.9608 (0.0555),20.0
Your son George,0.4280 (0.2303),0.8158 (0.1749),0.4925 (0.1203),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.4714),0.0370 (0.0524),0.0667 (0.0943),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7624 (0.1723),0.9014 (0.0906),0.8066 (0.0667),24.0
Shibli N. Damus,0.8549 (0.1036),0.6591 (0.2479),0.6955 (0.1567),103.0
Naoum Mokarzel,0.6667 (0.4714),0.0704 (0.0500),0.1273 (0.0903),18.0
Eissa alKhouri,0.8845 (0.1098),0.4309 (0.2484),0.5204 (0.1733),43.0
Girgi Dimitri Sursock,0.2402 (0.0584),0.7238 (0.1052),0.3551 (0.0633),7.0
Felix Faris,0.5766 (0.2257),0.8089 (0.0929),0.6379 (0.1753),151.0
May Ziadeh,0.0928 (0.0644),0.2553 (0.1906),0.1262 (0.1009),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5236 (0.3286),0.4698 (0.1555),0.4574 (0.2633),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0512 (0.0371),0.0769 (0.0628),0.0608 (0.0460),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5347 (0.3939),0.3867 (0.2739),0.4468 (0.3199),25.0
Daoud Mujaes,0.9298 (0.0992),0.5000 (0.2526),0.5966 (0.1830),18.0
Bechara El Khoury,0.1951 (0.0730),0.6042 (0.2811),0.2942 (0.1163),8.0
Youssef Ibrahim Yazbek,0.3222 (0.2885),0.1643 (0.1437),0.2176 (0.1918),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.9104 (0.0686),0.9518 (0.0373),49.0
Elie Maroun Khalil,0.8585 (0.0557),0.7014 (0.0514),0.7689 (0.0222),22.0
Aziz Khoury,0.6364 (0.4515),0.2659 (0.3189),0.3179 (0.3466),14.0
Ghnatyos Mbarak,0.1429 (0.2020),0.0476 (0.0673),0.0714 (0.1010),21.0
Botros Feghaly,0.4444 (0.4157),0.0298 (0.0212),0.0550 (0.0395),24.0
Toufiq Wehbeh,0.7413 (0.0975),0.7583 (0.2147),0.7156 (0.0803),21.0
Bishop Mkhayel Akhrass,0.6209 (0.1621),0.7316 (0.3175),0.6461 (0.2268),17.0
George Saad,0.6054 (0.4289),0.1890 (0.1746),0.2773 (0.2383),38.0
Bishop Aghnathios Mbarak,0.6113 (0.1059),0.5531 (0.2469),0.5685 (0.1842),15.0
Fathallah Khoury,0.2418 (0.2131),0.3762 (0.2882),0.2916 (0.2434),14.0
Elias Sarkis,0.4925 (0.1413),0.8436 (0.0400),0.6142 (0.1191),20.0
Fouad Chehab,1.0000 (0.0000),0.9472 (0.0396),0.9725 (0.0207),11.0
Hanna Moussa,0.8656 (0.0828),0.9790 (0.0297),0.9153 (0.0312),25.0
Habib Massoud,0.2948 (0.2195),0.6410 (0.4544),0.4019 (0.2929),26.0
Zaghloul,0.9123 (0.0603),0.9807 (0.0272),0.9432 (0.0198),25.0
Father Youhanna Habib Baysari,0.9899 (0.0143),0.6767 (0.1384),0.7968 (0.0969),23.0
Mkhayel Daher,0.3636 (0.4515),0.0278 (0.0196),0.0457 (0.0336),24.0
Father Youssef Hanna & Father Botros Hasan,0.1111 (0.1571),0.0145 (0.0205),0.0256 (0.0363),23.0
Father Botros Hasan,0.5753 (0.0749),0.7215 (0.0701),0.6357 (0.0570),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.5734 (0.2634),0.7066 (0.1434),0.6035 (0.1663),39.0
Father Mikhael Hanna,0.2667 (0.3771),0.0404 (0.0571),0.0702 (0.0992),33.0
Jean Philipp Kmeid,0.6192 (0.1640),0.9710 (0.0410),0.7396 (0.1122),27.0
Michel Saykali,0.5661 (0.2017),0.9762 (0.0337),0.6983 (0.1566),14.0
Hanna Ghayth (Juan Gait),0.6729 (0.0878),0.9348 (0.0650),0.7817 (0.0827),13.0
Yousef Hobeiche,0.4641 (0.2492),0.9355 (0.0104),0.5824 (0.2013),17.0
Angele Ellis,0.2083 (0.2946),0.0617 (0.0873),0.0952 (0.1347),27.0
Khalil Yossuf Nader Raad,0.2248 (0.0597),0.9478 (0.0456),0.3607 (0.0815),22.0
Mansour Eid,0.7634 (0.1196),0.7231 (0.2102),0.7040 (0.0818),93.0
Mkhayel Meneem,0.8948 (0.0828),0.8267 (0.0499),0.8563 (0.0453),25.0
Constantine Elias,0.7089 (0.0490),0.6412 (0.2414),0.6392 (0.1514),17.0
Maurice Gemayel,0.0979 (0.0926),0.1162 (0.0824),0.1000 (0.0816),11.0
Murshid Habashi,0.7752 (0.0524),0.5082 (0.0758),0.6127 (0.0699),26.0
Michel Kahwaji,0.5117 (0.2514),0.9740 (0.0368),0.6296 (0.2037),141.0
Mayor of Kfarshima,0.2563 (0.1349),0.5360 (0.3573),0.3421 (0.1932),33.0
Sohayl Tohmeh,0.5387 (0.0899),0.7601 (0.1250),0.6305 (0.1046),36.0
Shukri Kanaan,0.5756 (0.1902),0.4343 (0.2000),0.4190 (0.1201),33.0
Emily Nasrallah,0.9209 (0.0629),1.0000 (0.0000),0.9577 (0.0340),11.0
Joseph Oussani,0.9656 (0.0325),0.9978 (0.0031),0.9811 (0.0161),153.0
Father Boulos El-Mender,0.1891 (0.1593),0.2234 (0.0526),0.1825 (0.1106),20.0
Salah Tizani,0.7560 (0.2203),0.9954 (0.0044),0.8389 (0.1581),297.0
