,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.30303030303030304,0.9090909090909091,0.45454545454545453,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.7741935483870968,1.0,0.8727272727272727,24.0
Shibli N. Damus,1.0,0.6796116504854369,0.8092485549132948,103.0
Naoum Mokarzel,0.7857142857142857,0.6111111111111112,0.6875,18.0
Eissa alKhouri,0.9545454545454546,0.4883720930232558,0.6461538461538462,43.0
Girgi Dimitri Sursock,0.22727272727272727,0.7142857142857143,0.3448275862068966,7.0
Felix Faris,0.7666666666666667,0.9139072847682119,0.8338368580060423,151.0
May Ziadeh,0.3333333333333333,0.6818181818181818,0.44776119402985076,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8153846153846154,0.6794871794871795,0.7412587412587412,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.88,0.88,0.88,25.0
Daoud Mujaes,0.6666666666666666,1.0,0.8,18.0
Bechara El Khoury,0.23076923076923078,0.375,0.2857142857142857,8.0
Youssef Ibrahim Yazbek,0.8421052631578947,0.8,0.8205128205128205,20.0
Elias Abu Shabaki,1.0,0.9183673469387755,0.9574468085106383,49.0
Elie Maroun Khalil,0.9,0.4090909090909091,0.5625,22.0
Aziz Khoury,1.0,0.07142857142857142,0.13333333333333333,14.0
Ghnatyos Mbarak,0.3333333333333333,0.09523809523809523,0.14814814814814814,21.0
Botros Feghaly,0.7272727272727273,0.6666666666666666,0.6956521739130435,24.0
Toufiq Wehbeh,0.8076923076923077,1.0,0.8936170212765957,21.0
Bishop Mkhayel Akhrass,0.7727272727272727,1.0,0.8717948717948718,17.0
George Saad,0.9444444444444444,0.4473684210526316,0.6071428571428571,38.0
Bishop Aghnathios Mbarak,0.75,1.0,0.8571428571428571,15.0
Fathallah Khoury,0.14814814814814814,0.2857142857142857,0.1951219512195122,14.0
Elias Sarkis,0.5277777777777778,0.95,0.6785714285714286,20.0
Fouad Chehab,1.0,1.0,1.0,11.0
Hanna Moussa,0.8620689655172413,1.0,0.9259259259259259,25.0
Habib Massoud,0.6842105263157895,1.0,0.8125,26.0
Zaghloul,0.9259259259259259,1.0,0.9615384615384616,25.0
Father Youhanna Habib Baysari,1.0,1.0,1.0,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.7619047619047619,0.8421052631578947,0.8,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.9142857142857143,0.8205128205128205,0.8648648648648649,39.0
Father Mikhael Hanna,0.9375,0.45454545454545453,0.6122448979591837,33.0
Jean Philipp Kmeid,0.4153846153846154,1.0,0.5869565217391305,27.0
Michel Saykali,0.30952380952380953,0.9285714285714286,0.4642857142857143,14.0
Hanna Ghayth (Juan Gait),0.6190476190476191,1.0,0.7647058823529411,13.0
Yousef Hobeiche,0.4722222222222222,1.0,0.6415094339622641,17.0
Angele Ellis,0.8,0.4444444444444444,0.5714285714285714,27.0
Khalil Yossuf Nader Raad,0.5238095238095238,1.0,0.6875,22.0
Mansour Eid,0.9375,0.4838709677419355,0.6382978723404256,93.0
Mkhayel Meneem,1.0,0.92,0.9583333333333334,25.0
Constantine Elias,0.7333333333333333,0.6470588235294118,0.6875,17.0
Maurice Gemayel,0.625,0.45454545454545453,0.5263157894736842,11.0
Murshid Habashi,0.9047619047619048,0.7307692307692307,0.8085106382978723,26.0
Michel Kahwaji,0.8933333333333333,0.950354609929078,0.9209621993127147,141.0
Mayor of Kfarshima,0.5151515151515151,0.5151515151515151,0.5151515151515151,33.0
Sohayl Tohmeh,0.6,0.75,0.6666666666666666,36.0
Shukri Kanaan,0.6,0.8181818181818182,0.6923076923076923,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9807692307692307,1.0,0.9902912621359223,153.0
Father Boulos El-Mender,0.12903225806451613,0.2,0.1568627450980392,20.0
Salah Tizani,0.9736842105263158,0.9966329966329966,0.9850249584026622,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.21052631578947367,0.48,0.2926829268292683,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.023809523809523808,0.03225806451612903,0.0273972602739726,31.0
Toufic El Bacha,0.8695652173913043,1.0,0.9302325581395349,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.8387096774193549,0.43333333333333335,0.5714285714285714,60.0
Bishop Youssef Darian,0.9361702127659575,0.8301886792452831,0.88,53.0
Youssef Hanna El-Sawda,0.5526315789473685,1.0,0.711864406779661,21.0
accuracy,0.7217953902143146,0.7217953902143146,0.7217953902143146,0.7217953902143146
macro avg,0.5780414098918965,0.609987089084622,0.5616598413401463,2473.0
weighted avg,0.7380003150625072,0.7217953902143146,0.7066299162290006,2473.0
