,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.3333333333333333,0.5,18.0
Your son George,0.5769230769230769,1.0,0.7317073170731707,15.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,22.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,1.0,0.740625,0.8509874326750448,320.0
Shibli N. Damus,0.8421052631578947,0.8,0.8205128205128205,20.0
Naoum Mokarzel,0.0,0.0,0.0,20.0
Eissa alKhouri,0.8928571428571429,0.6944444444444444,0.78125,36.0
Girgi Dimitri Sursock,0.4642857142857143,0.9285714285714286,0.6190476190476191,14.0
Felix Faris,0.25,1.0,0.4,24.0
May Ziadeh,0.09615384615384616,0.38461538461538464,0.15384615384615385,13.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.12,0.46153846153846156,0.19047619047619047,13.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,17.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
Bechara El Khoury,0.24444444444444444,0.6875,0.36065573770491804,16.0
Youssef Ibrahim Yazbek,1.0,0.08333333333333333,0.15384615384615385,24.0
Elias Abu Shabaki,1.0,0.8888888888888888,0.9411764705882353,18.0
Elie Maroun Khalil,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0
Aziz Khoury,1.0,0.08333333333333333,0.15384615384615385,12.0
Ghnatyos Mbarak,0.0,0.0,0.0,37.0
Botros Feghaly,0.0,0.0,0.0,21.0
Toufiq Wehbeh,0.8793103448275862,0.8360655737704918,0.8571428571428571,61.0
Bishop Mkhayel Akhrass,0.7272727272727273,0.38095238095238093,0.5,21.0
George Saad,0.5,0.10526315789473684,0.17391304347826086,19.0
Bishop Aghnathios Mbarak,0.47058823529411764,0.9411764705882353,0.6274509803921569,17.0
Fathallah Khoury,0.5625,0.45,0.5,20.0
Elias Sarkis,0.4666666666666667,0.875,0.6086956521739131,16.0
Fouad Chehab,1.0,0.9047619047619048,0.95,21.0
Hanna Moussa,0.6774193548387096,1.0,0.8076923076923077,21.0
Habib Massoud,0.0,0.0,0.0,34.0
Zaghloul,0.9937888198757764,0.9248554913294798,0.9580838323353293,173.0
Father Youhanna Habib Baysari,0.9411764705882353,0.6956521739130435,0.8,23.0
Mkhayel Daher,0.0,0.0,0.0,25.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.4666666666666667,0.875,0.6086956521739131,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.42857142857142855,0.8333333333333334,0.5660377358490566,18.0
Father Mikhael Hanna,0.0,0.0,0.0,17.0
Jean Philipp Kmeid,0.8388625592417062,0.9619565217391305,0.8962025316455696,184.0
Michel Saykali,0.7391304347826086,1.0,0.85,17.0
Hanna Ghayth (Juan Gait),0.6,1.0,0.75,15.0
Yousef Hobeiche,0.425,0.9444444444444444,0.5862068965517241,18.0
Angele Ellis,0.0,0.0,0.0,10.0
Khalil Yossuf Nader Raad,0.425531914893617,1.0,0.5970149253731343,20.0
Mansour Eid,1.0,0.9130434782608695,0.9545454545454546,23.0
Mkhayel Meneem,0.9545454545454546,0.84,0.8936170212765957,25.0
Constantine Elias,0.6875,0.55,0.6111111111111112,20.0
Maurice Gemayel,0.0,0.0,0.0,11.0
Murshid Habashi,0.8333333333333334,0.6818181818181818,0.75,22.0
Michel Kahwaji,0.4411764705882353,1.0,0.6122448979591837,15.0
Mayor of Kfarshima,0.3163265306122449,0.96875,0.47692307692307695,32.0
Sohayl Tohmeh,0.7532467532467533,0.8787878787878788,0.8111888111888111,66.0
Shukri Kanaan,1.0,0.21212121212121213,0.35,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9915254237288136,1.0,0.9957446808510638,117.0
Father Boulos El-Mender,0.13953488372093023,0.6,0.22641509433962265,20.0
Salah Tizani,0.9205298013245033,0.972027972027972,0.9455782312925171,286.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.4,0.08,0.13333333333333333,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,20.0
Krouger Tobia Attallah,0.43636363636363634,0.9230769230769231,0.5925925925925926,26.0
Toufic El Bacha,0.782608695652174,0.9,0.8372093023255814,20.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.1875,0.9230769230769231,0.3116883116883117,13.0
Bishop Youssef Darian,0.0,0.0,0.0,15.0
Youssef Hanna El-Sawda,0.782608695652174,0.9,0.8372093023255814,20.0
accuracy,0.6769106348564496,0.6769106348564496,0.6769106348564496,0.6769106348564496
macro avg,0.4624930587473606,0.5154064164290658,0.4385359744836905,2473.0
weighted avg,0.6756715638144548,0.6769106348564496,0.6444585301470351,2473.0
