Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2500 (0.3536),0.3158 (0.4466),0.2791 (0.3947),19
Sister Victor N. Khoury,0.6667 (0.4714),0.3704 (0.4475),0.4000 (0.4320),20
Your son George,0.4707 (0.1640),1.0000 (0.0000),0.6216 (0.1667),11
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21
Patriarch Elias Hoayek,0.0667 (0.0943),0.0370 (0.0524),0.0476 (0.0673),16
Bishop Boulos Akl,0.5000 (0.4082),0.0881 (0.0770),0.1385 (0.1114),16
Ameen Rihani,0.8947 (0.1024),0.8747 (0.1509),0.8689 (0.0713),24
Shibli N. Damus,0.9215 (0.0406),0.9316 (0.0647),0.9235 (0.0130),103
Naoum Mokarzel,0.6316 (0.4487),0.5833 (0.4130),0.6064 (0.4299),18
Eissa alKhouri,0.8270 (0.1703),0.9302 (0.0987),0.8731 (0.1413),43
Girgi Dimitri Sursock,0.5036 (0.1678),0.9048 (0.0673),0.6214 (0.1389),7
Felix Faris,0.6453 (0.1945),0.9064 (0.0942),0.7363 (0.1489),151
May Ziadeh,0.2480 (0.1763),0.6515 (0.4611),0.3591 (0.2549),22
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7230 (0.2409),0.7416 (0.3212),0.6342 (0.2024),78
Mohammed Amin al-Husseini ,0.6667 (0.4714),0.3185 (0.2853),0.4116 (0.3340),13
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13
Ibrahim Mejahid Al-Jaza'eri,1.0000 (0.0000),0.7200 (0.3394),0.7821 (0.2793),25
Daoud Mujaes,0.5591 (0.2822),0.8148 (0.2619),0.6535 (0.2926),18
Bechara El Khoury,0.7542 (0.2110),0.9583 (0.0589),0.8255 (0.1416),8
Youssef Ibrahim Yazbek,1.0000 (0.0000),0.5956 (0.2156),0.7253 (0.1574),20
Elias Abu Shabaki,0.9931 (0.0098),0.9864 (0.0192),0.9897 (0.0146),49
Elie Maroun Khalil,0.9247 (0.0140),1.0000 (0.0000),0.9608 (0.0075),22
Aziz Khoury,0.6667 (0.4714),0.1905 (0.2208),0.2667 (0.2880),14
Ghnatyos Mbarak,0.6000 (0.4320),0.0995 (0.0780),0.1702 (0.1314),21
Botros Feghaly,0.9583 (0.0589),0.9702 (0.0212),0.9626 (0.0207),24
Toufiq Wehbeh,0.9801 (0.0179),1.0000 (0.0000),0.9899 (0.0092),21
Bishop Mkhayel Akhrass,0.8817 (0.1673),0.5897 (0.3546),0.5984 (0.3036),17
George Saad,0.8040 (0.1755),0.9375 (0.0884),0.8618 (0.1423),38
Bishop Aghnathios Mbarak,0.7754 (0.1601),0.8304 (0.2398),0.8002 (0.1992),15
Fathallah Khoury,0.5473 (0.4016),0.6667 (0.4714),0.5973 (0.4273),14
Elias Sarkis,0.8958 (0.1062),0.9473 (0.0072),0.9173 (0.0567),20
Fouad Chehab,1.0000 (0.0000),0.9965 (0.0050),0.9982 (0.0025),11
Hanna Moussa,1.0000 (0.0000),0.9978 (0.0031),0.9989 (0.0016),25
Habib Massoud,0.8145 (0.1733),0.9608 (0.0555),0.8680 (0.1055),26
Zaghloul,0.9872 (0.0181),0.9981 (0.0027),0.9925 (0.0086),25
Father Youhanna Habib Baysari,0.9733 (0.0377),0.9253 (0.1057),0.9440 (0.0525),23
Mkhayel Daher,0.1217 (0.0919),0.0694 (0.0708),0.0850 (0.0791),24
Father Youssef Hanna & Father Botros Hasan,0.2529 (0.3576),0.3188 (0.4509),0.2821 (0.3989),23
Father Botros Hasan,0.2428 (0.1358),0.6667 (0.4423),0.3416 (0.2150),19
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21
Father Mkhayel Zreiby,0.5535 (0.3509),0.6994 (0.3865),0.6129 (0.3722),39
Father Mikhael Hanna,0.2833 (0.4007),0.1717 (0.2428),0.2138 (0.3024),33
Jean Philipp Kmeid,0.9982 (0.0025),1.0000 (0.0000),0.9991 (0.0013),27
Michel Saykali,0.6967 (0.2721),1.0000 (0.0000),0.7882 (0.2069),14
Hanna Ghayth (Juan Gait),0.8343 (0.0182),1.0000 (0.0000),0.9096 (0.0108),13
Yousef Hobeiche,0.9952 (0.0067),0.9976 (0.0034),0.9964 (0.0051),17
Angele Ellis,0.9205 (0.0866),0.6123 (0.3581),0.6478 (0.3220),27
Khalil Yossuf Nader Raad,0.8944 (0.0442),1.0000 (0.0000),0.9437 (0.0243),22
Mansour Eid,0.8085 (0.2203),0.9785 (0.0304),0.8657 (0.1436),93
Mkhayel Meneem,0.9515 (0.0443),0.9733 (0.0377),0.9607 (0.0152),25
Constantine Elias,0.8032 (0.2401),0.9833 (0.0236),0.8602 (0.1593),17
Maurice Gemayel,0.6582 (0.1927),0.9091 (0.0742),0.7366 (0.1263),11
Murshid Habashi,0.8674 (0.1030),0.9720 (0.0200),0.9139 (0.0639),26
Michel Kahwaji,0.7761 (0.1116),0.8983 (0.1438),0.8156 (0.0575),141
Mayor of Kfarshima,0.3136 (0.1552),0.5363 (0.3703),0.3891 (0.2292),33
Sohayl Tohmeh,0.8723 (0.1406),1.0000 (0.0000),0.9254 (0.0852),36
Shukri Kanaan,0.5767 (0.3051),0.4444 (0.0756),0.4870 (0.1608),33
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11
Joseph Oussani,0.9750 (0.0180),0.9972 (0.0040),0.9859 (0.0100),153
Father Boulos El-Mender,0.5584 (0.3195),0.5135 (0.2864),0.5147 (0.2636),20
Salah Tizani,0.9876 (0.0131),1.0000 (0.0000),0.9937 (0.0067),297
Father Elias Bassil,0.1875 (0.2652),0.2500 (0.3536),0.2143 (0.3030),17
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13
Assad Darouich Zacharias,0.3148 (0.4452),0.3333 (0.4714),0.3238 (0.4579),25
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10
Krouger Tobia Attallah,0.4048 (0.1658),0.8602 (0.1977),0.5401 (0.1762),31
Toufic El Bacha,0.6914 (0.2512),0.9804 (0.0277),0.7805 (0.1710),40
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.3333 (0.4714),0.3333 (0.4714),17
Youssef Fadlallah Salemeh,0.7658 (0.2791),0.9111 (0.1257),0.7844 (0.1803),60
Bishop Youssef Darian,0.5244 (0.3763),0.5346 (0.4112),0.5135 (0.3663),53
Youssef Hanna El-Sawda,0.5676 (0.2800),0.9580 (0.0594),0.6653 (0.1783),21
accuracy,0.7707 (0.0111),0.7707 (0.0111),0.7707 (0.0111),0.778811161
macro avg,0.6460 (0.0065),0.6865 (0.0135),0.6317 (0.0141),2473
weighted avg,0.7712 (0.0180),0.7707 (0.0111),0.7468 (0.0136),2473
