,precision,recall,f1-score,support
Your nephew Maroun,0.75,0.9473684210526315,0.8372093023255814,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.5961538461538461,1.0,0.7469879518072289,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.2,0.1111111111111111,0.14285714285714285,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
Shibli N. Damus,0.8823529411764706,1.0,0.9375,15.0
Naoum Mokarzel,1.0,0.9,0.9473684210526315,20.0
Eissa alKhouri,0.9473684210526315,1.0,0.972972972972973,18.0
Girgi Dimitri Sursock,0.2727272727272727,1.0,0.42857142857142855,15.0
Felix Faris,0.6382978723404256,0.7741935483870968,0.6997084548104956,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.896551724137931,0.28888888888888886,0.4369747899159664,90.0
Mohammed Amin al-Husseini ,1.0,0.2631578947368421,0.4166666666666667,19.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.96,0.9795918367346939,25.0
Daoud Mujaes,0.16666666666666666,0.4444444444444444,0.24242424242424243,18.0
Bechara El Khoury,0.48484848484848486,1.0,0.6530612244897959,16.0
Youssef Ibrahim Yazbek,1.0,0.42857142857142855,0.6,28.0
Elias Abu Shabaki,1.0,1.0,1.0,13.0
Elie Maroun Khalil,0.9444444444444444,1.0,0.9714285714285714,17.0
Aziz Khoury,1.0,0.07142857142857142,0.13333333333333333,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,0.875,1.0,0.9333333333333333,21.0
Toufiq Wehbeh,0.9565217391304348,1.0,0.9777777777777777,22.0
Bishop Mkhayel Akhrass,0.6451612903225806,0.9090909090909091,0.7547169811320755,22.0
George Saad,0.5571428571428572,0.8125,0.6610169491525424,48.0
Bishop Aghnathios Mbarak,0.5490196078431373,0.49122807017543857,0.5185185185185185,57.0
Fathallah Khoury,0.6896551724137931,1.0,0.8163265306122449,20.0
Elias Sarkis,0.75,0.9545454545454546,0.84,22.0
Fouad Chehab,1.0,0.9894736842105263,0.9947089947089947,95.0
Hanna Moussa,1.0,0.9933774834437086,0.9966777408637874,302.0
Habib Massoud,0.5714285714285714,1.0,0.7272727272727273,20.0
Zaghloul,1.0,1.0,1.0,17.0
Father Youhanna Habib Baysari,1.0,0.7758620689655172,0.8737864077669902,58.0
Mkhayel Daher,0.14285714285714285,0.041666666666666664,0.06451612903225806,24.0
Father Youssef Hanna & Father Botros Hasan,0.7586206896551724,0.9565217391304348,0.8461538461538461,23.0
Father Botros Hasan,0.07142857142857142,0.041666666666666664,0.05263157894736842,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.06060606060606061,0.15384615384615385,0.08695652173913043,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.75,1.0,0.8571428571428571,24.0
Hanna Ghayth (Juan Gait),0.8571428571428571,1.0,0.9230769230769231,24.0
Yousef Hobeiche,0.9857142857142858,0.9928057553956835,0.989247311827957,139.0
Angele Ellis,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
Khalil Yossuf Nader Raad,0.8571428571428571,1.0,0.9230769230769231,18.0
Mansour Eid,0.5,1.0,0.6666666666666666,23.0
Mkhayel Meneem,0.9615384615384616,1.0,0.9803921568627451,25.0
Constantine Elias,0.46511627906976744,1.0,0.6349206349206349,20.0
Maurice Gemayel,0.3870967741935484,1.0,0.5581395348837209,12.0
Murshid Habashi,0.7241379310344828,0.9545454545454546,0.8235294117647058,22.0
Michel Kahwaji,0.8125,1.0,0.896551724137931,13.0
Mayor of Kfarshima,0.12,0.09375,0.10526315789473684,32.0
Sohayl Tohmeh,0.9705882352941176,1.0,0.9850746268656716,33.0
Shukri Kanaan,0.2926829268292683,0.36363636363636365,0.32432432432432434,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9583333333333334,1.0,0.9787234042553191,23.0
Father Boulos El-Mender,0.9090909090909091,0.5405405405405406,0.6779661016949152,74.0
Salah Tizani,1.0,1.0,1.0,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.9444444444444444,1.0,0.9714285714285714,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.6363636363636364,1.0,0.7777777777777778,28.0
Toufic El Bacha,1.0,0.9411764705882353,0.9696969696969697,17.0
Catherine Yazbek Al-Badawi,1.0,1.0,1.0,17.0
Youssef Fadlallah Salemeh,0.948051948051948,1.0,0.9733333333333334,73.0
Bishop Youssef Darian,0.7083333333333334,1.0,0.8292682926829268,17.0
Youssef Hanna El-Sawda,0.9629629629629629,0.8739495798319328,0.9162995594713657,119.0
accuracy,0.7549615228837586,0.7549615228837586,0.7549615228837586,0.7549615228837586
macro avg,0.6490305841548398,0.703617067005142,0.6472941595513082,2469.0
weighted avg,0.746217775222007,0.7549615228837586,0.7287379127411459,2469.0
