Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.1111 (0.1571),0.0351 (0.0496),0.0533 (0.0754),19.0
Sister Victor N. Khoury,0.9231 (0.1088),0.8889 (0.1571),0.8899 (0.0829),20.0
Your son George,0.6407 (0.1183),1.0000 (0.0000),0.7747 (0.0881),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.2500 (0.3536),0.0556 (0.0786),0.0909 (0.1286),16.0
Bishop Boulos Akl,0.1333 (0.1886),0.0833 (0.1179),0.1026 (0.1450),16.0
Ameen Rihani,0.8760 (0.1729),0.9656 (0.0486),0.9061 (0.0960),24.0
Shibli N. Damus,0.7788 (0.2261),0.9579 (0.0595),0.8334 (0.1404),103.0
Naoum Mokarzel,0.6491 (0.4595),0.4500 (0.3674),0.5146 (0.3842),18.0
Eissa alKhouri,0.6853 (0.0968),0.8682 (0.1864),0.7643 (0.1330),43.0
Girgi Dimitri Sursock,0.3240 (0.0870),0.9048 (0.0673),0.4678 (0.0846),7.0
Felix Faris,0.7567 (0.0496),0.9064 (0.0893),0.8233 (0.0594),151.0
May Ziadeh,0.2926 (0.2452),0.5746 (0.4133),0.3817 (0.3014),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7420 (0.2264),0.6405 (0.3298),0.5872 (0.2405),78.0
Mohammed Amin al-Husseini ,0.2857 (0.4041),0.1538 (0.2176),0.2000 (0.2828),13.0
Prof. Ign. Kratchkovsky,0.2611 (0.3460),0.1026 (0.0959),0.1332 (0.1566),13.0
Ibrahim Mejahid Al-Jaza'eri,1.0000 (0.0000),0.8667 (0.1360),0.9226 (0.0818),25.0
Daoud Mujaes,0.6926 (0.2529),0.8148 (0.2619),0.7471 (0.2553),18.0
Bechara El Khoury,0.8304 (0.0731),0.9583 (0.0589),0.8861 (0.0412),8.0
Youssef Ibrahim Yazbek,0.9867 (0.0189),0.9218 (0.0459),0.9529 (0.0335),20.0
Elias Abu Shabaki,0.9235 (0.1082),0.9864 (0.0192),0.9515 (0.0686),49.0
Elie Maroun Khalil,0.9583 (0.0589),1.0000 (0.0000),0.9778 (0.0314),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.3333 (0.4714),0.0794 (0.1122),0.1282 (0.1813),21.0
Botros Feghaly,0.9630 (0.0524),0.9365 (0.0594),0.9466 (0.0218),24.0
Toufiq Wehbeh,0.9701 (0.0422),1.0000 (0.0000),0.9844 (0.0221),21.0
Bishop Mkhayel Akhrass,0.5484 (0.4139),0.5971 (0.4224),0.5641 (0.4058),17.0
George Saad,0.7216 (0.1716),0.9236 (0.1080),0.8051 (0.1396),38.0
Bishop Aghnathios Mbarak,0.8118 (0.1891),0.8187 (0.2564),0.8125 (0.2224),15.0
Fathallah Khoury,0.0833 (0.1179),0.0714 (0.1010),0.0769 (0.1088),14.0
Elias Sarkis,0.9444 (0.0786),0.9640 (0.0264),0.9512 (0.0300),20.0
Fouad Chehab,0.9931 (0.0098),0.9965 (0.0050),0.9948 (0.0074),11.0
Hanna Moussa,0.9720 (0.0200),0.9967 (0.0047),0.9840 (0.0079),25.0
Habib Massoud,0.8984 (0.1117),0.9902 (0.0139),0.9377 (0.0604),26.0
Zaghloul,0.9643 (0.0505),0.9981 (0.0027),0.9802 (0.0260),25.0
Father Youhanna Habib Baysari,0.9222 (0.1100),0.9310 (0.0975),0.9175 (0.0587),23.0
Mkhayel Daher,0.0351 (0.0496),0.0278 (0.0393),0.0310 (0.0439),24.0
Father Youssef Hanna & Father Botros Hasan,0.1707 (0.2415),0.3043 (0.4304),0.2188 (0.3094),23.0
Father Botros Hasan,0.3314 (0.0890),0.7917 (0.2657),0.4268 (0.0248),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4296 (0.2722),0.6994 (0.3865),0.5285 (0.3171),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0101 (0.0143),0.0196 (0.0277),33.0
Jean Philipp Kmeid,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),27.0
Michel Saykali,0.7737 (0.1005),1.0000 (0.0000),0.8688 (0.0645),14.0
Hanna Ghayth (Juan Gait),0.8558 (0.0766),1.0000 (0.0000),0.9204 (0.0456),13.0
Yousef Hobeiche,0.9976 (0.0034),0.9952 (0.0068),0.9964 (0.0051),17.0
Angele Ellis,1.0000 (0.0000),0.5914 (0.0892),0.7392 (0.0709),27.0
Khalil Yossuf Nader Raad,0.9444 (0.0786),0.9815 (0.0262),0.9602 (0.0380),22.0
Mansour Eid,0.7165 (0.2049),0.9857 (0.0203),0.8147 (0.1342),93.0
Mkhayel Meneem,1.0000 (0.0000),0.9467 (0.0377),0.9722 (0.0196),25.0
Constantine Elias,0.7925 (0.2935),0.9833 (0.0236),0.8408 (0.2073),17.0
Maurice Gemayel,0.4942 (0.2399),0.9394 (0.0429),0.6125 (0.1818),11.0
Murshid Habashi,0.9322 (0.0676),0.9848 (0.0214),0.9571 (0.0458),26.0
Michel Kahwaji,0.7822 (0.2299),0.9125 (0.1237),0.8069 (0.1274),141.0
Mayor of Kfarshima,0.4345 (0.0555),0.7229 (0.1968),0.5365 (0.0857),33.0
Sohayl Tohmeh,0.8511 (0.1056),1.0000 (0.0000),0.9161 (0.0595),36.0
Shukri Kanaan,0.6398 (0.2568),0.4040 (0.0143),0.4809 (0.0824),33.0
Emily Nasrallah,0.8958 (0.1473),1.0000 (0.0000),0.9383 (0.0873),11.0
Joseph Oussani,0.9349 (0.0805),1.0000 (0.0000),0.9645 (0.0444),153.0
Father Boulos El-Mender,0.8326 (0.1580),0.8252 (0.1057),0.8151 (0.0942),20.0
Salah Tizani,0.9965 (0.0049),0.9989 (0.0016),0.9977 (0.0022),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.1667 (0.2357),0.1389 (0.1964),0.1515 (0.2143),13.0
Assad Darouich Zacharias,0.1902 (0.2309),0.3467 (0.4623),0.2422 (0.3102),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.4538 (0.1743),0.9140 (0.1217),0.5933 (0.1648),31.0
Toufic El Bacha,0.6720 (0.2416),1.0000 (0.0000),0.7770 (0.1860),40.0
Catherine Yazbek Al-Badawi,0.2963 (0.4190),0.3137 (0.4437),0.3048 (0.4310),17.0
Youssef Fadlallah Salemeh,0.6928 (0.2378),0.9889 (0.0157),0.7873 (0.1822),60.0
Bishop Youssef Darian,0.6045 (0.4300),0.6667 (0.4714),0.6335 (0.4487),53.0
Youssef Hanna El-Sawda,0.8094 (0.1738),0.9692 (0.0436),0.8679 (0.0996),21.0
accuracy,0.7861 (0.0260),0.7861 (0.0260),0.7861 (0.0260),0.8046906591184796
macro avg,0.6238 (0.0291),0.6885 (0.0108),0.6305 (0.0218),2473.0
weighted avg,0.7605 (0.0183),0.7861 (0.0260),0.7547 (0.0229),2473.0
