,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.6666666666666666,0.8,18.0
Your son George,0.7894736842105263,1.0,0.8823529411764706,15.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,22.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.9965277777777778,0.896875,0.944078947368421,320.0
Shibli N. Damus,0.46511627906976744,1.0,0.6349206349206349,20.0
Naoum Mokarzel,1.0,0.45,0.6206896551724138,20.0
Eissa alKhouri,0.782608695652174,1.0,0.8780487804878049,36.0
Girgi Dimitri Sursock,0.4444444444444444,0.8571428571428571,0.5853658536585366,14.0
Felix Faris,0.71875,0.9583333333333334,0.8214285714285714,24.0
May Ziadeh,0.2777777777777778,0.7692307692307693,0.40816326530612246,13.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.42857142857142855,0.9230769230769231,0.5853658536585366,13.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,17.0
Prof. Ign. Kratchkovsky,0.75,0.23076923076923078,0.35294117647058826,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.68,0.8095238095238095,25.0
Daoud Mujaes,0.782608695652174,1.0,0.8780487804878049,18.0
Bechara El Khoury,0.8888888888888888,1.0,0.9411764705882353,16.0
Youssef Ibrahim Yazbek,1.0,0.9583333333333334,0.9787234042553191,24.0
Elias Abu Shabaki,1.0,1.0,1.0,18.0
Elie Maroun Khalil,0.875,1.0,0.9333333333333333,21.0
Aziz Khoury,0.0,0.0,0.0,12.0
Ghnatyos Mbarak,0.0,0.0,0.0,37.0
Botros Feghaly,1.0,0.8571428571428571,0.9230769230769231,21.0
Toufiq Wehbeh,0.9104477611940298,1.0,0.953125,61.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,21.0
George Saad,0.6785714285714286,1.0,0.8085106382978723,19.0
Bishop Aghnathios Mbarak,1.0,1.0,1.0,17.0
Fathallah Khoury,0.0,0.0,0.0,20.0
Elias Sarkis,1.0,0.9375,0.967741935483871,16.0
Fouad Chehab,1.0,1.0,1.0,21.0
Hanna Moussa,0.9545454545454546,1.0,0.9767441860465116,21.0
Habib Massoud,1.0,0.9705882352941176,0.9850746268656716,34.0
Zaghloul,1.0,0.9942196531791907,0.9971014492753624,173.0
Father Youhanna Habib Baysari,1.0,1.0,1.0,23.0
Mkhayel Daher,0.0,0.0,0.0,25.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.24731182795698925,0.9583333333333334,0.39316239316239315,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.5,0.9444444444444444,0.6538461538461539,18.0
Father Mikhael Hanna,0.0,0.0,0.0,17.0
Jean Philipp Kmeid,1.0,1.0,1.0,184.0
Michel Saykali,0.8947368421052632,1.0,0.9444444444444444,17.0
Hanna Ghayth (Juan Gait),0.75,1.0,0.8571428571428571,15.0
Yousef Hobeiche,1.0,1.0,1.0,18.0
Angele Ellis,1.0,0.7,0.8235294117647058,10.0
Khalil Yossuf Nader Raad,0.8333333333333334,1.0,0.9090909090909091,20.0
Mansour Eid,1.0,1.0,1.0,23.0
Mkhayel Meneem,1.0,0.92,0.9583333333333334,25.0
Constantine Elias,1.0,0.95,0.9743589743589743,20.0
Maurice Gemayel,0.3333333333333333,0.9090909090909091,0.4878048780487805,11.0
Murshid Habashi,0.9565217391304348,1.0,0.9777777777777777,22.0
Michel Kahwaji,0.8823529411764706,1.0,0.9375,15.0
Mayor of Kfarshima,0.48484848484848486,1.0,0.6530612244897959,32.0
Sohayl Tohmeh,0.7857142857142857,1.0,0.88,66.0
Shukri Kanaan,1.0,0.42424242424242425,0.5957446808510638,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9831932773109243,1.0,0.9915254237288136,117.0
Father Boulos El-Mender,0.6206896551724138,0.9,0.7346938775510204,20.0
Salah Tizani,0.9896193771626297,1.0,0.9947826086956522,286.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.05555555555555555,0.04,0.046511627906976744,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,20.0
Krouger Tobia Attallah,0.34210526315789475,1.0,0.5098039215686274,26.0
Toufic El Bacha,0.35714285714285715,1.0,0.5263157894736842,20.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.3611111111111111,1.0,0.5306122448979592,13.0
Bishop Youssef Darian,0.0,0.0,0.0,15.0
Youssef Hanna El-Sawda,0.5714285714285714,1.0,0.7272727272727273,20.0
accuracy,0.8042862919530934,0.8042862919530934,0.8042862919530934,0.8042862919530934
macro avg,0.5872159263661468,0.6745914080321181,0.6024345281167531,2473.0
weighted avg,0.7631137306841481,0.8042862919530934,0.7671232426911145,2473.0
