Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.4944 (0.3497),0.2982 (0.2367),0.3638 (0.2702),19.0
Sister Victor N. Khoury,0.9841 (0.0224),0.9444 (0.0786),0.9616 (0.0384),20.0
Your son George,0.3641 (0.1328),0.7747 (0.1610),0.4599 (0.0701),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.2357),0.0522 (0.0456),0.0884 (0.0743),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7933 (0.1476),0.9132 (0.0968),0.8313 (0.0355),24.0
Shibli N. Damus,0.8452 (0.1104),0.5786 (0.2307),0.6372 (0.1656),103.0
Naoum Mokarzel,0.3333 (0.4714),0.1111 (0.1571),0.1667 (0.2357),18.0
Eissa alKhouri,0.9041 (0.0728),0.4539 (0.2606),0.5458 (0.2290),43.0
Girgi Dimitri Sursock,0.2031 (0.0546),0.7000 (0.0765),0.3119 (0.0708),7.0
Felix Faris,0.5648 (0.2207),0.8315 (0.1005),0.6343 (0.1741),151.0
May Ziadeh,0.0745 (0.0714),0.1830 (0.1342),0.1026 (0.0915),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5029 (0.3264),0.4017 (0.1743),0.4126 (0.2588),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0679 (0.0641),0.1282 (0.1307),0.0886 (0.0860),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5030 (0.3858),0.3067 (0.2451),0.3807 (0.2995),25.0
Daoud Mujaes,0.8333 (0.2357),0.4444 (0.2975),0.5472 (0.3275),18.0
Bechara El Khoury,0.1922 (0.0442),0.5625 (0.2552),0.2825 (0.0846),8.0
Youssef Ibrahim Yazbek,0.3322 (0.2833),0.2333 (0.1841),0.2733 (0.2227),20.0
Elias Abu Shabaki,0.9924 (0.0107),0.7854 (0.1636),0.8663 (0.1085),49.0
Elie Maroun Khalil,0.8516 (0.1051),0.5418 (0.0796),0.6562 (0.0606),22.0
Aziz Khoury,0.3333 (0.4714),0.2143 (0.3030),0.2609 (0.3689),14.0
