,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.30303030303030304,0.9090909090909091,0.45454545454545453,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.6486486486486487,1.0,0.7868852459016393,24.0
Shibli N. Damus,1.0,0.2524271844660194,0.40310077519379844,103.0
Naoum Mokarzel,1.0,0.3333333333333333,0.5,18.0
Eissa alKhouri,1.0,0.13953488372093023,0.24489795918367346,43.0
Girgi Dimitri Sursock,0.14285714285714285,0.7142857142857143,0.23809523809523808,7.0
Felix Faris,0.7570621468926554,0.8874172185430463,0.8170731707317073,151.0
May Ziadeh,0.17073170731707318,0.3181818181818182,0.2222222222222222,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8064516129032258,0.6410256410256411,0.7142857142857143,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.05,0.07692307692307693,0.06060606060606061,13.0
Ibrahim Mejahid Al-Jaza'eri,0.9375,0.6,0.7317073170731707,25.0
Daoud Mujaes,1.0,0.7777777777777778,0.875,18.0
Bechara El Khoury,0.14285714285714285,0.25,0.18181818181818182,8.0
Youssef Ibrahim Yazbek,0.6923076923076923,0.45,0.5454545454545454,20.0
Elias Abu Shabaki,0.9772727272727273,0.8775510204081632,0.9247311827956989,49.0
Elie Maroun Khalil,0.7692307692307693,0.45454545454545453,0.5714285714285714,22.0
Aziz Khoury,1.0,0.6428571428571429,0.782608695652174,14.0
Ghnatyos Mbarak,0.6666666666666666,0.19047619047619047,0.2962962962962963,21.0
Botros Feghaly,1.0,0.16666666666666666,0.2857142857142857,24.0
Toufiq Wehbeh,0.65625,1.0,0.7924528301886793,21.0
Bishop Mkhayel Akhrass,0.75,0.8823529411764706,0.8108108108108109,17.0
George Saad,0.9166666666666666,0.2894736842105263,0.44,38.0
Bishop Aghnathios Mbarak,0.7142857142857143,1.0,0.8333333333333334,15.0
Fathallah Khoury,0.3076923076923077,0.2857142857142857,0.2962962962962963,14.0
Elias Sarkis,0.4864864864864865,0.9,0.631578947368421,20.0
Fouad Chehab,1.0,0.9090909090909091,0.9523809523809523,11.0
Hanna Moussa,0.8064516129032258,1.0,0.8928571428571429,25.0
Habib Massoud,0.5777777777777777,1.0,0.7323943661971831,26.0
Zaghloul,0.9259259259259259,1.0,0.9615384615384616,25.0
Father Youhanna Habib Baysari,1.0,1.0,1.0,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.8,0.8421052631578947,0.8205128205128205,19.0
Father Youssef Hajj,0.2,0.047619047619047616,0.07692307692307693,21.0
Father Mkhayel Zreiby,1.0,0.8205128205128205,0.9014084507042254,39.0
Father Mikhael Hanna,0.8333333333333334,0.15151515151515152,0.2564102564102564,33.0
Jean Philipp Kmeid,0.42857142857142855,1.0,0.6,27.0
Michel Saykali,0.34146341463414637,1.0,0.509090909090909,14.0
Hanna Ghayth (Juan Gait),0.6666666666666666,0.9230769230769231,0.7741935483870968,13.0
Yousef Hobeiche,0.26229508196721313,0.9411764705882353,0.41025641025641024,17.0
Angele Ellis,0.8,0.2962962962962963,0.43243243243243246,27.0
Khalil Yossuf Nader Raad,0.19801980198019803,0.9090909090909091,0.3252032520325203,22.0
Mansour Eid,0.8666666666666667,0.41935483870967744,0.5652173913043478,93.0
Mkhayel Meneem,1.0,0.96,0.9795918367346939,25.0
Constantine Elias,0.75,0.8823529411764706,0.8108108108108109,17.0
Maurice Gemayel,0.16666666666666666,0.18181818181818182,0.17391304347826086,11.0
Murshid Habashi,0.9047619047619048,0.7307692307692307,0.8085106382978723,26.0
Michel Kahwaji,0.868421052631579,0.9361702127659575,0.9010238907849829,141.0
Mayor of Kfarshima,0.32653061224489793,0.48484848484848486,0.3902439024390244,33.0
Sohayl Tohmeh,0.38333333333333336,0.6388888888888888,0.4791666666666667,36.0
Shukri Kanaan,0.4888888888888889,0.6666666666666666,0.5641025641025641,33.0
Emily Nasrallah,0.7333333333333333,1.0,0.8461538461538461,11.0
Joseph Oussani,0.993421052631579,0.9869281045751634,0.9901639344262295,153.0
Father Boulos El-Mender,0.044444444444444446,0.1,0.06153846153846154,20.0
Salah Tizani,0.9135802469135802,0.9966329966329966,0.9533011272141707,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.17777777777777778,0.32,0.22857142857142856,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.058823529411764705,0.06451612903225806,0.06153846153846154,31.0
Toufic El Bacha,0.8260869565217391,0.95,0.8837209302325582,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.7254901960784313,0.6166666666666667,0.6666666666666666,60.0
Bishop Youssef Darian,0.9142857142857143,0.6037735849056604,0.7272727272727273,53.0
Youssef Hanna El-Sawda,0.5675675675675675,1.0,0.7241379310344828,21.0
accuracy,0.6603315810756166,0.6603315810756166,0.6603315810756166,0.6603315810756166
macro avg,0.5555856721554226,0.5552043050958826,0.5056646686477143,2473.0
weighted avg,0.7120530276063567,0.6603315810756166,0.6415146700216338,2473.0
