Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3083 (0.3514),0.0877 (0.0895),0.1358 (0.1429),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.8704 (0.1833),0.9195 (0.1138),20.0
Your son George,0.3501 (0.1305),0.7754 (0.2064),0.4410 (0.0987),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.6936 (0.2108),0.9038 (0.1099),0.7515 (0.0727),24.0
Shibli N. Damus,0.8005 (0.0596),0.5897 (0.2544),0.6380 (0.1857),103.0
Naoum Mokarzel,0.3333 (0.4714),0.0185 (0.0262),0.0351 (0.0496),18.0
Eissa alKhouri,0.8971 (0.1067),0.4014 (0.2362),0.4933 (0.2322),43.0
Girgi Dimitri Sursock,0.2246 (0.0543),0.6302 (0.0744),0.3280 (0.0609),7.0
Felix Faris,0.5671 (0.2608),0.8301 (0.1228),0.6156 (0.2082),151.0
May Ziadeh,0.0882 (0.0629),0.3415 (0.2557),0.1398 (0.1005),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4362 (0.2593),0.4040 (0.2052),0.3993 (0.2352),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5281 (0.3772),0.1867 (0.1360),0.2731 (0.1952),25.0
Daoud Mujaes,0.5982 (0.4243),0.5000 (0.3600),0.5441 (0.3885),18.0
Bechara El Khoury,0.2127 (0.0562),0.5833 (0.2412),0.3095 (0.0963),8.0
Youssef Ibrahim Yazbek,0.6667 (0.4714),0.0639 (0.0632),0.1136 (0.1091),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.8187 (0.0744),0.8985 (0.0439),49.0
Elie Maroun Khalil,0.9583 (0.0589),0.3018 (0.1393),0.4394 (0.1720),22.0
Aziz Khoury,0.5000 (0.4082),0.0516 (0.0368),0.0921 (0.0652),14.0
Ghnatyos Mbarak,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Botros Feghaly,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Toufiq Wehbeh,0.6805 (0.1683),0.8912 (0.1217),0.7443 (0.0461),21.0
Bishop Mkhayel Akhrass,0.6167 (0.1650),0.6999 (0.3621),0.6133 (0.2635),17.0
George Saad,0.9333 (0.0943),0.1557 (0.0389),0.2627 (0.0501),38.0
Bishop Aghnathios Mbarak,0.4892 (0.0965),0.5397 (0.3200),0.4707 (0.2166),15.0
Fathallah Khoury,0.4167 (0.2041),0.2571 (0.1796),0.2874 (0.1455),14.0
Elias Sarkis,0.3895 (0.0370),0.8212 (0.0507),0.5268 (0.0357),20.0
Fouad Chehab,0.9964 (0.0051),0.9239 (0.0241),0.9585 (0.0104),11.0
Hanna Moussa,0.8045 (0.1237),0.9658 (0.0484),0.8690 (0.0484),25.0
Habib Massoud,0.6256 (0.2678),0.6124 (0.4196),0.4126 (0.2570),26.0
Zaghloul,0.9102 (0.0576),0.9788 (0.0300),0.9412 (0.0174),25.0
Father Youhanna Habib Baysari,0.9417 (0.0514),0.5730 (0.1875),0.6944 (0.1604),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.5876 (0.0638),0.6901 (0.1073),0.6259 (0.0460),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.5810 (0.2494),0.4516 (0.1133),0.4656 (0.0492),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0202 (0.0286),0.0381 (0.0539),33.0
Jean Philipp Kmeid,0.5875 (0.1870),0.9746 (0.0359),0.7125 (0.1241),27.0
Michel Saykali,0.4929 (0.1221),1.0000 (0.0000),0.6515 (0.1080),14.0
Hanna Ghayth (Juan Gait),0.5971 (0.1530),1.0000 (0.0000),0.7354 (0.1295),13.0
Yousef Hobeiche,0.4275 (0.2661),0.9379 (0.0071),0.5412 (0.2289),17.0
Angele Ellis,0.2500 (0.3536),0.0370 (0.0524),0.0645 (0.0912),27.0
Khalil Yossuf Nader Raad,0.1925 (0.0461),1.0000 (0.0000),0.3203 (0.0664),22.0
Mansour Eid,0.8306 (0.1199),0.7304 (0.2282),0.7399 (0.1319),93.0
Mkhayel Meneem,0.8632 (0.0799),0.8133 (0.0377),0.8369 (0.0564),25.0
Constantine Elias,0.6918 (0.2069),0.4892 (0.3206),0.5468 (0.2852),17.0
Maurice Gemayel,0.1333 (0.1027),0.1136 (0.1033),0.1069 (0.0788),11.0
Murshid Habashi,0.7652 (0.1212),0.6200 (0.1534),0.6574 (0.0706),26.0
Michel Kahwaji,0.5488 (0.2768),0.9740 (0.0368),0.6531 (0.2330),141.0
Mayor of Kfarshima,0.2395 (0.0981),0.6903 (0.2692),0.3541 (0.1415),33.0
Sohayl Tohmeh,0.3845 (0.0845),0.8594 (0.0577),0.5258 (0.0813),36.0
Shukri Kanaan,0.4541 (0.1857),0.3030 (0.0655),0.3430 (0.0794),33.0
Emily Nasrallah,0.8191 (0.1599),1.0000 (0.0000),0.8918 (0.1001),11.0
Joseph Oussani,0.9557 (0.0292),0.9956 (0.0062),0.9750 (0.0155),153.0
Father Boulos El-Mender,0.2040 (0.2103),0.1194 (0.0219),0.1100 (0.0535),20.0
Salah Tizani,0.7644 (0.1960),0.9965 (0.0029),0.8495 (0.1372),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.0650 (0.0920),0.1569 (0.2218),0.0920 (0.1300),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2766 (0.1668),0.6625 (0.4240),0.3894 (0.2400),31.0
Toufic El Bacha,0.7625 (0.0946),0.9417 (0.0514),0.8409 (0.0733),40.0
Catherine Yazbek Al-Badawi,0.1667 (0.2357),0.0392 (0.0555),0.0635 (0.0898),17.0
Youssef Fadlallah Salemeh,0.5129 (0.1934),0.6052 (0.1958),0.4956 (0.1134),60.0
Bishop Youssef Darian,0.4807 (0.3720),0.4765 (0.3637),0.4497 (0.3180),53.0
Youssef Hanna El-Sawda,0.7660 (0.1577),0.8826 (0.1036),0.7992 (0.0399),21.0
accuracy,0.6091 (0.0342),0.6091 (0.0342),0.6091 (0.0342),0.6073594824100284
macro avg,0.4606 (0.0239),0.4839 (0.0078),0.4116 (0.0021),2473.0
weighted avg,0.6398 (0.0389),0.6091 (0.0342),0.5770 (0.0358),2473.0
