,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.18181818181818182,0.9090909090909091,0.30303030303030304,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.5454545454545454,1.0,0.7058823529411765,24.0
Shibli N. Damus,0.8666666666666667,0.2524271844660194,0.39097744360902253,103.0
Naoum Mokarzel,1.0,0.05555555555555555,0.10526315789473684,18.0
Eissa alKhouri,1.0,0.09302325581395349,0.1702127659574468,43.0
Girgi Dimitri Sursock,0.2,0.7142857142857143,0.3125,7.0
Felix Faris,0.793939393939394,0.8675496688741722,0.8291139240506329,151.0
May Ziadeh,0.12162162162162163,0.4090909090909091,0.1875,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7105263157894737,0.6923076923076923,0.7012987012987013,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.8571428571428571,0.24,0.375,25.0
Daoud Mujaes,0.9375,0.8333333333333334,0.8823529411764706,18.0
Bechara El Khoury,0.13333333333333333,0.25,0.17391304347826086,8.0
Youssef Ibrahim Yazbek,1.0,0.15,0.2608695652173913,20.0
Elias Abu Shabaki,1.0,0.7551020408163265,0.8604651162790697,49.0
Elie Maroun Khalil,1.0,0.45454545454545453,0.625,22.0
Aziz Khoury,1.0,0.07142857142857142,0.13333333333333333,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,21.0
Botros Feghaly,0.0,0.0,0.0,24.0
Toufiq Wehbeh,0.5882352941176471,0.9523809523809523,0.7272727272727273,21.0
Bishop Mkhayel Akhrass,0.85,1.0,0.918918918918919,17.0
George Saad,1.0,0.13157894736842105,0.23255813953488372,38.0
Bishop Aghnathios Mbarak,0.48148148148148145,0.8666666666666667,0.6190476190476191,15.0
Fathallah Khoury,0.16666666666666666,0.07142857142857142,0.1,14.0
Elias Sarkis,0.4358974358974359,0.85,0.576271186440678,20.0
Fouad Chehab,1.0,0.9090909090909091,0.9523809523809523,11.0
Hanna Moussa,0.7352941176470589,1.0,0.847457627118644,25.0
Habib Massoud,0.3888888888888889,0.8076923076923077,0.525,26.0
Zaghloul,0.8928571428571429,1.0,0.9433962264150944,25.0
Father Youhanna Habib Baysari,1.0,0.782608695652174,0.8780487804878049,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.5,0.7368421052631579,0.5957446808510638,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.9333333333333333,0.358974358974359,0.5185185185185185,39.0
Father Mikhael Hanna,1.0,0.06060606060606061,0.11428571428571428,33.0
Jean Philipp Kmeid,0.42857142857142855,1.0,0.6,27.0
Michel Saykali,0.4666666666666667,1.0,0.6363636363636364,14.0
Hanna Ghayth (Juan Gait),0.38235294117647056,1.0,0.5531914893617021,13.0
Yousef Hobeiche,0.20253164556962025,0.9411764705882353,0.3333333333333333,17.0
Angele Ellis,0.75,0.1111111111111111,0.1935483870967742,27.0
Khalil Yossuf Nader Raad,0.21359223300970873,1.0,0.352,22.0
Mansour Eid,0.95,0.40860215053763443,0.5714285714285714,93.0
Mkhayel Meneem,0.9545454545454546,0.84,0.8936170212765957,25.0
Constantine Elias,0.4,0.11764705882352941,0.18181818181818182,17.0
Maurice Gemayel,0.0,0.0,0.0,11.0
Murshid Habashi,0.6060606060606061,0.7692307692307693,0.6779661016949152,26.0
Michel Kahwaji,0.8843537414965986,0.9219858156028369,0.9027777777777778,141.0
Mayor of Kfarshima,0.3037974683544304,0.7272727272727273,0.42857142857142855,33.0
Sohayl Tohmeh,0.28431372549019607,0.8055555555555556,0.42028985507246375,36.0
Shukri Kanaan,0.48148148148148145,0.3939393939393939,0.43333333333333335,33.0
Emily Nasrallah,0.6111111111111112,1.0,0.7586206896551724,11.0
Joseph Oussani,0.9556962025316456,0.9869281045751634,0.9710610932475884,153.0
Father Boulos El-Mender,0.08108108108108109,0.15,0.10526315789473684,20.0
Salah Tizani,0.8862275449101796,0.9966329966329966,0.9381933438985737,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.04081632653061224,0.06451612903225806,0.05,31.0
Toufic El Bacha,0.7142857142857143,0.875,0.7865168539325843,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.5789473684210527,0.36666666666666664,0.4489795918367347,60.0
Bishop Youssef Darian,0.90625,0.5471698113207547,0.6823529411764706,53.0
Youssef Hanna El-Sawda,0.6,1.0,0.75,21.0
accuracy,0.6073594824100284,0.6073594824100284,0.6073594824100284,0.6073594824100284
macro avg,0.4930047889852083,0.4830851355721384,0.4117583173001373,2473.0
weighted avg,0.6655731927062981,0.6073594824100284,0.5739976034213556,2473.0
