Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),20.0
Your son George,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Shibli N. Damus,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),103.0
Naoum Mokarzel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Eissa alKhouri,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),43.0
Girgi Dimitri Sursock,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),7.0
Felix Faris,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),151.0
May Ziadeh,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Daoud Mujaes,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Bechara El Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),8.0
Youssef Ibrahim Yazbek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),20.0
Elias Abu Shabaki,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),49.0
Elie Maroun Khalil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Botros Feghaly,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Toufiq Wehbeh,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Bishop Mkhayel Akhrass,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
George Saad,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),38.0
Bishop Aghnathios Mbarak,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),15.0
Fathallah Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Elias Sarkis,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),20.0
Fouad Chehab,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),11.0
Hanna Moussa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Habib Massoud,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),26.0
Zaghloul,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Father Youhanna Habib Baysari,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),39.0
Father Mikhael Hanna,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Jean Philipp Kmeid,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),27.0
Michel Saykali,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Hanna Ghayth (Juan Gait),0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Yousef Hobeiche,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Angele Ellis,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),27.0
Khalil Yossuf Nader Raad,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),22.0
Mansour Eid,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),93.0
Mkhayel Meneem,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Constantine Elias,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Maurice Gemayel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),11.0
Murshid Habashi,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),26.0
Michel Kahwaji,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),141.0
Mayor of Kfarshima,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Sohayl Tohmeh,0.0134 (0.0109),0.6667 (0.4714),0.0261 (0.0212),36.0
Shukri Kanaan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Emily Nasrallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),11.0
Joseph Oussani,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),153.0
Father Boulos El-Mender,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),20.0
Salah Tizani,0.0400 (0.0566),0.3333 (0.4714),0.0715 (0.1011),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),31.0
Toufic El Bacha,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),40.0
Catherine Yazbek Al-Badawi,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Youssef Fadlallah Salemeh,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),60.0
Bishop Youssef Darian,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),53.0
Youssef Hanna El-Sawda,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
accuracy,0.0534 (0.0475),0.0534 (0.0475),0.0534 (0.0475),0.1200970481196926
macro avg,0.0008 (0.0007),0.0141 (0.0000),0.0014 (0.0012),2473.0
weighted avg,0.0051 (0.0066),0.0534 (0.0475),0.0092 (0.0117),2473.0
