Model,ResNet50,DenseNet201,Xception,MobileNetV3
F1 Score,,,,
Frozen + No Attention (Baseline) ,0.5706 (0.0254),0.5324 (0.0306),0.3575 (0.0244),0.4715 (0.0116)
Frozen + Attention,0.5868 (0.0298),0.5988 (0.0308),0.4266 (0.0398),0.5100 (0.0387)
Fine-tuned + Last Layer + No Attention,0.5462 (0.0282),0.5363 (0.0130),0.3524 (0.0443),0.4624 (0.0440)
Fine-tuned + Last Layer + Attention,0.6018 (0.0300),0.5885 (0.0516),0.3968 (0.0330),0.5125 (0.0442)
Fine-tuned + Last 5 Layers + No Attention,0.5937 (0.0225),0.5073 (0.0912),0.5056 (0.0428),0.5322 (0.0317)
Fine-tuned + Last 5 Layers + Attention,0.6003 (0.0323),0.5123 (0.1760),0.4968 (0.0891),0.5298 (0.1034)
Fine-tuned + Last 10 Layers + No Attention,0.6082 (0.0305),0.5785 (0.0681),0.6289 (0.0149),0.5115 (0.0882)
Fine-tuned + Last 10 Layers + Attention,0.6073 (0.0228),0.5442 (0.1193),0.5882 (0.0617),0.5077 (0.0908)
Fine-tuned + Last 25 Layers + No Attention,0.6502 (0.0137),0.6053 (0.0564),0.6596 (0.0051),0.5910 (0.0386)
Fine-tuned + Last 25 Layers + Attention,0.6626 (0.0104),0.5874 (0.0863),0.6504 (0.0041),0.6203 (0.0198)
Fine-tuned + No Attention,0.6072 (0.0278),0.5991 (0.0288),0.6572 (0.0203),0.6544 (0.0209)
Fine-tuned + Attention,0.6009 (0.0458),0.6516 (0.0234),0.6444 (0.0164),0.6655 (0.0069)
From Scratch + No Attention,0.4719 (0.0626),0.4895 (0.0266),0.5342 (0.1019),0.0014 (0.0012)
From Scratch + Attention,0.5116 (0.0574),0.4851 (0.0410),0.5070 (0.1185),0.0004 (0.0002)
,,,,
,,,,
,,,,
Top-1 Accuracy,,,,
Frozen + No Attention (Baseline) ,0.6988 (0.0089),0.6725 (0.0182),0.4974 (0.0065),0.6091 (0.0342)
Frozen + Attention,0.7036 (0.0189),0.7246 (0.0111),0.5527 (0.0177),0.6413 (0.0181)
Fine-tuned + Last Layer + No Attention,0.6808 (0.0223),0.6729 (0.0309),0.4930 (0.0159),0.6136 (0.0103)
Fine-tuned + Last Layer + Attention,0.7162 (0.0176),0.7202 (0.0150),0.5444 (0.0246),0.6417 (0.0152)
Fine-tuned + Last 5 Layers + No Attention,0.7121 (0.0215),0.6488 (0.0265),0.6356 (0.0203),0.6751 (0.0135)
Fine-tuned + Last 5 Layers + Attention,0.7237 (0.0156),0.6378 (0.1316),0.6333 (0.0481),0.6687 (0.0437)
Fine-tuned + Last 10 Layers + No Attention,0.7317 (0.0273),0.7034 (0.0248),0.7319 (0.0218),0.6550 (0.0285)
Fine-tuned + Last 10 Layers + Attention,0.7293 (0.0289),0.6949 (0.0598),0.7060 (0.0322),0.6579 (0.0425)
Fine-tuned + Last 25 Layers + No Attention,0.7587 (0.0228),0.7380 (0.0161),0.7590 (0.0295),0.7206 (0.0155)
Fine-tuned + Last 25 Layers + Attention,0.7566 (0.0282),0.7230 (0.0320),0.7583 (0.0229),0.7347 (0.0233)
Fine-tuned + No Attention,0.7517 (0.0299),0.7370 (0.0158),0.7675 (0.0063),0.7861 (0.0260)
Fine-tuned + Attention,0.7442 (0.0180),0.7700 (0.0220),0.7706 (0.0171),0.7707 (0.0111)
From Scratch + No Attention,0.6592 (0.0271),0.6674 (0.0136),0.6913 (0.0514),0.0534 (0.0475)
