Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2500 (0.3536),0.3158 (0.4466),0.2791 (0.3947),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.7778 (0.3143),0.8333 (0.2357),20.0
Your son George,0.5172 (0.0848),0.8810 (0.1242),0.6375 (0.0310),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.4902 (0.4085),0.2260 (0.2765),0.2170 (0.2288),16.0
Ameen Rihani,0.9138 (0.0591),0.8681 (0.1358),0.8792 (0.0502),24.0
Shibli N. Damus,0.9094 (0.0721),0.8673 (0.1054),0.8793 (0.0371),103.0
Naoum Mokarzel,0.8492 (0.1172),0.4259 (0.2294),0.5298 (0.1836),18.0
Eissa alKhouri,0.7550 (0.0767),0.9287 (0.0819),0.8256 (0.0185),43.0
Girgi Dimitri Sursock,0.3286 (0.1201),0.8349 (0.0908),0.4641 (0.1443),7.0
Felix Faris,0.7739 (0.1453),0.9051 (0.1159),0.8158 (0.0724),151.0
May Ziadeh,0.2731 (0.1930),0.5503 (0.2944),0.3449 (0.2244),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7514 (0.1946),0.7214 (0.2090),0.6894 (0.1250),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5949 (0.4208),0.5467 (0.3896),0.5687 (0.4027),25.0
Daoud Mujaes,0.6548 (0.1160),0.9074 (0.0944),0.7582 (0.1045),18.0
Bechara El Khoury,0.7037 (0.0859),0.8333 (0.0589),0.7578 (0.0507),8.0
Youssef Ibrahim Yazbek,0.9762 (0.0337),0.5139 (0.2051),0.6471 (0.1885),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.9679 (0.0235),0.9835 (0.0121),49.0
Elie Maroun Khalil,0.9231 (0.1088),0.7906 (0.2224),0.8449 (0.1815),22.0
Aziz Khoury,0.3333 (0.4714),0.0952 (0.1347),0.1481 (0.2095),14.0
Ghnatyos Mbarak,0.2778 (0.2079),0.0656 (0.0589),0.0992 (0.0817),21.0
Botros Feghaly,0.8750 (0.0900),0.4861 (0.2455),0.5726 (0.1940),24.0
Toufiq Wehbeh,0.8156 (0.0267),0.9697 (0.0429),0.8850 (0.0181),21.0
Bishop Mkhayel Akhrass,0.8926 (0.1149),0.8254 (0.2469),0.8209 (0.1344),17.0
George Saad,0.7847 (0.1750),0.7822 (0.1505),0.7777 (0.1427),38.0
Bishop Aghnathios Mbarak,0.5955 (0.0619),0.6742 (0.1669),0.6287 (0.1064),15.0
Fathallah Khoury,0.7699 (0.1299),0.8762 (0.0551),0.8156 (0.0866),14.0
Elias Sarkis,0.5808 (0.0825),0.9489 (0.0380),0.7150 (0.0578),20.0
Fouad Chehab,1.0000 (0.0000),0.9965 (0.0050),0.9982 (0.0025),11.0
Hanna Moussa,1.0000 (0.0000),0.9779 (0.0312),0.9886 (0.0161),25.0
Habib Massoud,0.9012 (0.1145),0.6863 (0.4437),0.6478 (0.3832),26.0
Zaghloul,0.9116 (0.1093),0.9961 (0.0054),0.9483 (0.0614),25.0
Father Youhanna Habib Baysari,0.9103 (0.0654),0.9510 (0.0424),0.9274 (0.0210),23.0
Mkhayel Daher,0.0476 (0.0673),0.0133 (0.0189),0.0208 (0.0295),24.0
Father Youssef Hanna & Father Botros Hasan,0.1333 (0.1886),0.0290 (0.0410),0.0476 (0.0673),23.0
Father Botros Hasan,0.3601 (0.1289),0.7778 (0.2853),0.4879 (0.1709),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4530 (0.2482),0.7493 (0.2602),0.5558 (0.2691),39.0
Father Mikhael Hanna,0.2456 (0.3474),0.1414 (0.2000),0.1795 (0.2538),33.0
Jean Philipp Kmeid,0.9167 (0.1179),0.9764 (0.0333),0.9402 (0.0606),27.0
Michel Saykali,0.6690 (0.2080),1.0000 (0.0000),0.7830 (0.1507),14.0
Hanna Ghayth (Juan Gait),0.6637 (0.1631),1.0000 (0.0000),0.7855 (0.1255),13.0
Yousef Hobeiche,0.8287 (0.0598),0.9209 (0.1119),0.8672 (0.0594),17.0
Angele Ellis,0.4480 (0.3168),0.3926 (0.3176),0.4080 (0.3027),27.0
Khalil Yossuf Nader Raad,0.4400 (0.1376),1.0000 (0.0000),0.5988 (0.1295),22.0
Mansour Eid,0.5656 (0.0402),0.8457 (0.1883),0.6637 (0.0530),93.0
Mkhayel Meneem,0.9582 (0.0328),0.9200 (0.0653),0.9379 (0.0452),25.0
Constantine Elias,0.6175 (0.1155),1.0000 (0.0000),0.7569 (0.0934),17.0
Maurice Gemayel,0.5943 (0.1189),0.3788 (0.0934),0.4415 (0.0327),11.0
Murshid Habashi,0.7767 (0.2075),0.9545 (0.0643),0.8468 (0.1593),26.0
Michel Kahwaji,0.6664 (0.3187),0.9125 (0.1237),0.6996 (0.2416),141.0
Mayor of Kfarshima,0.2787 (0.1711),0.5458 (0.3978),0.3645 (0.2407),33.0
Sohayl Tohmeh,0.7638 (0.2402),0.9907 (0.0131),0.8382 (0.1665),36.0
Shukri Kanaan,0.5717 (0.3103),0.3030 (0.0429),0.3570 (0.0396),33.0
