Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3095 (0.4377),0.2281 (0.3225),0.2626 (0.3714),19.0
Sister Victor N. Khoury,0.9841 (0.0224),0.7241 (0.3554),0.7712 (0.2882),20.0
Your son George,0.4483 (0.1070),1.0000 (0.0000),0.6114 (0.1041),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.4714),0.0370 (0.0524),0.0667 (0.0943),16.0
Bishop Boulos Akl,0.6667 (0.4714),0.0513 (0.0363),0.0952 (0.0673),16.0
Ameen Rihani,0.8284 (0.1215),0.8601 (0.1714),0.8183 (0.0393),24.0
Shibli N. Damus,0.8754 (0.0567),0.8515 (0.0873),0.8580 (0.0332),103.0
Naoum Mokarzel,1.0000 (0.0000),0.5370 (0.1715),0.6812 (0.1576),18.0
Eissa alKhouri,0.9413 (0.0049),0.8544 (0.1351),0.8903 (0.0791),43.0
Girgi Dimitri Sursock,0.3009 (0.0522),0.7889 (0.0622),0.4345 (0.0641),7.0
Felix Faris,0.6404 (0.2355),0.8817 (0.0978),0.7060 (0.1741),151.0
May Ziadeh,0.2203 (0.2079),0.4837 (0.3757),0.2923 (0.2702),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6600 (0.2928),0.5687 (0.2314),0.5139 (0.1940),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.1228 (0.1737),0.1795 (0.2538),13.0
Prof. Ign. Kratchkovsky,0.0333 (0.0471),0.0769 (0.1088),0.0465 (0.0658),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6364 (0.4515),0.5200 (0.3681),0.5716 (0.4042),25.0
Daoud Mujaes,0.5119 (0.2740),0.6667 (0.3928),0.5756 (0.3236),18.0
Bechara El Khoury,0.6404 (0.1295),0.7292 (0.1640),0.6768 (0.1309),8.0
Youssef Ibrahim Yazbek,0.9236 (0.0168),0.6560 (0.0320),0.7667 (0.0236),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.9524 (0.0673),0.9744 (0.0363),49.0
Elie Maroun Khalil,0.9515 (0.0409),0.7552 (0.2328),0.8242 (0.1724),22.0
Aziz Khoury,0.2500 (0.3536),0.0714 (0.1010),0.1111 (0.1571),14.0
Ghnatyos Mbarak,0.6667 (0.4714),0.0725 (0.0841),0.1242 (0.1401),21.0
Botros Feghaly,0.8083 (0.1532),0.3968 (0.1918),0.5055 (0.1620),24.0
Toufiq Wehbeh,0.6153 (0.1343),0.9580 (0.0065),0.7416 (0.0989),21.0
Bishop Mkhayel Akhrass,0.7944 (0.1945),0.6551 (0.3152),0.6396 (0.2188),17.0
George Saad,0.7168 (0.1283),0.6455 (0.0802),0.6743 (0.0806),38.0
Bishop Aghnathios Mbarak,0.5597 (0.0900),0.7778 (0.3143),0.6317 (0.1784),15.0
Fathallah Khoury,0.9259 (0.1048),0.7190 (0.1058),0.8033 (0.0849),14.0
Elias Sarkis,0.5113 (0.0909),0.9322 (0.0171),0.6553 (0.0795),20.0
Fouad Chehab,1.0000 (0.0000),0.9965 (0.0050),0.9982 (0.0025),11.0
Hanna Moussa,0.9572 (0.0581),0.9934 (0.0094),0.9739 (0.0291),25.0
Habib Massoud,0.8444 (0.1370),0.8333 (0.2357),0.7984 (0.1069),26.0
Zaghloul,0.9444 (0.0357),0.9923 (0.0109),0.9672 (0.0162),25.0
Father Youhanna Habib Baysari,0.8530 (0.1549),0.8908 (0.1544),0.8474 (0.0791),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1667 (0.2357),0.0290 (0.0410),0.0494 (0.0698),23.0
Father Botros Hasan,0.4247 (0.0926),0.7705 (0.1347),0.5462 (0.1071),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4187 (0.2997),0.6296 (0.3369),0.4784 (0.2884),39.0
Father Mikhael Hanna,0.1905 (0.2694),0.0404 (0.0571),0.0667 (0.0943),33.0
Jean Philipp Kmeid,0.8844 (0.1362),0.9312 (0.0974),0.8947 (0.0681),27.0
Michel Saykali,0.6319 (0.1825),1.0000 (0.0000),0.7581 (0.1465),14.0
Hanna Ghayth (Juan Gait),0.6198 (0.0040),1.0000 (0.0000),0.7653 (0.0030),13.0
Yousef Hobeiche,0.5924 (0.2442),0.9808 (0.0271),0.7065 (0.1747),17.0
Angele Ellis,0.4226 (0.2493),0.3049 (0.1480),0.3495 (0.1887),27.0
Khalil Yossuf Nader Raad,0.3224 (0.1423),0.9512 (0.0374),0.4647 (0.1691),22.0
Mansour Eid,0.5576 (0.1039),0.8816 (0.1379),0.6669 (0.0722),93.0
Mkhayel Meneem,0.9051 (0.0466),0.8800 (0.0653),0.8913 (0.0488),25.0
Constantine Elias,0.6949 (0.0774),0.9804 (0.0277),0.8103 (0.0531),17.0
Maurice Gemayel,0.5762 (0.3042),0.3258 (0.0915),0.4104 (0.1538),11.0
Murshid Habashi,0.8369 (0.1675),0.8706 (0.0384),0.8475 (0.1098),26.0
Michel Kahwaji,0.6204 (0.2469),0.9362 (0.0903),0.7039 (0.1484),141.0
Mayor of Kfarshima,0.3834 (0.0559),0.6304 (0.2401),0.4667 (0.0952),33.0
Sohayl Tohmeh,0.8240 (0.0275),0.9335 (0.0569),0.8734 (0.0101),36.0
Shukri Kanaan,0.5678 (0.2173),0.3434 (0.1873),0.3788 (0.1253),33.0
Emily Nasrallah,0.8413 (0.2245),1.0000 (0.0000),0.8958 (0.1473),11.0
Joseph Oussani,0.9432 (0.0647),0.9791 (0.0189),0.9591 (0.0285),153.0
Father Boulos El-Mender,0.5424 (0.1460),0.4608 (0.0286),0.4848 (0.0477),20.0
Salah Tizani,0.8971 (0.1109),1.0000 (0.0000),0.9420 (0.0645),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.1654 (0.1939),0.1506 (0.1854),0.1573 (0.1898),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3997 (0.2580),0.6936 (0.3540),0.4967 (0.2862),31.0
Toufic El Bacha,0.6684 (0.0858),0.9917 (0.0118),0.7949 (0.0570),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.0980 (0.1386),0.1515 (0.2143),17.0
Youssef Fadlallah Salemeh,0.5755 (0.2619),0.9177 (0.1069),0.6572 (0.2283),60.0
Bishop Youssef Darian,0.5387 (0.3824),0.5597 (0.4169),0.5463 (0.3947),53.0
Youssef Hanna El-Sawda,0.6676 (0.2119),0.9608 (0.0555),0.7617 (0.1306),21.0
accuracy,0.7121 (0.0215),0.7121 (0.0215),0.7121 (0.0215),0.7412050141528508
macro avg,0.5761 (0.0281),0.6128 (0.0193),0.5502 (0.0346),2473.0
weighted avg,0.7285 (0.0112),0.7121 (0.0215),0.6900 (0.0201),2473.0
