,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.95,0.9743589743589743,20.0
Your son George,0.4583333333333333,1.0,0.6285714285714286,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.75,1.0,0.8571428571428571,24.0
Shibli N. Damus,0.95,0.7378640776699029,0.8306010928961749,103.0
Naoum Mokarzel,1.0,0.6111111111111112,0.7586206896551724,18.0
Eissa alKhouri,0.9354838709677419,0.6744186046511628,0.7837837837837838,43.0
Girgi Dimitri Sursock,0.22727272727272727,0.7142857142857143,0.3448275862068966,7.0
Felix Faris,0.7708333333333334,0.9801324503311258,0.8629737609329446,151.0
May Ziadeh,0.5121951219512195,0.9545454545454546,0.6666666666666666,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9152542372881356,0.6923076923076923,0.7883211678832117,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.76,0.8636363636363636,25.0
Daoud Mujaes,0.6296296296296297,0.9444444444444444,0.7555555555555555,18.0
Bechara El Khoury,0.5,0.5,0.5,8.0
Youssef Ibrahim Yazbek,0.9333333333333333,0.7,0.8,20.0
Elias Abu Shabaki,1.0,0.8571428571428571,0.9230769230769231,49.0
Elie Maroun Khalil,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Aziz Khoury,0.75,0.21428571428571427,0.3333333333333333,14.0
Ghnatyos Mbarak,1.0,0.19047619047619047,0.32,21.0
Botros Feghaly,0.8,0.6666666666666666,0.7272727272727273,24.0
Toufiq Wehbeh,0.5714285714285714,0.9523809523809523,0.7142857142857143,21.0
Bishop Mkhayel Akhrass,0.85,1.0,0.918918918918919,17.0
George Saad,0.8928571428571429,0.6578947368421053,0.7575757575757576,38.0
Bishop Aghnathios Mbarak,0.5357142857142857,1.0,0.6976744186046512,15.0
Fathallah Khoury,1.0,0.8571428571428571,0.9230769230769231,14.0
Elias Sarkis,0.59375,0.95,0.7307692307692307,20.0
Fouad Chehab,1.0,1.0,1.0,11.0
Hanna Moussa,1.0,1.0,1.0,25.0
Habib Massoud,0.8666666666666667,1.0,0.9285714285714286,26.0
Zaghloul,0.9615384615384616,1.0,0.9803921568627451,25.0
Father Youhanna Habib Baysari,0.6388888888888888,1.0,0.7796610169491526,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.5483870967741935,0.8947368421052632,0.68,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.825,0.8461538461538461,0.8354430379746836,39.0
Father Mikhael Hanna,0.5714285714285714,0.12121212121212122,0.2,33.0
Jean Philipp Kmeid,0.6923076923076923,1.0,0.8181818181818182,27.0
Michel Saykali,0.8235294117647058,1.0,0.9032258064516129,14.0
Hanna Ghayth (Juan Gait),0.6190476190476191,1.0,0.7647058823529411,13.0
Yousef Hobeiche,0.5151515151515151,1.0,0.68,17.0
Angele Ellis,0.625,0.37037037037037035,0.46511627906976744,27.0
Khalil Yossuf Nader Raad,0.3389830508474576,0.9090909090909091,0.49382716049382713,22.0
Mansour Eid,0.6336633663366337,0.6881720430107527,0.6597938144329897,93.0
Mkhayel Meneem,0.96,0.96,0.96,25.0
Constantine Elias,0.7272727272727273,0.9411764705882353,0.8205128205128205,17.0
Maurice Gemayel,0.42857142857142855,0.2727272727272727,0.3333333333333333,11.0
Murshid Habashi,0.9583333333333334,0.8846153846153846,0.92,26.0
Michel Kahwaji,0.9421487603305785,0.8085106382978723,0.8702290076335878,141.0
Mayor of Kfarshima,0.42105263157894735,0.48484848484848486,0.4507042253521127,33.0
Sohayl Tohmeh,0.8611111111111112,0.8611111111111112,0.8611111111111112,36.0
Shukri Kanaan,0.5128205128205128,0.6060606060606061,0.5555555555555556,33.0
Emily Nasrallah,0.5238095238095238,1.0,0.6875,11.0
Joseph Oussani,0.9864864864864865,0.954248366013072,0.9700996677740864,153.0
Father Boulos El-Mender,0.5294117647058824,0.45,0.4864864864864865,20.0
Salah Tizani,0.9642857142857143,1.0,0.9818181818181818,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.1,0.1935483870967742,0.13186813186813187,31.0
Toufic El Bacha,0.78,0.975,0.8666666666666667,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.7076923076923077,0.7666666666666667,0.736,60.0
Bishop Youssef Darian,0.7659574468085106,0.6792452830188679,0.72,53.0
Youssef Hanna El-Sawda,0.42,1.0,0.5915492957746479,21.0
accuracy,0.7412050141528508,0.7412050141528508,0.7412050141528508,0.7412050141528508
macro avg,0.5884391145241462,0.636438588476296,0.5851822847039063,2473.0
weighted avg,0.7291822427822662,0.7412050141528508,0.7179149174344067,2473.0
