Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),20.0
Your son George,0.4993 (0.2239),1.0000 (0.0000),0.6386 (0.1839),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0769 (0.1088),0.0625 (0.0884),0.0690 (0.0975),16.0
Ameen Rihani,0.7821 (0.1896),0.9281 (0.1016),0.8245 (0.0936),24.0
Shibli N. Damus,0.6667 (0.2722),0.8626 (0.0547),0.7133 (0.1759),103.0
Naoum Mokarzel,0.5556 (0.4157),0.2870 (0.3305),0.3492 (0.3675),18.0
Eissa alKhouri,0.6673 (0.1629),0.8002 (0.2090),0.6934 (0.1217),43.0
Girgi Dimitri Sursock,0.2930 (0.1105),0.7857 (0.2542),0.4127 (0.1364),7.0
Felix Faris,0.6356 (0.1986),0.8927 (0.0989),0.7177 (0.1512),151.0
May Ziadeh,0.2019 (0.1794),0.4883 (0.3469),0.2767 (0.2276),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4987 (0.3356),0.4319 (0.3312),0.4476 (0.3342),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6667 (0.4714),0.3200 (0.2466),0.4265 (0.3147),25.0
Daoud Mujaes,0.6667 (0.4714),0.5556 (0.4032),0.6034 (0.4301),18.0
Bechara El Khoury,0.6274 (0.1802),0.8958 (0.0295),0.7228 (0.1154),8.0
Youssef Ibrahim Yazbek,1.0000 (0.0000),0.5155 (0.1000),0.6742 (0.0915),20.0
Elias Abu Shabaki,0.8365 (0.1474),0.9864 (0.0192),0.8968 (0.0833),49.0
Elie Maroun Khalil,0.8000 (0.2828),0.4613 (0.2952),0.5646 (0.3092),22.0
Aziz Khoury,0.6667 (0.4714),0.4048 (0.3883),0.4691 (0.3935),14.0
Ghnatyos Mbarak,0.1489 (0.1476),0.1778 (0.1370),0.1573 (0.1407),21.0
Botros Feghaly,0.8993 (0.0846),0.8115 (0.1712),0.8333 (0.0765),24.0
Toufiq Wehbeh,0.8723 (0.1382),0.9836 (0.0232),0.9174 (0.0777),21.0
Bishop Mkhayel Akhrass,0.5972 (0.4308),0.4251 (0.3527),0.4698 (0.3467),17.0
George Saad,0.8562 (0.1036),0.8867 (0.0860),0.8644 (0.0529),38.0
Bishop Aghnathios Mbarak,0.6917 (0.1896),0.6560 (0.2461),0.6610 (0.1956),15.0
Fathallah Khoury,0.7316 (0.1683),0.7833 (0.2095),0.7536 (0.1794),14.0
Elias Sarkis,0.8187 (0.0994),0.9489 (0.0380),0.8776 (0.0731),20.0
Fouad Chehab,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Hanna Moussa,1.0000 (0.0000),0.9978 (0.0031),0.9989 (0.0016),25.0
Habib Massoud,0.9565 (0.0615),0.9902 (0.0139),0.9718 (0.0300),26.0
Zaghloul,0.9458 (0.0438),0.9981 (0.0027),0.9706 (0.0219),25.0
Father Youhanna Habib Baysari,0.9861 (0.0196),0.9138 (0.1219),0.9434 (0.0656),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1257 (0.1777),0.3333 (0.4714),0.1825 (0.2582),23.0
Father Botros Hasan,0.2409 (0.0309),0.8472 (0.1874),0.3675 (0.0298),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4884 (0.3530),0.6496 (0.4598),0.5545 (0.3942),39.0
Father Mikhael Hanna,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Jean Philipp Kmeid,0.9863 (0.0157),1.0000 (0.0000),0.9930 (0.0080),27.0
Michel Saykali,0.7260 (0.2159),1.0000 (0.0000),0.8230 (0.1464),14.0
Hanna Ghayth (Juan Gait),0.8470 (0.1013),1.0000 (0.0000),0.9138 (0.0606),13.0
