Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),20.0
Your son George,0.5095 (0.2661),1.0000 (0.0000),0.6374 (0.2136),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.2479 (0.2978),0.0522 (0.0456),0.0825 (0.0798),16.0
Bishop Boulos Akl,0.0256 (0.0363),0.0208 (0.0295),0.0230 (0.0325),16.0
Ameen Rihani,0.7894 (0.2152),0.9417 (0.0825),0.8330 (0.1247),24.0
Shibli N. Damus,0.7284 (0.2270),0.8121 (0.2011),0.7616 (0.1998),103.0
Naoum Mokarzel,0.5833 (0.4249),0.3667 (0.2718),0.4501 (0.3313),18.0
Eissa alKhouri,0.8623 (0.1947),0.8575 (0.1639),0.8594 (0.1790),43.0
Girgi Dimitri Sursock,0.3270 (0.0420),0.7619 (0.2428),0.4418 (0.0606),7.0
Felix Faris,0.7247 (0.1593),0.8839 (0.1000),0.7817 (0.1090),151.0
May Ziadeh,0.2200 (0.1825),0.6515 (0.4611),0.3200 (0.2495),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5330 (0.2642),0.4123 (0.2707),0.4560 (0.2708),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0208 (0.0295),0.0256 (0.0363),0.0230 (0.0325),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6667 (0.4714),0.6000 (0.4271),0.6309 (0.4469),25.0
Daoud Mujaes,0.6190 (0.4416),0.6296 (0.4475),0.6214 (0.4395),18.0
Bechara El Khoury,0.6748 (0.2327),0.9167 (0.0295),0.7520 (0.1316),8.0
Youssef Ibrahim Yazbek,0.9833 (0.0236),0.7512 (0.1423),0.8451 (0.0919),20.0
Elias Abu Shabaki,0.9080 (0.1027),0.9864 (0.0192),0.9420 (0.0558),49.0
Elie Maroun Khalil,0.7071 (0.3826),0.6487 (0.2760),0.6642 (0.3250),22.0
Aziz Khoury,0.6667 (0.4714),0.3333 (0.2935),0.4259 (0.3405),14.0
Ghnatyos Mbarak,0.2407 (0.2328),0.1460 (0.1044),0.1717 (0.1363),21.0
Botros Feghaly,0.8199 (0.1374),0.8909 (0.0912),0.8390 (0.0387),24.0
Toufiq Wehbeh,0.9517 (0.0275),1.0000 (0.0000),0.9750 (0.0145),21.0
Bishop Mkhayel Akhrass,0.6481 (0.3858),0.6522 (0.4291),0.6454 (0.4127),17.0
George Saad,0.8461 (0.1817),0.8761 (0.0553),0.8537 (0.1201),38.0
Bishop Aghnathios Mbarak,0.7377 (0.1993),0.7891 (0.1878),0.7607 (0.1906),15.0
Fathallah Khoury,0.5548 (0.4039),0.6500 (0.4601),0.5944 (0.4230),14.0
Elias Sarkis,0.7555 (0.0909),0.9792 (0.0295),0.8498 (0.0601),20.0
Fouad Chehab,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Hanna Moussa,1.0000 (0.0000),0.9989 (0.0016),0.9994 (0.0008),25.0
Habib Massoud,0.9565 (0.0615),1.0000 (0.0000),0.9767 (0.0329),26.0
Zaghloul,0.9643 (0.0505),0.9923 (0.0109),0.9772 (0.0244),25.0
Father Youhanna Habib Baysari,0.9304 (0.0563),0.9655 (0.0488),0.9452 (0.0247),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2292 (0.3241),0.3188 (0.4509),0.2667 (0.3771),23.0
Father Botros Hasan,0.2200 (0.1070),0.7083 (0.3834),0.3344 (0.1677),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.5374 (0.3823),0.6496 (0.4598),0.5880 (0.4171),39.0
Father Mikhael Hanna,0.3125 (0.4419),0.1515 (0.2143),0.2041 (0.2886),33.0
Jean Philipp Kmeid,0.9845 (0.0150),1.0000 (0.0000),0.9921 (0.0076),27.0
Michel Saykali,0.6727 (0.2579),1.0000 (0.0000),0.7755 (0.1881),14.0
Hanna Ghayth (Juan Gait),0.8052 (0.0715),1.0000 (0.0000),0.8904 (0.0442),13.0
Yousef Hobeiche,0.9403 (0.0080),0.9808 (0.0271),0.9600 (0.0172),17.0
Angele Ellis,0.6639 (0.2756),0.5667 (0.0955),0.5983 (0.1781),27.0
Khalil Yossuf Nader Raad,0.8730 (0.0882),1.0000 (0.0000),0.9298 (0.0519),22.0
Mansour Eid,0.8538 (0.1537),1.0000 (0.0000),0.9133 (0.0947),93.0
Mkhayel Meneem,0.9728 (0.0193),0.9467 (0.0189),0.9595 (0.0167),25.0
Constantine Elias,0.6610 (0.1353),0.9333 (0.0943),0.7672 (0.1076),17.0
Maurice Gemayel,0.8333 (0.2357),0.9394 (0.0857),0.8736 (0.1788),11.0
Murshid Habashi,0.6343 (0.1469),0.9848 (0.0214),0.7633 (0.1087),26.0
Michel Kahwaji,0.6615 (0.1712),0.8842 (0.1638),0.7204 (0.0308),141.0
Mayor of Kfarshima,0.2719 (0.1547),0.5268 (0.3520),0.3567 (0.2176),33.0
Sohayl Tohmeh,0.9722 (0.0393),1.0000 (0.0000),0.9855 (0.0205),36.0
Shukri Kanaan,0.0956 (0.0684),0.0808 (0.0623),0.0870 (0.0644),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9972 (0.0040),0.9928 (0.0054),0.9950 (0.0037),153.0
Father Boulos El-Mender,0.6816 (0.2113),0.8423 (0.2230),0.7127 (0.1704),20.0
Salah Tizani,0.9945 (0.0078),1.0000 (0.0000),0.9972 (0.0039),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2292 (0.3241),0.2157 (0.3050),0.2222 (0.3143),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3290 (0.2149),0.7204 (0.3954),0.4404 (0.2632),31.0
Toufic El Bacha,0.9035 (0.0979),0.9804 (0.0277),0.9369 (0.0533),40.0
Catherine Yazbek Al-Badawi,0.6667 (0.4714),0.1961 (0.2369),0.2678 (0.3036),17.0
Youssef Fadlallah Salemeh,0.5843 (0.2294),0.8982 (0.0839),0.6660 (0.1798),60.0
Bishop Youssef Darian,0.4523 (0.4032),0.6289 (0.4471),0.4930 (0.3820),53.0
Youssef Hanna El-Sawda,0.6181 (0.1943),0.9692 (0.0436),0.7327 (0.1229),21.0
accuracy,0.7517 (0.0299),0.7517 (0.0299),0.7517 (0.0299),0.7763849575414477
macro avg,0.5754 (0.0402),0.6438 (0.0138),0.5855 (0.0298),2473.0
weighted avg,0.7220 (0.0262),0.7517 (0.0299),0.7218 (0.0277),2473.0
