Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.1778 (0.2514),0.2807 (0.3970),0.2177 (0.3079),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.7222 (0.3928),0.7619 (0.3367),20.0
Your son George,0.5128 (0.1595),0.9455 (0.0404),0.6482 (0.1178),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0513 (0.0725),0.0889 (0.1257),16.0
Ameen Rihani,0.8729 (0.1064),0.8434 (0.1949),0.8327 (0.0888),24.0
Shibli N. Damus,0.6116 (0.2274),0.8326 (0.1525),0.6571 (0.0812),103.0
Naoum Mokarzel,0.9697 (0.0429),0.3519 (0.1656),0.4897 (0.1762),18.0
Eissa alKhouri,0.9512 (0.0384),0.8452 (0.1334),0.8906 (0.0851),43.0
Girgi Dimitri Sursock,0.3490 (0.1565),0.7667 (0.1477),0.4673 (0.1727),7.0
Felix Faris,0.6235 (0.2205),0.8898 (0.1163),0.6919 (0.1470),151.0
May Ziadeh,0.2337 (0.2033),0.5711 (0.3833),0.3156 (0.2569),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6499 (0.2828),0.4755 (0.2349),0.5200 (0.2304),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0175 (0.0248),0.0256 (0.0363),0.0208 (0.0295),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9583 (0.0589),0.4800 (0.3315),0.5576 (0.3527),25.0
Daoud Mujaes,0.6464 (0.2130),0.7963 (0.1717),0.7080 (0.1906),18.0
Bechara El Khoury,0.6062 (0.1781),0.5417 (0.1559),0.5713 (0.1655),8.0
Youssef Ibrahim Yazbek,0.9667 (0.0471),0.5810 (0.0599),0.7222 (0.0393),20.0
Elias Abu Shabaki,0.9896 (0.0147),0.8334 (0.1422),0.8990 (0.0945),49.0
Elie Maroun Khalil,0.8973 (0.0403),0.6924 (0.2878),0.7471 (0.2260),22.0
Aziz Khoury,0.6667 (0.4714),0.0952 (0.0673),0.1667 (0.1179),14.0
Ghnatyos Mbarak,0.1217 (0.0919),0.0540 (0.0399),0.0747 (0.0556),21.0
Botros Feghaly,0.9286 (0.0583),0.4028 (0.2178),0.5146 (0.2409),24.0
Toufiq Wehbeh,0.7522 (0.1218),0.9685 (0.0224),0.8413 (0.0830),21.0
Bishop Mkhayel Akhrass,0.8228 (0.2126),0.8095 (0.2694),0.7530 (0.1585),17.0
George Saad,0.7682 (0.1503),0.6871 (0.1618),0.7019 (0.0911),38.0
Bishop Aghnathios Mbarak,0.5055 (0.1733),0.5628 (0.2781),0.5148 (0.2162),15.0
Fathallah Khoury,0.8475 (0.1559),0.8381 (0.0966),0.8263 (0.0675),14.0
Elias Sarkis,0.6207 (0.1077),0.9322 (0.0171),0.7390 (0.0698),20.0
Fouad Chehab,1.0000 (0.0000),0.9895 (0.0149),0.9947 (0.0076),11.0
Hanna Moussa,0.9848 (0.0214),0.9934 (0.0094),0.9889 (0.0095),25.0
Habib Massoud,0.8651 (0.0525),0.7941 (0.2912),0.7942 (0.1888),26.0
Zaghloul,0.9886 (0.0161),0.9942 (0.0082),0.9914 (0.0122),25.0
Father Youhanna Habib Baysari,0.8920 (0.0713),0.9483 (0.0731),0.9154 (0.0448),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1667 (0.2357),0.0725 (0.1025),0.1010 (0.1428),23.0
Father Botros Hasan,0.4121 (0.0879),0.7668 (0.1003),0.5308 (0.0865),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4503 (0.2327),0.6966 (0.2790),0.5406 (0.2473),39.0
Father Mikhael Hanna,0.2000 (0.2828),0.0303 (0.0429),0.0526 (0.0744),33.0
Jean Philipp Kmeid,0.8217 (0.2003),0.9583 (0.0589),0.8657 (0.1174),27.0
Michel Saykali,0.6436 (0.2725),0.9861 (0.0196),0.7409 (0.2236),14.0
Hanna Ghayth (Juan Gait),0.4958 (0.1558),1.0000 (0.0000),0.6489 (0.1354),13.0
Yousef Hobeiche,0.7429 (0.0989),0.9760 (0.0339),0.8380 (0.0492),17.0
Angele Ellis,0.3958 (0.3076),0.3333 (0.3271),0.3010 (0.2305),27.0
Khalil Yossuf Nader Raad,0.4488 (0.1429),0.9512 (0.0374),0.5993 (0.1350),22.0
Mansour Eid,0.5966 (0.1595),0.8312 (0.1772),0.6649 (0.1227),93.0
Mkhayel Meneem,0.9226 (0.0829),0.8800 (0.0566),0.8989 (0.0566),25.0
Constantine Elias,0.6127 (0.0859),0.9500 (0.0707),0.7374 (0.0500),17.0
Maurice Gemayel,0.6474 (0.3376),0.3813 (0.0783),0.4294 (0.1492),11.0
Murshid Habashi,0.7454 (0.2255),0.8858 (0.0186),0.7913 (0.1545),26.0
Michel Kahwaji,0.5240 (0.2829),0.9318 (0.0525),0.6213 (0.2142),141.0
Mayor of Kfarshima,0.3190 (0.0803),0.5483 (0.2980),0.3942 (0.1386),33.0
Sohayl Tohmeh,0.8595 (0.0748),0.9141 (0.0681),0.8802 (0.0135),36.0
Shukri Kanaan,0.5693 (0.3237),0.3636 (0.1964),0.3679 (0.1333),33.0
Emily Nasrallah,0.9209 (0.0629),1.0000 (0.0000),0.9577 (0.0340),11.0
Joseph Oussani,0.9339 (0.0799),0.9720 (0.0212),0.9498 (0.0338),153.0
Father Boulos El-Mender,0.4802 (0.1966),0.4428 (0.1118),0.4362 (0.0979),20.0
Salah Tizani,0.8152 (0.2397),0.9965 (0.0029),0.8749 (0.1624),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.1111 (0.1571),0.0513 (0.0725),0.0702 (0.0992),13.0
Assad Darouich Zacharias,0.1745 (0.1620),0.3937 (0.3993),0.2411 (0.2306),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3320 (0.2686),0.6053 (0.4282),0.4175 (0.3141),31.0
Toufic El Bacha,0.6266 (0.1880),0.9637 (0.0259),0.7420 (0.1520),40.0
Catherine Yazbek Al-Badawi,0.6667 (0.4714),0.1373 (0.1544),0.2110 (0.2244),17.0
Youssef Fadlallah Salemeh,0.5956 (0.2675),0.8684 (0.0944),0.6502 (0.2013),60.0
Bishop Youssef Darian,0.5370 (0.3804),0.5261 (0.3731),0.5307 (0.3753),53.0
Youssef Hanna El-Sawda,0.5736 (0.2681),0.9134 (0.0659),0.6617 (0.1636),21.0
accuracy,0.7036 (0.0189),0.7036 (0.0189),0.7036 (0.0189),0.7302871006874242
macro avg,0.5700 (0.0307),0.6046 (0.0289),0.5404 (0.0457),2473.0
weighted avg,0.7214 (0.0114),0.7036 (0.0189),0.6808 (0.0200),2473.0
