,precision,recall,f1-score,support
Your nephew Maroun,0.5333333333333333,0.8421052631578947,0.6530612244897959,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.7368421052631579,0.9032258064516129,0.8115942028985508,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,1.0,0.15384615384615385,0.26666666666666666,13.0
Ameen Rihani,0.7352941176470589,0.9615384615384616,0.8333333333333334,26.0
Shibli N. Damus,0.40625,0.8666666666666667,0.5531914893617021,15.0
Naoum Mokarzel,1.0,0.15,0.2608695652173913,20.0
Eissa alKhouri,0.9473684210526315,1.0,0.972972972972973,18.0
Girgi Dimitri Sursock,0.5217391304347826,0.8,0.631578947368421,15.0
Felix Faris,0.837037037037037,0.7290322580645161,0.7793103448275862,155.0
May Ziadeh,0.034482758620689655,0.03508771929824561,0.034782608695652174,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8484848484848485,0.3111111111111111,0.45528455284552843,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.05263157894736842,0.07692307692307693,0.0625,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.84,0.9130434782608695,25.0
Daoud Mujaes,0.37037037037037035,0.5555555555555556,0.4444444444444444,18.0
Bechara El Khoury,0.8571428571428571,0.75,0.8,16.0
Youssef Ibrahim Yazbek,0.9,0.6428571428571429,0.75,28.0
Elias Abu Shabaki,1.0,0.9230769230769231,0.96,13.0
Elie Maroun Khalil,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
Aziz Khoury,1.0,0.14285714285714285,0.25,14.0
Ghnatyos Mbarak,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
Botros Feghaly,0.8571428571428571,0.5714285714285714,0.6857142857142857,21.0
Toufiq Wehbeh,0.5833333333333334,0.9545454545454546,0.7241379310344828,22.0
Bishop Mkhayel Akhrass,0.5238095238095238,1.0,0.6875,22.0
George Saad,0.5818181818181818,0.6666666666666666,0.6213592233009708,48.0
Bishop Aghnathios Mbarak,0.48484848484848486,0.2807017543859649,0.35555555555555557,57.0
Fathallah Khoury,0.6333333333333333,0.95,0.76,20.0
Elias Sarkis,0.7692307692307693,0.9090909090909091,0.8333333333333334,22.0
Fouad Chehab,1.0,0.968421052631579,0.983957219251337,95.0
Hanna Moussa,1.0,0.9801324503311258,0.9899665551839465,302.0
Habib Massoud,0.8,1.0,0.8888888888888888,20.0
Zaghloul,1.0,1.0,1.0,17.0
Father Youhanna Habib Baysari,0.9245283018867925,0.8448275862068966,0.8828828828828829,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.5,0.21739130434782608,0.30303030303030304,23.0
Father Botros Hasan,0.375,0.625,0.46875,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,0.9375,1.0,0.967741935483871,30.0
Michel Saykali,0.71875,0.9583333333333334,0.8214285714285714,24.0
Hanna Ghayth (Juan Gait),0.7058823529411765,1.0,0.8275862068965517,24.0
Yousef Hobeiche,0.8775510204081632,0.9280575539568345,0.9020979020979021,139.0
Angele Ellis,0.75,0.2222222222222222,0.34285714285714286,27.0
Khalil Yossuf Nader Raad,0.3090909090909091,0.9444444444444444,0.4657534246575342,18.0
Mansour Eid,0.3728813559322034,0.9565217391304348,0.5365853658536586,23.0
Mkhayel Meneem,1.0,0.84,0.9130434782608695,25.0
Constantine Elias,0.5,1.0,0.6666666666666666,20.0
Maurice Gemayel,0.19230769230769232,0.4166666666666667,0.2631578947368421,12.0
Murshid Habashi,0.4318181818181818,0.8636363636363636,0.5757575757575758,22.0
Michel Kahwaji,0.22641509433962265,0.9230769230769231,0.36363636363636365,13.0
Mayor of Kfarshima,0.2222222222222222,0.3125,0.2597402597402597,32.0
Sohayl Tohmeh,0.8823529411764706,0.9090909090909091,0.8955223880597015,33.0
Shukri Kanaan,0.21951219512195122,0.2727272727272727,0.24324324324324326,33.0
Emily Nasrallah,0.8461538461538461,1.0,0.9166666666666666,11.0
Joseph Oussani,0.8214285714285714,1.0,0.9019607843137255,23.0
Father Boulos El-Mender,0.7368421052631579,0.3783783783783784,0.5,74.0
Salah Tizani,0.47619047619047616,1.0,0.6451612903225806,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.3902439024390244,0.9411764705882353,0.5517241379310345,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.6578947368421053,0.8928571428571429,0.7575757575757576,28.0
Toufic El Bacha,0.8,0.9411764705882353,0.8648648648648649,17.0
Catherine Yazbek Al-Badawi,1.0,0.35294117647058826,0.5217391304347826,17.0
Youssef Fadlallah Salemeh,0.8571428571428571,0.821917808219178,0.8391608391608392,73.0
Bishop Youssef Darian,0.7777777777777778,0.8235294117647058,0.8,17.0
Youssef Hanna El-Sawda,0.9523809523809523,0.8403361344537815,0.8928571428571429,119.0
accuracy,0.6917780477926286,0.6917780477926286,0.6917780477926286,0.6917780477926286
macro avg,0.5872119268904868,0.6260336812419801,0.5642647210252911,2469.0
weighted avg,0.7057898364710969,0.6917780477926286,0.6707639680797352,2469.0
