Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2963 (0.4190),0.2807 (0.3970),0.2883 (0.4077),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6167 (0.4403),0.6396 (0.4535),20.0
Your son George,0.4690 (0.2269),0.9892 (0.0152),0.6043 (0.1881),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0256 (0.0363),0.0476 (0.0673),16.0
Ameen Rihani,0.8516 (0.1126),0.8660 (0.1387),0.8417 (0.0453),24.0
Shibli N. Damus,0.8035 (0.1261),0.8414 (0.2243),0.7834 (0.0706),103.0
Naoum Mokarzel,1.0000 (0.0000),0.2593 (0.0429),0.4099 (0.0552),18.0
Eissa alKhouri,0.9252 (0.0802),0.8512 (0.1911),0.8702 (0.1130),43.0
Girgi Dimitri Sursock,0.2913 (0.1603),0.8095 (0.1782),0.4153 (0.2108),7.0
Felix Faris,0.6345 (0.2259),0.8918 (0.1021),0.7027 (0.1625),151.0
May Ziadeh,0.1926 (0.1520),0.5245 (0.3652),0.2765 (0.2115),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6463 (0.1793),0.6217 (0.1917),0.5928 (0.1066),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0909 (0.1286),0.0769 (0.1088),0.0833 (0.1179),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9003 (0.0921),0.4933 (0.2778),0.5717 (0.2212),25.0
Daoud Mujaes,0.5987 (0.2247),0.6667 (0.3543),0.6173 (0.2874),18.0
Bechara El Khoury,0.5101 (0.1710),0.6250 (0.1021),0.5570 (0.1402),8.0
Youssef Ibrahim Yazbek,0.9841 (0.0224),0.6048 (0.0875),0.7443 (0.0612),20.0
Elias Abu Shabaki,0.9845 (0.0219),0.8758 (0.0487),0.9265 (0.0334),49.0
Elie Maroun Khalil,0.8498 (0.0885),0.6439 (0.1901),0.7250 (0.1620),22.0
Aziz Khoury,0.3333 (0.4714),0.0238 (0.0337),0.0444 (0.0629),14.0
Ghnatyos Mbarak,0.1111 (0.1571),0.0317 (0.0449),0.0494 (0.0698),21.0
Botros Feghaly,0.8258 (0.1236),0.2222 (0.1250),0.3206 (0.1634),24.0
Toufiq Wehbeh,0.6184 (0.1050),0.9180 (0.1159),0.7233 (0.0265),21.0
Bishop Mkhayel Akhrass,0.7503 (0.1294),0.7309 (0.3489),0.6671 (0.2262),17.0
George Saad,0.7827 (0.1223),0.5245 (0.0860),0.6233 (0.0898),38.0
Bishop Aghnathios Mbarak,0.4692 (0.0207),0.6263 (0.2639),0.5053 (0.1202),15.0
Fathallah Khoury,0.9042 (0.0257),0.5810 (0.1691),0.6944 (0.1416),14.0
Elias Sarkis,0.5662 (0.0630),0.9322 (0.0171),0.7029 (0.0513),20.0
