,precision,recall,f1-score,support
Your nephew Maroun,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
Sister Victor N. Khoury,1.0,0.85,0.918918918918919,20.0
Your son George,0.7894736842105263,0.967741935483871,0.8695652173913043,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,1.0,0.07692307692307693,0.14285714285714285,13.0
Ameen Rihani,0.7272727272727273,0.9230769230769231,0.8135593220338984,26.0
Shibli N. Damus,0.7142857142857143,1.0,0.8333333333333334,15.0
Naoum Mokarzel,1.0,0.2,0.3333333333333333,20.0
Eissa alKhouri,1.0,1.0,1.0,18.0
Girgi Dimitri Sursock,0.4411764705882353,1.0,0.6122448979591837,15.0
Felix Faris,0.7748344370860927,0.7548387096774194,0.7647058823529411,155.0
May Ziadeh,0.01694915254237288,0.017543859649122806,0.017241379310344827,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6538461538461539,0.37777777777777777,0.4788732394366197,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.2727272727272727,0.23076923076923078,0.25,13.0
Ibrahim Mejahid Al-Jaza'eri,0.7777777777777778,0.84,0.8076923076923077,25.0
Daoud Mujaes,0.3,0.16666666666666666,0.21428571428571427,18.0
Bechara El Khoury,0.75,0.75,0.75,16.0
Youssef Ibrahim Yazbek,0.9523809523809523,0.7142857142857143,0.8163265306122449,28.0
Elias Abu Shabaki,1.0,0.8461538461538461,0.9166666666666666,13.0
Elie Maroun Khalil,0.9333333333333333,0.8235294117647058,0.875,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,0.75,0.2857142857142857,0.41379310344827586,21.0
Toufiq Wehbeh,0.55,1.0,0.7096774193548387,22.0
Bishop Mkhayel Akhrass,0.5675675675675675,0.9545454545454546,0.711864406779661,22.0
George Saad,0.625,0.5208333333333334,0.5681818181818182,48.0
Bishop Aghnathios Mbarak,0.4838709677419355,0.2631578947368421,0.3409090909090909,57.0
Fathallah Khoury,0.9375,0.75,0.8333333333333334,20.0
Elias Sarkis,0.5263157894736842,0.9090909090909091,0.6666666666666666,22.0
Fouad Chehab,1.0,0.9578947368421052,0.978494623655914,95.0
Hanna Moussa,1.0,0.9668874172185431,0.9831649831649831,302.0
Habib Massoud,0.8333333333333334,1.0,0.9090909090909091,20.0
Zaghloul,0.85,1.0,0.918918918918919,17.0
Father Youhanna Habib Baysari,1.0,0.7068965517241379,0.8282828282828283,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.7777777777777778,0.30434782608695654,0.4375,23.0
Father Botros Hasan,0.5,0.5833333333333334,0.5384615384615384,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.13793103448275862,0.3076923076923077,0.19047619047619047,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,0.9090909090909091,1.0,0.9523809523809523,30.0
Michel Saykali,0.631578947368421,1.0,0.7741935483870968,24.0
Hanna Ghayth (Juan Gait),0.5227272727272727,0.9583333333333334,0.6764705882352942,24.0
Yousef Hobeiche,0.8451612903225807,0.9424460431654677,0.891156462585034,139.0
Angele Ellis,0.6666666666666666,0.2222222222222222,0.3333333333333333,27.0
Khalil Yossuf Nader Raad,0.22666666666666666,0.9444444444444444,0.3655913978494624,18.0
Mansour Eid,0.46938775510204084,1.0,0.6388888888888888,23.0
Mkhayel Meneem,0.875,0.84,0.8571428571428571,25.0
Constantine Elias,0.4444444444444444,1.0,0.6153846153846154,20.0
Maurice Gemayel,0.21428571428571427,0.25,0.23076923076923078,12.0
Murshid Habashi,0.36,0.8181818181818182,0.5,22.0
Michel Kahwaji,0.2826086956521739,1.0,0.4406779661016949,13.0
Mayor of Kfarshima,0.3888888888888889,0.65625,0.4883720930232558,32.0
Sohayl Tohmeh,0.7619047619047619,0.9696969696969697,0.8533333333333334,33.0
Shukri Kanaan,0.34782608695652173,0.24242424242424243,0.2857142857142857,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.92,1.0,0.9583333333333334,23.0
Father Boulos El-Mender,0.49056603773584906,0.35135135135135137,0.4094488188976378,74.0
Salah Tizani,0.625,1.0,0.7692307692307693,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.4117647058823529,0.4117647058823529,0.4117647058823529,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.5384615384615384,1.0,0.7,28.0
Toufic El Bacha,0.7727272727272727,1.0,0.8717948717948718,17.0
Catherine Yazbek Al-Badawi,1.0,0.23529411764705882,0.38095238095238093,17.0
Youssef Fadlallah Salemeh,0.8160919540229885,0.9726027397260274,0.8875,73.0
Bishop Youssef Darian,0.7727272727272727,1.0,0.8717948717948718,17.0
Youssef Hanna El-Sawda,1.0,0.8067226890756303,0.8930232558139535,119.0
accuracy,0.6869177804779263,0.6869177804779263,0.6869177804779263,0.6869177804779263
macro avg,0.5750115481260766,0.6128667766599348,0.5544441851070886,2469.0
weighted avg,0.6863886664390215,0.6869177804779263,0.6619482502631865,2469.0
