Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.3175 (0.4490),0.3333 (0.4714),0.3252 (0.4599),20.0
Your son George,0.4002 (0.1507),0.9778 (0.0314),0.5510 (0.1566),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.6392 (0.2254),0.9260 (0.1046),0.7183 (0.1102),24.0
Shibli N. Damus,0.4395 (0.3966),0.4371 (0.3187),0.4328 (0.3569),103.0
Naoum Mokarzel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Eissa alKhouri,0.4579 (0.3676),0.4031 (0.4306),0.3275 (0.2626),43.0
Girgi Dimitri Sursock,0.1040 (0.0275),0.3048 (0.0943),0.1544 (0.0425),7.0
Felix Faris,0.7342 (0.2339),0.8130 (0.1539),0.7262 (0.1327),151.0
May Ziadeh,0.1610 (0.1204),0.6410 (0.4544),0.2563 (0.1887),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4233 (0.3541),0.4430 (0.2687),0.3230 (0.2003),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.0175 (0.0248),0.0333 (0.0471),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.3333 (0.4714),0.0133 (0.0189),0.0256 (0.0363),25.0
Daoud Mujaes,0.2540 (0.3592),0.2963 (0.4190),0.2735 (0.3868),18.0
Bechara El Khoury,0.6859 (0.2245),0.7083 (0.0589),0.6846 (0.1507),8.0
Youssef Ibrahim Yazbek,0.7400 (0.0886),0.4905 (0.2910),0.5386 (0.1856),20.0
Elias Abu Shabaki,0.8667 (0.0943),0.9305 (0.0374),0.8963 (0.0663),49.0
Elie Maroun Khalil,0.3333 (0.4714),0.1176 (0.1664),0.1739 (0.2460),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.1629 (0.2115),0.1175 (0.1220),0.1305 (0.1581),21.0
Botros Feghaly,0.8854 (0.1620),0.5139 (0.3209),0.5504 (0.2664),24.0
Toufiq Wehbeh,0.8415 (0.1200),0.7551 (0.2816),0.7601 (0.1903),21.0
Bishop Mkhayel Akhrass,0.2167 (0.3064),0.2549 (0.3605),0.2342 (0.3313),17.0
George Saad,0.6563 (0.3028),0.8026 (0.0492),0.6839 (0.2205),38.0
Bishop Aghnathios Mbarak,0.5852 (0.1267),0.8199 (0.2094),0.6825 (0.1590),15.0
Fathallah Khoury,0.8333 (0.2357),0.6571 (0.4162),0.5825 (0.3376),14.0
Elias Sarkis,0.8688 (0.1311),0.9792 (0.0295),0.9135 (0.0689),20.0
Fouad Chehab,0.9722 (0.0393),1.0000 (0.0000),0.9855 (0.0205),11.0
Hanna Moussa,0.8420 (0.1738),0.9978 (0.0031),0.9027 (0.1090),25.0
Habib Massoud,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),26.0
Zaghloul,0.8697 (0.1180),0.9942 (0.0082),0.9230 (0.0662),25.0
Father Youhanna Habib Baysari,0.6855 (0.0694),0.9828 (0.0244),0.8046 (0.0403),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2857 (0.4041),0.2609 (0.3689),0.2727 (0.3857),23.0
Father Botros Hasan,0.2772 (0.0800),0.9408 (0.0176),0.4214 (0.0911),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4448 (0.3474),0.6667 (0.4714),0.5241 (0.3858),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0909 (0.1286),0.1429 (0.2020),33.0
Jean Philipp Kmeid,0.9982 (0.0025),1.0000 (0.0000),0.9991 (0.0013),27.0
Michel Saykali,0.7915 (0.2670),1.0000 (0.0000),0.8553 (0.1904),14.0
Hanna Ghayth (Juan Gait),0.6376 (0.2221),1.0000 (0.0000),0.7539 (0.1828),13.0
Yousef Hobeiche,0.6856 (0.2527),0.9209 (0.1119),0.7420 (0.1731),17.0
Angele Ellis,0.5807 (0.3229),0.3790 (0.2486),0.3486 (0.1829),27.0
Khalil Yossuf Nader Raad,0.5274 (0.2653),1.0000 (0.0000),0.6542 (0.2102),22.0
Mansour Eid,0.8335 (0.1228),0.9785 (0.0304),0.8967 (0.0798),93.0
Mkhayel Meneem,0.8239 (0.1787),0.9333 (0.0499),0.8667 (0.1192),25.0
Constantine Elias,0.7361 (0.2414),0.9833 (0.0236),0.8173 (0.1713),17.0
Maurice Gemayel,0.7024 (0.1624),0.9419 (0.0412),0.7975 (0.1200),11.0
Murshid Habashi,0.6562 (0.2431),0.8811 (0.0796),0.7159 (0.1103),26.0
Michel Kahwaji,0.6878 (0.2172),0.8723 (0.1805),0.7183 (0.0473),141.0
Mayor of Kfarshima,0.2931 (0.1207),0.6105 (0.2760),0.3958 (0.1682),33.0
Sohayl Tohmeh,0.7946 (0.1892),0.9815 (0.0262),0.8629 (0.1192),36.0
Shukri Kanaan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9957 (0.0061),0.9921 (0.0070),0.9939 (0.0044),153.0
Father Boulos El-Mender,0.4886 (0.2164),0.5901 (0.2404),0.4714 (0.1640),20.0
Salah Tizani,0.8322 (0.2349),0.9989 (0.0016),0.8877 (0.1563),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.1839 (0.2601),0.3137 (0.4437),0.2319 (0.3279),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2774 (0.2228),0.4322 (0.4114),0.3349 (0.2901),31.0
Toufic El Bacha,0.8846 (0.1386),0.8917 (0.1532),0.8701 (0.0923),40.0
Catherine Yazbek Al-Badawi,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Youssef Fadlallah Salemeh,0.5934 (0.2082),0.8386 (0.1238),0.6701 (0.1754),60.0
Bishop Youssef Darian,0.4693 (0.3503),0.6667 (0.4714),0.5457 (0.3936),53.0
Youssef Hanna El-Sawda,0.5804 (0.2468),0.9636 (0.0515),0.6866 (0.1741),21.0
accuracy,0.6766 (0.0294),0.6766 (0.0294),0.6766 (0.0294),0.7149211484027497
macro avg,0.4747 (0.0705),0.5567 (0.0381),0.4752 (0.0588),2473.0
weighted avg,0.6588 (0.0495),0.6766 (0.0294),0.6407 (0.0356),2473.0
